,USD,JPY,CAD,AUD,GBP,EUR,CHF,NZD
1978-04-01 00:00:00+00:00,70.92931,68.23216,69.0,68.94582,75.7945,,,
1978-05-01 00:00:00+00:00,71.07588,68.20039,69.3,68.64101,75.7945,,,
1978-06-01 00:00:00+00:00,71.28202,68.22208,69.3,68.85091,75.74082,,,
1978-07-01 00:00:00+00:00,71.30618,68.47768,69.4,68.8714,75.74082,,,
1978-08-01 00:00:00+00:00,71.54536,68.46022,69.6,68.90145,75.74082,,,
1978-09-01 00:00:00+00:00,71.50755,68.15549,69.8,68.72289,75.7435,,,
1978-10-01 00:00:00+00:00,71.59928,68.16859,69.9,68.8755,75.7435,,,
1978-11-01 00:00:00+00:00,71.76402,68.23801,70.0,68.60027,75.7435,,,
1978-12-01 00:00:00+00:00,71.86616,68.289,70.0,68.52499,75.81309,,,
1979-01-01 00:00:00+00:00,71.95773,68.36121,70.3,68.52148,75.81309,,,
1979-02-01 00:00:00+00:00,72.09984,68.35183,70.4,68.72973,75.81309,,,
1979-03-01 00:00:00+00:00,72.04198,68.45528,70.7,68.61111,75.83586,,,
1979-04-01 00:00:00+00:00,72.18167,68.37976,70.4,68.60641,75.83586,,,
1979-05-01 00:00:00+00:00,72.21905,68.29451,70.5,68.47371,75.83586,,,
1979-06-01 00:00:00+00:00,71.95013,68.38351,70.6,68.57631,75.78516,,,
1979-07-01 00:00:00+00:00,71.78135,68.55555,70.6,68.40239,75.78516,,,
1979-08-01 00:00:00+00:00,71.99038,68.61765,70.6,68.61929,75.78516,,,
1979-09-01 00:00:00+00:00,72.17982,68.7143,70.8,68.5486,75.85976,,,
1979-10-01 00:00:00+00:00,72.17936,68.65789,70.9,68.4996,75.85976,,,
1979-11-01 00:00:00+00:00,72.49361,68.36961,70.9,68.52891,75.85976,,,
1979-12-01 00:00:00+00:00,72.45069,68.65936,71.1,68.96153,75.94079,,,
1980-01-01 00:00:00+00:00,72.33765,68.54194,71.2,68.98774,75.94079,,,
1980-02-01 00:00:00+00:00,72.66373,68.4931,71.2,68.93024,75.94079,,,
1980-03-01 00:00:00+00:00,72.59187,68.44257,71.4,69.10857,75.97964,,,
1980-04-01 00:00:00+00:00,72.54298,68.34985,71.4,69.12241,75.97964,,,
1980-05-01 00:00:00+00:00,72.40636,68.33812,71.4,69.1301,75.97964,,,
1980-06-01 00:00:00+00:00,72.45697,68.38485,71.5,69.29431,76.0515,,,
1980-07-01 00:00:00+00:00,72.51463,68.30759,71.4,69.58133,76.0515,,,
1980-08-01 00:00:00+00:00,72.32998,68.56306,71.5,69.60036,76.0515,,,
1980-09-01 00:00:00+00:00,72.47787,68.63047,71.4,69.63102,76.10005,,,
1980-10-01 00:00:00+00:00,72.34341,68.59264,71.6,69.69506,76.10005,,,
1980-11-01 00:00:00+00:00,72.44451,68.67287,71.7,69.56512,76.10005,,,
1980-12-01 00:00:00+00:00,72.55845,68.60933,71.7,69.28751,76.13829,,,
1981-01-01 00:00:00+00:00,72.51949,68.5597,71.8,69.34158,76.13829,,,
1981-02-01 00:00:00+00:00,72.4293,68.58054,71.9,69.58147,76.13829,,,
1981-03-01 00:00:00+00:00,72.74526,68.6232,72.1,69.44407,76.15274,,,
1981-04-01 00:00:00+00:00,72.71729,68.64694,72.5,69.2667,76.15274,,,
1981-05-01 00:00:00+00:00,72.86839,68.70261,72.4,69.25414,76.15274,,,
1981-06-01 00:00:00+00:00,73.0247,68.74583,72.3,69.34818,76.07394,,,
1981-07-01 00:00:00+00:00,73.09798,68.58145,72.6,69.34719,76.07394,,,
1981-08-01 00:00:00+00:00,72.41148,68.70126,72.8,69.28812,76.07394,,,
1981-09-01 00:00:00+00:00,72.50005,68.68859,72.6,69.42477,75.85398,,,
1981-10-01 00:00:00+00:00,72.61369,68.69357,72.6,69.48894,75.85398,,,
1981-11-01 00:00:00+00:00,72.42366,68.60419,73.0,69.57384,75.85398,,,
1981-12-01 00:00:00+00:00,72.73817,68.58978,72.8,69.29287,75.59637,,,
1982-01-01 00:00:00+00:00,72.78717,68.715,72.7,69.17873,75.59637,,,
1982-02-01 00:00:00+00:00,72.62344,68.68513,72.5,69.19514,75.59637,,,
1982-03-01 00:00:00+00:00,72.68442,68.68757,72.2,69.47028,75.35161,,,
1982-04-01 00:00:00+00:00,72.81262,68.83752,72.1,69.38128,75.35161,,,
1982-05-01 00:00:00+00:00,72.84589,69.01384,72.1,69.26114,75.35161,,,
1982-06-01 00:00:00+00:00,72.90793,69.00151,72.0,69.27033,75.13318,,,
1982-07-01 00:00:00+00:00,73.1433,68.96634,72.0,69.14909,75.13318,,,
1982-08-01 00:00:00+00:00,72.70294,68.75143,71.9,69.01095,75.13318,,,
1982-09-01 00:00:00+00:00,72.90855,68.76084,72.1,68.92618,74.83363,,,
1982-10-01 00:00:00+00:00,73.09502,68.85124,71.7,68.89111,74.83363,,,
1982-11-01 00:00:00+00:00,73.16612,68.88205,71.8,68.82184,74.83363,,,
1982-12-01 00:00:00+00:00,73.09523,69.06367,72.0,69.45222,74.46084,,,
1983-01-01 00:00:00+00:00,73.18238,69.15171,71.9,69.1289,74.46084,,,
1983-02-01 00:00:00+00:00,73.19465,69.48398,72.2,68.94637,74.46084,,,
1983-03-01 00:00:00+00:00,73.10006,69.61575,72.1,68.75186,74.15482,,,
1983-04-01 00:00:00+00:00,72.93251,69.57996,72.2,68.94148,74.15482,,,
1983-05-01 00:00:00+00:00,72.8646,69.52133,72.4,68.72947,74.15482,,,
1983-06-01 00:00:00+00:00,72.91029,69.555,72.5,68.53046,74.15035,,,
1983-07-01 00:00:00+00:00,72.78276,69.74856,72.5,68.94718,74.15035,,,
1983-08-01 00:00:00+00:00,73.31277,69.69614,72.6,68.79871,74.15035,,,
1983-09-01 00:00:00+00:00,73.21132,69.64455,72.6,69.03748,74.60957,,,
1983-10-01 00:00:00+00:00,73.51758,69.65701,72.7,68.76772,74.60957,,,
1983-11-01 00:00:00+00:00,73.48421,69.64014,72.7,68.93921,74.60957,,,
1983-12-01 00:00:00+00:00,73.19764,69.57078,72.5,68.73629,75.1097,,,
1984-01-01 00:00:00+00:00,73.31651,69.5688,72.5,68.80872,75.1097,,,
1984-02-01 00:00:00+00:00,73.38556,69.45652,72.7,68.83885,75.1097,,,
1984-03-01 00:00:00+00:00,73.19412,69.39704,72.5,68.75576,75.52344,,,
1984-04-01 00:00:00+00:00,73.3699,69.44066,72.6,68.72517,75.52344,,,
1984-05-01 00:00:00+00:00,73.46063,69.32809,72.6,69.08964,75.52344,,,
1984-06-01 00:00:00+00:00,73.67992,69.36926,72.6,69.23371,75.75546,,,
1984-07-01 00:00:00+00:00,73.94062,69.3495,73.0,69.10558,75.75546,,,
1984-08-01 00:00:00+00:00,73.98658,69.50977,73.0,69.33607,75.75546,,,
1984-09-01 00:00:00+00:00,74.01481,69.38042,73.0,69.21297,75.81588,,,
1984-10-01 00:00:00+00:00,73.82374,69.44207,73.0,68.97769,75.81588,,,
1984-11-01 00:00:00+00:00,73.8849,69.61047,73.6,69.02845,75.81588,,,
1984-12-01 00:00:00+00:00,73.90903,69.57426,73.3,68.94312,75.99274,,,
1985-01-01 00:00:00+00:00,73.91628,69.47109,73.3,69.0228,75.99274,,,
1985-02-01 00:00:00+00:00,74.13653,69.43784,73.3,68.85875,75.99274,,,
1985-03-01 00:00:00+00:00,74.2597,69.41454,73.3,68.91628,76.04781,,,
