time,innov_21d
2011-09-15 23:00:00+00:00,
2011-09-18 23:00:00+00:00,
2011-09-19 23:00:00+00:00,
2011-09-20 23:00:00+00:00,
2011-09-21 23:00:00+00:00,
2011-09-22 23:00:00+00:00,
2011-09-25 23:00:00+00:00,
2011-09-26 23:00:00+00:00,
2011-09-27 23:00:00+00:00,
2011-09-28 23:00:00+00:00,
2011-09-29 23:00:00+00:00,
2011-10-02 23:00:00+00:00,
2011-10-03 23:00:00+00:00,
2011-10-04 23:00:00+00:00,
2011-10-05 23:00:00+00:00,
2011-10-06 23:00:00+00:00,
2011-10-09 23:00:00+00:00,
2011-10-10 23:00:00+00:00,
2011-10-11 23:00:00+00:00,
2011-10-12 23:00:00+00:00,
2011-10-13 23:00:00+00:00,
2011-10-16 23:00:00+00:00,
2011-10-17 23:00:00+00:00,
2011-10-18 23:00:00+00:00,
2011-10-19 23:00:00+00:00,
2011-10-20 23:00:00+00:00,
2011-10-23 23:00:00+00:00,
2011-10-24 23:00:00+00:00,
2011-10-25 23:00:00+00:00,
2011-10-26 23:00:00+00:00,
2011-10-27 23:00:00+00:00,
2011-10-31 00:00:00+00:00,
2011-11-01 00:00:00+00:00,
2011-11-02 00:00:00+00:00,
2011-11-03 00:00:00+00:00,
2011-11-04 00:00:00+00:00,
2011-11-07 00:00:00+00:00,
2011-11-08 00:00:00+00:00,
2011-11-09 00:00:00+00:00,
2011-11-10 00:00:00+00:00,
2011-11-11 00:00:00+00:00,
2011-11-14 00:00:00+00:00,
2011-11-15 00:00:00+00:00,
2011-11-16 00:00:00+00:00,
2011-11-17 00:00:00+00:00,
2011-11-18 00:00:00+00:00,
2011-11-21 00:00:00+00:00,
2011-11-22 00:00:00+00:00,
2011-11-23 00:00:00+00:00,
2011-11-24 00:00:00+00:00,
2011-11-25 00:00:00+00:00,
2011-11-28 00:00:00+00:00,
2011-11-29 00:00:00+00:00,
2011-11-30 00:00:00+00:00,
2011-12-01 00:00:00+00:00,
2011-12-02 00:00:00+00:00,-0.0007259964249697682
2011-12-05 00:00:00+00:00,-0.0008270695095156612
2011-12-06 00:00:00+00:00,-0.0012130242423432393
2011-12-07 00:00:00+00:00,-0.001350558850934578
2011-12-08 00:00:00+00:00,-0.0013690544048402791
2011-12-09 00:00:00+00:00,-0.0014264441641940193
2011-12-12 00:00:00+00:00,-0.0019195830337630036
2011-12-13 00:00:00+00:00,-0.0019804100093121155
2011-12-14 00:00:00+00:00,-0.0019045043273489643
2011-12-15 00:00:00+00:00,-0.0020536434295302386
2011-12-16 00:00:00+00:00,-0.0021279738810976914
2011-12-19 00:00:00+00:00,-0.0020590627926855253
2011-12-20 00:00:00+00:00,-0.0020330025046394395
2011-12-21 00:00:00+00:00,-0.0020356863773565107
2011-12-22 00:00:00+00:00,-0.0018764012809500937
2011-12-23 00:00:00+00:00,-0.0018356205615799141
2011-12-26 00:00:00+00:00,-0.002134798121534689
2011-12-27 00:00:00+00:00,-0.002084806214971072
2011-12-28 00:00:00+00:00,-0.0023499696090444116
2011-12-29 00:00:00+00:00,-0.0024236823223041026
2011-12-30 00:00:00+00:00,-0.0022258668710296216
2012-01-02 00:00:00+00:00,-0.002643699929558988
2012-01-03 00:00:00+00:00,-0.002507807319935256
2012-01-04 00:00:00+00:00,-0.0025000216208814754
2012-01-05 00:00:00+00:00,-0.0020854529726654436
2012-01-06 00:00:00+00:00,-0.0019168384185335782
2012-01-09 00:00:00+00:00,-0.0015693186973555623
2012-01-10 00:00:00+00:00,-0.0015645032592971845
2012-01-11 00:00:00+00:00,-0.001265367056452073
2012-01-12 00:00:00+00:00,-0.0016417605278942048
2012-01-13 00:00:00+00:00,-0.0017772651599899589
2012-01-16 00:00:00+00:00,-0.001771789960266162
2012-01-17 00:00:00+00:00,-0.0017053824710273882
2012-01-18 00:00:00+00:00,-0.0016836942234539562
2012-01-19 00:00:00+00:00,-0.0015274079215894685
2012-01-20 00:00:00+00:00,-0.0016977663787409456
2012-01-23 00:00:00+00:00,-0.0015960214387004314
2012-01-24 00:00:00+00:00,-0.0015242259649302942
2012-01-25 00:00:00+00:00,-0.0012228951417890795
2012-01-26 00:00:00+00:00,-0.0011188537087289466
2012-01-27 00:00:00+00:00,-0.000894048058296815
2012-01-30 00:00:00+00:00,-0.0011714949372947404
2012-01-31 00:00:00+00:00,-0.0011444910720883614
2012-02-01 00:00:00+00:00,-0.0011288987096640408
2012-02-02 00:00:00+00:00,-0.0010324998757869916
2012-02-03 00:00:00+00:00,-0.001049915217969868
2012-02-06 00:00:00+00:00,-0.0011509226488005554
2012-02-07 00:00:00+00:00,-0.0013689216959928297
2012-02-08 00:00:00+00:00,-0.0015445861698092844
2012-02-09 00:00:00+00:00,-0.001581970749541836
2012-02-10 00:00:00+00:00,-0.0016120431805117892
2012-02-13 00:00:00+00:00,-0.001665530634824768
2012-02-14 00:00:00+00:00,-0.0016372561679863702
2012-02-15 00:00:00+00:00,-0.0017434326798705779
2012-02-16 00:00:00+00:00,-0.0017045140861706594
2012-02-17 00:00:00+00:00,-0.0017270992864005896
2012-02-20 00:00:00+00:00,-0.0016929311335040133
2012-02-21 00:00:00+00:00,-0.0015021785187929633
2012-02-22 00:00:00+00:00,-0.001462009754365346
2012-02-23 00:00:00+00:00,-0.0016078804938972333
2012-02-24 00:00:00+00:00,-0.001433722860624537
2012-02-27 00:00:00+00:00,-0.0012853511889404988
2012-02-28 00:00:00+00:00,-0.0010885433657118618
2012-02-29 00:00:00+00:00,-0.0010033157375257213
2012-03-01 00:00:00+00:00,-0.0009232111998866564
2012-03-02 00:00:00+00:00,-0.0007234298050958999
2012-03-05 00:00:00+00:00,-0.0009106254250582386
2012-03-06 00:00:00+00:00,-0.0005730025023206083
2012-03-07 00:00:00+00:00,-0.00045001568044357107
2012-03-08 00:00:00+00:00,-7.537371267051906e-05
2012-03-09 00:00:00+00:00,-0.00025152315553983364
2012-03-12 00:00:00+00:00,0.00010200125427850884
2012-03-13 00:00:00+00:00,0.00042314252187545653
2012-03-14 00:00:00+00:00,0.00036878378137395005
2012-03-15 00:00:00+00:00,0.0004346511042473012
2012-03-16 00:00:00+00:00,0.0007275113462630314
2012-03-19 00:00:00+00:00,0.0008953559298771098
2012-03-20 00:00:00+00:00,0.0009761853974843875
2012-03-21 00:00:00+00:00,0.0008322973735576944
2012-03-22 00:00:00+00:00,0.0008709111900779467
2012-03-23 00:00:00+00:00,0.0008254991717982904
2012-03-25 23:00:00+00:00,0.0007693260532778048
2012-03-26 23:00:00+00:00,0.0006557064466246572
2012-03-27 23:00:00+00:00,0.0006454130858704176
2012-03-28 23:00:00+00:00,0.0005907856331623757
2012-03-29 23:00:00+00:00,0.0004876214511922829
2012-04-01 23:00:00+00:00,0.00024284686689381163
2012-04-02 23:00:00+00:00,0.0002829168630815813
2012-04-03 23:00:00+00:00,4.4831718056196485e-06
2012-04-04 23:00:00+00:00,0.0001714087573975358
2012-04-05 23:00:00+00:00,-6.40219538049899e-05
2012-04-08 23:00:00+00:00,4.701365609299183e-05
2012-04-09 23:00:00+00:00,-0.0002463665643142529
2012-04-10 23:00:00+00:00,-0.0005098986173181583
2012-04-11 23:00:00+00:00,-0.000351208954237508
2012-04-12 23:00:00+00:00,-0.0003344507061095025
2012-04-15 23:00:00+00:00,-0.0003297251559707401
2012-04-16 23:00:00+00:00,-0.0002207982760470276
2012-04-17 23:00:00+00:00,-0.00038641865762884496
2012-04-18 23:00:00+00:00,-0.0003223336880376869
2012-04-19 23:00:00+00:00,-0.00038103200983803133
2012-04-22 23:00:00+00:00,-0.00034060089565555486
2012-04-23 23:00:00+00:00,-0.00028581406107368833
2012-04-24 23:00:00+00:00,-0.0003363475171561242
2012-04-25 23:00:00+00:00,-0.00043018083000409026
2012-04-26 23:00:00+00:00,-0.0004476604688566253
2012-04-29 23:00:00+00:00,-0.0004321495089885351
2012-04-30 23:00:00+00:00,-0.00017948651695120967
2012-05-01 23:00:00+00:00,-0.00018504105343465204
2012-05-02 23:00:00+00:00,-0.0001800566888796049
2012-05-03 23:00:00+00:00,-0.00030684793574456415
2012-05-06 23:00:00+00:00,-0.00036479146002250246
2012-05-07 23:00:00+00:00,5.292820288193764e-06
2012-05-08 23:00:00+00:00,0.0001939206560752178
2012-05-09 23:00:00+00:00,0.000448676424382375
2012-05-10 23:00:00+00:00,0.0003305797329603852
2012-05-13 23:00:00+00:00,0.0001249221625944279
2012-05-14 23:00:00+00:00,-0.00011677481371497826
2012-05-15 23:00:00+00:00,-0.00034738055773266257
2012-05-16 23:00:00+00:00,-0.00020777892507076005
2012-05-17 23:00:00+00:00,-0.00027766736485378314
2012-05-20 23:00:00+00:00,-0.00022408472021779712
2012-05-21 23:00:00+00:00,-0.0001228466483135628
2012-05-22 23:00:00+00:00,-8.168930305097084e-05
2012-05-23 23:00:00+00:00,0.00021913835165698545
2012-05-24 23:00:00+00:00,0.00034254624945774526
2012-05-27 23:00:00+00:00,0.0003279250644737698
2012-05-28 23:00:00+00:00,0.0003647591949628437
2012-05-29 23:00:00+00:00,9.964965285645146e-05
2012-05-30 23:00:00+00:00,4.0784417932447636e-05
2012-05-31 23:00:00+00:00,0.00036737283596447855
2012-06-03 23:00:00+00:00,0.00023041603290299955
2012-06-04 23:00:00+00:00,0.00035907316325175815
2012-06-05 23:00:00+00:00,0.00018987282560647446
2012-06-06 23:00:00+00:00,-2.1798772720653913e-05
2012-06-07 23:00:00+00:00,0.00010079680253321718
2012-06-10 23:00:00+00:00,1.4462167959801257e-05
2012-06-11 23:00:00+00:00,0.0002934137091951637
2012-06-12 23:00:00+00:00,0.0006190272515109963
2012-06-13 23:00:00+00:00,0.0006897540573669366
2012-06-14 23:00:00+00:00,0.0005239076325684062
2012-06-17 23:00:00+00:00,0.0006495750716034535
2012-06-18 23:00:00+00:00,0.0007996918821555387
2012-06-19 23:00:00+00:00,0.000731737496416909
2012-06-20 23:00:00+00:00,0.0007346789534294308
2012-06-21 23:00:00+00:00,0.0003027474792184053
2012-06-24 23:00:00+00:00,0.0005679929207671316
2012-06-25 23:00:00+00:00,0.00048751383033156324
2012-06-26 23:00:00+00:00,0.00042216256193894873
2012-06-27 23:00:00+00:00,0.0004981482852831507
2012-06-28 23:00:00+00:00,0.0004861708092266737
2012-07-01 23:00:00+00:00,0.00023809114814054774
2012-07-02 23:00:00+00:00,0.000892169598648595
2012-07-03 23:00:00+00:00,0.0007551116855607229
2012-07-04 23:00:00+00:00,0.0004998294601011553
2012-07-05 23:00:00+00:00,0.0005911903868387122
2012-07-08 23:00:00+00:00,0.0003056808050229858
2012-07-09 23:00:00+00:00,0.0005888450106135198
2012-07-10 23:00:00+00:00,0.00038614411379507205
2012-07-11 23:00:00+00:00,5.036433208234839e-05
2012-07-12 23:00:00+00:00,-0.00011718322239154168
2012-07-15 23:00:00+00:00,-1.0137001104758118e-05
2012-07-16 23:00:00+00:00,7.563410626329047e-05
2012-07-17 23:00:00+00:00,-0.00023041806485590496
2012-07-18 23:00:00+00:00,-0.00024558249848864993
2012-07-19 23:00:00+00:00,-0.00039731781119963297
2012-07-22 23:00:00+00:00,-0.00034327862962926954
2012-07-23 23:00:00+00:00,-0.0004427112277171699
2012-07-24 23:00:00+00:00,-0.0003015420618781737
2012-07-25 23:00:00+00:00,-0.0001567412560719121
2012-07-26 23:00:00+00:00,3.920392020496932e-07
2012-07-29 23:00:00+00:00,0.000382371134450909
2012-07-30 23:00:00+00:00,0.0003842275392446845
2012-07-31 23:00:00+00:00,-0.00028141755887314737
2012-08-01 23:00:00+00:00,-0.0003150883642937625
2012-08-02 23:00:00+00:00,-0.00028181990869561007
2012-08-05 23:00:00+00:00,-0.00035697776174189663
2012-08-06 23:00:00+00:00,3.5335363310197085e-05
2012-08-07 23:00:00+00:00,-0.00022137188866815007
2012-08-08 23:00:00+00:00,-0.00021671073937983183
2012-08-09 23:00:00+00:00,-0.0002574796377576294
2012-08-12 23:00:00+00:00,-0.00019550438336841253
2012-08-13 23:00:00+00:00,-0.00038974027465032285
2012-08-14 23:00:00+00:00,-0.0006065438381071724
2012-08-15 23:00:00+00:00,-0.0005919232329241646
2012-08-16 23:00:00+00:00,-0.000648424201883855
2012-08-19 23:00:00+00:00,-0.0005356281370430382
2012-08-20 23:00:00+00:00,-0.0004919736270095889
2012-08-21 23:00:00+00:00,-0.0008492775149566948
2012-08-22 23:00:00+00:00,-0.0008080861349558108
2012-08-23 23:00:00+00:00,-0.0008161123876993075
2012-08-26 23:00:00+00:00,-0.0009512304002459253
2012-08-27 23:00:00+00:00,-0.0012758630911691663
2012-08-28 23:00:00+00:00,-0.0014071510923401968
2012-08-29 23:00:00+00:00,-0.0013338121615246493
2012-08-30 23:00:00+00:00,-0.0012738645904107806
2012-09-02 23:00:00+00:00,-0.0012649521326940165
2012-09-03 23:00:00+00:00,-0.0011719235321406675
2012-09-04 23:00:00+00:00,-0.0016705179667090508
2012-09-05 23:00:00+00:00,-0.001607655098769823
2012-09-06 23:00:00+00:00,-0.0015413370910279767
2012-09-09 23:00:00+00:00,-0.0013827012238747565
2012-09-10 23:00:00+00:00,-0.0011140879646626615
2012-09-11 23:00:00+00:00,-0.00105709021637676
2012-09-12 23:00:00+00:00,-0.0008095986038164321
2012-09-13 23:00:00+00:00,-0.0007135856842717236
2012-09-16 23:00:00+00:00,-0.000468147945795644
2012-09-17 23:00:00+00:00,-0.00042005030691334277
2012-09-18 23:00:00+00:00,-0.0004602417316511391
2012-09-19 23:00:00+00:00,-0.0004216204488845872
2012-09-20 23:00:00+00:00,-0.0005595789622362987
2012-09-23 23:00:00+00:00,-0.0006065446743249744
2012-09-24 23:00:00+00:00,-0.0006942048732756067
2012-09-25 23:00:00+00:00,-0.0007355592768422802
2012-09-26 23:00:00+00:00,-0.0006261807184651867
2012-09-27 23:00:00+00:00,-0.0006400776781591306
2012-09-30 23:00:00+00:00,-0.0005516620646528955
2012-10-01 23:00:00+00:00,-0.000387477355755225
2012-10-02 23:00:00+00:00,-0.000438432396944524
2012-10-03 23:00:00+00:00,-0.0003338262305864919
2012-10-04 23:00:00+00:00,-0.00034776004858925536
2012-10-07 23:00:00+00:00,-0.00025695468344363957
2012-10-08 23:00:00+00:00,-0.0003350798605250235
2012-10-09 23:00:00+00:00,-0.0005581555028303401
2012-10-10 23:00:00+00:00,-0.00036481182197134173
2012-10-11 23:00:00+00:00,-0.0006164114873668191
2012-10-14 23:00:00+00:00,-0.000574200038841764
2012-10-15 23:00:00+00:00,-0.0008002320994070977
2012-10-16 23:00:00+00:00,-0.0009074219685547024
2012-10-17 23:00:00+00:00,-0.0007356595119011452
2012-10-18 23:00:00+00:00,-0.0006418916074242085
2012-10-21 23:00:00+00:00,-0.0005229497786891522
2012-10-22 23:00:00+00:00,-0.0003999111659112554
2012-10-23 23:00:00+00:00,-0.0003056296686198864
2012-10-24 23:00:00+00:00,-9.387521089200372e-05
2012-10-25 23:00:00+00:00,-2.1179432831441337e-05
2012-10-29 00:00:00+00:00,-3.603593343967128e-05
2012-10-30 00:00:00+00:00,-0.00013442050782751106
2012-10-31 00:00:00+00:00,-0.0003238244101015598
2012-11-01 00:00:00+00:00,-0.0002884971378917258
2012-11-02 00:00:00+00:00,-0.00037080432639446546
2012-11-05 00:00:00+00:00,-0.000321565423104065
2012-11-06 00:00:00+00:00,-0.00021666086810644136
2012-11-07 00:00:00+00:00,-0.0002385645410316454
2012-11-08 00:00:00+00:00,-0.0002877849523420981
2012-11-09 00:00:00+00:00,-0.00034801428247712395
2012-11-12 00:00:00+00:00,-0.0002949126316928621
2012-11-13 00:00:00+00:00,-0.00035759568113679285
2012-11-14 00:00:00+00:00,-0.00033705045508280844
2012-11-15 00:00:00+00:00,-0.0003709423846456946
2012-11-16 00:00:00+00:00,-0.0004414677473378991
2012-11-19 00:00:00+00:00,-0.0004690036897759919
2012-11-20 00:00:00+00:00,-0.0005133773568319166
2012-11-21 00:00:00+00:00,-0.0006170543816908097
2012-11-22 00:00:00+00:00,-0.0006311103223987733
2012-11-23 00:00:00+00:00,-0.0007902877445219265
2012-11-26 00:00:00+00:00,-0.0009401739438040708
2012-11-27 00:00:00+00:00,-0.0006956317223453493
2012-11-28 00:00:00+00:00,-0.0007000627007872477
2012-11-29 00:00:00+00:00,-0.0006495053693916166
2012-11-30 00:00:00+00:00,-0.0006776190469613991
2012-12-03 00:00:00+00:00,-0.0006323161863970215
2012-12-04 00:00:00+00:00,-0.0006820656542211034
2012-12-05 00:00:00+00:00,-0.0008009266932613784
2012-12-06 00:00:00+00:00,-0.0007907984885966112
2012-12-07 00:00:00+00:00,-0.0007720232134536234
2012-12-10 00:00:00+00:00,-0.0007599753761078723
2012-12-11 00:00:00+00:00,-0.0007190132879764054
2012-12-12 00:00:00+00:00,-0.0007166487543672053
2012-12-13 00:00:00+00:00,-0.0005964048831088773
2012-12-14 00:00:00+00:00,-0.0004951416843355333
2012-12-17 00:00:00+00:00,-0.0005903454608593641
2012-12-18 00:00:00+00:00,-0.0005099802499807906
2012-12-19 00:00:00+00:00,-0.000545706867060086
2012-12-20 00:00:00+00:00,-0.000477778288952783
2012-12-21 00:00:00+00:00,-0.00043927338225614124
2012-12-24 00:00:00+00:00,-0.0004688652780961309
2012-12-25 00:00:00+00:00,-0.00016319027382361842
2012-12-26 00:00:00+00:00,-0.00042497496807252606
2012-12-27 00:00:00+00:00,-0.00044662732310816805
2012-12-28 00:00:00+00:00,-0.0004391640469010717
2012-12-31 00:00:00+00:00,-0.00047183783575169063
2013-01-01 00:00:00+00:00,-0.0004738097144007039
2013-01-02 00:00:00+00:00,-0.0003697068395936403
2013-01-03 00:00:00+00:00,-0.000468326823630297
2013-01-04 00:00:00+00:00,-0.00031492850640587634
2013-01-07 00:00:00+00:00,-2.1816163717557763e-05
2013-01-08 00:00:00+00:00,-3.716462023386352e-05
2013-01-09 00:00:00+00:00,1.493858729443437e-07
2013-01-10 00:00:00+00:00,2.7118239089228904e-05
2013-01-11 00:00:00+00:00,-6.072773339678471e-05
2013-01-14 00:00:00+00:00,0.0002510141068761888
2013-01-15 00:00:00+00:00,0.00036643502772963415
2013-01-16 00:00:00+00:00,0.0003695587576198157
2013-01-17 00:00:00+00:00,0.00045221989775560837
2013-01-18 00:00:00+00:00,0.0003680252329752369
2013-01-21 00:00:00+00:00,0.00037502693239422355
2013-01-22 00:00:00+00:00,0.0005029969044470285
2013-01-23 00:00:00+00:00,0.00020233202295844802
2013-01-24 00:00:00+00:00,0.0002958231632409513
2013-01-25 00:00:00+00:00,0.0003865483997032345
2013-01-28 00:00:00+00:00,0.00048628616508505007
2013-01-29 00:00:00+00:00,0.0005920459198102946
2013-01-30 00:00:00+00:00,0.0006127207384591764
2013-01-31 00:00:00+00:00,0.0006483959798883206
2013-02-01 00:00:00+00:00,0.0008200818157860831
2013-02-04 00:00:00+00:00,0.0007447912073428528
2013-02-05 00:00:00+00:00,0.00054152262585423
2013-02-06 00:00:00+00:00,0.0005351691369814503
2013-02-07 00:00:00+00:00,0.0005441781659379489
2013-02-08 00:00:00+00:00,0.0006258406023414271
2013-02-11 00:00:00+00:00,0.0007968250768018927
2013-02-12 00:00:00+00:00,0.0005078054003895584
2013-02-13 00:00:00+00:00,0.0005048733851030635
2013-02-14 00:00:00+00:00,0.0005202499607935354
2013-02-15 00:00:00+00:00,0.00052854963037522
2013-02-18 00:00:00+00:00,0.0006042623529564162
2013-02-19 00:00:00+00:00,0.0006284098191997258
2013-02-20 00:00:00+00:00,0.00047300005744768843
2013-02-21 00:00:00+00:00,0.000523199667628654
2013-02-22 00:00:00+00:00,0.0008158333837628164
2013-02-25 00:00:00+00:00,0.0008219875420616596
2013-02-26 00:00:00+00:00,0.0007426557915270922
2013-02-27 00:00:00+00:00,0.0007688503262629838
2013-02-28 00:00:00+00:00,0.000771508269340341
2013-03-01 00:00:00+00:00,0.0006736127469749152
2013-03-04 00:00:00+00:00,0.000634095070339727
2013-03-05 00:00:00+00:00,0.000636666847485568
2013-03-06 00:00:00+00:00,0.0005604811069708383
2013-03-07 00:00:00+00:00,0.0004984116779193372
2013-03-08 00:00:00+00:00,0.0005929017767708311
2013-03-11 00:00:00+00:00,0.0005979632229902343
2013-03-12 00:00:00+00:00,0.0006583558466778158
2013-03-13 00:00:00+00:00,0.0006470329827706037
2013-03-14 00:00:00+00:00,0.0005010550338839094
