time,high_emp_z_xs
2011-10-31 00:00:00+00:00,-0.006791737764158867
2011-11-30 00:00:00+00:00,-0.006392173982074145
2011-12-31 00:00:00+00:00,-0.012448433223377853
2012-01-31 00:00:00+00:00,-0.00711990249321659
2012-02-29 00:00:00+00:00,0.005106274984301384
2012-03-31 00:00:00+00:00,0.003005063546397402
2012-04-30 00:00:00+00:00,-0.006159932584072436
2012-05-31 00:00:00+00:00,-0.01750391602594137
2012-06-30 00:00:00+00:00,-0.004838034863992702
2012-07-31 00:00:00+00:00,-0.016980842184645017
2012-08-31 00:00:00+00:00,0.012099816454746337
2012-09-30 00:00:00+00:00,-0.005520264994593904
2012-10-31 00:00:00+00:00,0.0010529698148689093
2012-11-30 00:00:00+00:00,-0.002318963158647658
2012-12-31 00:00:00+00:00,0.003937935019626915
2013-01-31 00:00:00+00:00,-0.01310098286683381
2013-02-28 00:00:00+00:00,-0.0003323034561908411
2013-03-31 00:00:00+00:00,0.00517488856109205
2013-04-30 00:00:00+00:00,0.0036009450584124636
2013-05-31 00:00:00+00:00,0.019016617346657272
2013-06-30 00:00:00+00:00,0.0020820745136063135
2013-07-31 00:00:00+00:00,-0.00036724721013237094
2013-08-31 00:00:00+00:00,0.007529460506286778
2013-09-30 00:00:00+00:00,-0.0071353468414591115
2013-10-31 00:00:00+00:00,-0.007788804401080762
2013-11-30 00:00:00+00:00,0.007636349990827185
2013-12-31 00:00:00+00:00,0.002491081780840565
2014-01-31 00:00:00+00:00,0.006560019791808758
2014-02-28 00:00:00+00:00,0.002156030232515427
2014-03-31 00:00:00+00:00,-0.0009180989825879893
2014-04-30 00:00:00+00:00,-0.004254613174024091
2014-05-31 00:00:00+00:00,-0.009581875979887133
2014-06-30 00:00:00+00:00,0.006466336755467816
2014-07-31 00:00:00+00:00,-0.0018179404203660932
2014-08-31 00:00:00+00:00,-0.01024714669273663
2014-09-30 00:00:00+00:00,0.0013043037359901088
2014-10-31 00:00:00+00:00,-0.004764958385644391
2014-11-30 00:00:00+00:00,0.008135797870205241
2014-12-31 00:00:00+00:00,0.012975207379306797
2015-01-31 00:00:00+00:00,0.007407006802617078
2015-02-28 00:00:00+00:00,-0.0025288532389927676
2015-03-31 00:00:00+00:00,-0.002979460603919737
2015-04-30 00:00:00+00:00,-0.008114574548527487
2015-05-31 00:00:00+00:00,-0.008591692412907026
2015-06-30 00:00:00+00:00,-0.013183212053343274
2015-07-31 00:00:00+00:00,-0.0006818369501583321
2015-08-31 00:00:00+00:00,-0.012911513398885521
2015-09-30 00:00:00+00:00,0.007408735271218214
2015-10-31 00:00:00+00:00,0.014179233139589131
2015-11-30 00:00:00+00:00,0.01091400512772056
2015-12-31 00:00:00+00:00,0.000994712511523943
2016-01-31 00:00:00+00:00,-0.005274076994910115
2016-02-29 00:00:00+00:00,-0.011329895432536818
2016-03-31 00:00:00+00:00,0.0069209568713211045
2016-04-30 00:00:00+00:00,-0.0037915132499284354
2016-05-31 00:00:00+00:00,0.009190368377972602
2016-06-30 00:00:00+00:00,-7.728038785648206e-05
2016-07-31 00:00:00+00:00,0.006445139782628617
2016-08-31 00:00:00+00:00,0.005189913909438015
2016-09-30 00:00:00+00:00,-0.0020736312192027873
2016-10-31 00:00:00+00:00,0.00227124597258066
