time,rr_xs
2011-10-31 00:00:00+00:00,0.015804291272444093
2011-11-30 00:00:00+00:00,-0.01241523596109717
2011-12-31 00:00:00+00:00,-0.00179416352895434
2012-01-31 00:00:00+00:00,0.010595872560494213
2012-02-29 00:00:00+00:00,0.0037784085829588587
2012-03-31 00:00:00+00:00,-0.006760907968681784
2012-04-30 00:00:00+00:00,-0.00551866917141719
2012-05-31 00:00:00+00:00,-0.01324144864397847
2012-06-30 00:00:00+00:00,0.017342128631697262
2012-07-31 00:00:00+00:00,0.008428847026604958
2012-08-31 00:00:00+00:00,-0.00940070947224414
2012-09-30 00:00:00+00:00,0.0053147100110000345
2012-10-31 00:00:00+00:00,0.0006072318266172605
2012-11-30 00:00:00+00:00,-0.0006881080288791974
2012-12-31 00:00:00+00:00,-0.0068706923449919355
2013-01-31 00:00:00+00:00,0.003227858544279316
2013-02-28 00:00:00+00:00,0.008252233123968056
2013-03-31 00:00:00+00:00,0.013852903315816567
2013-04-30 00:00:00+00:00,-0.004188617822847185
2013-05-31 00:00:00+00:00,-0.0035596805757264205
2013-06-30 00:00:00+00:00,-0.0054662196414695385
2013-07-31 00:00:00+00:00,0.01992591523690468
2013-08-31 00:00:00+00:00,-0.012176742631728299
2013-09-30 00:00:00+00:00,0.009298512418676186
2013-10-31 00:00:00+00:00,0.004561274877190824
2013-11-30 00:00:00+00:00,-0.007135056535091278
2013-12-31 00:00:00+00:00,0.00458520023824649
2014-01-31 00:00:00+00:00,-0.005855366149899122
2014-02-28 00:00:00+00:00,0.0056246053468205215
2014-03-31 00:00:00+00:00,0.010830282680903025
2014-04-30 00:00:00+00:00,-0.0014679603883981374
2014-05-31 00:00:00+00:00,-0.0030817182835023438
2014-06-30 00:00:00+00:00,0.004189053421690181
2014-07-31 00:00:00+00:00,-0.007532178875166551
2014-08-31 00:00:00+00:00,-0.009964271512766465
2014-09-30 00:00:00+00:00,-0.018748578596569754
2014-10-31 00:00:00+00:00,0.000801540253115185
2014-11-30 00:00:00+00:00,0.000943421350215079
2014-12-31 00:00:00+00:00,-0.0008482050569913469
2015-01-31 00:00:00+00:00,-0.010944207427175168
2015-02-28 00:00:00+00:00,0.007481856075802318
