time,tot_vs_g10
2011-10-31 00:00:00+00:00,0.02647856941520499
2011-11-30 00:00:00+00:00,-0.023132541371769566
2011-12-31 00:00:00+00:00,0.0
2012-01-31 00:00:00+00:00,0.0
2012-02-29 00:00:00+00:00,0.0
2012-03-31 00:00:00+00:00,-0.0014241621237571778
2012-04-30 00:00:00+00:00,-0.004417849299095278
2012-05-31 00:00:00+00:00,-0.018601434061065514
2012-06-30 00:00:00+00:00,-0.0012325254761352822
2012-07-31 00:00:00+00:00,0.01859803657003467
2012-08-31 00:00:00+00:00,-0.01256464844863514
2012-09-30 00:00:00+00:00,0.0014203687764293704
2012-10-31 00:00:00+00:00,-0.008484546070154142
2012-11-30 00:00:00+00:00,-0.0007023987848829849
2012-12-31 00:00:00+00:00,-0.005271951874023739
2013-01-31 00:00:00+00:00,0.009552738730695953
2013-02-28 00:00:00+00:00,0.0
2013-03-31 00:00:00+00:00,0.0
2013-04-30 00:00:00+00:00,0.0
2013-05-31 00:00:00+00:00,-0.003277646988886662
2013-06-30 00:00:00+00:00,0.0
2013-07-31 00:00:00+00:00,0.0
2013-08-31 00:00:00+00:00,0.0
2013-09-30 00:00:00+00:00,0.0
2013-10-31 00:00:00+00:00,0.0
2013-11-30 00:00:00+00:00,-0.021677368539462782
2013-12-31 00:00:00+00:00,-0.005424070250362734
2014-01-31 00:00:00+00:00,-0.001707913230702296
2014-02-28 00:00:00+00:00,0.007722595032426671
2014-03-31 00:00:00+00:00,0.0
2014-04-30 00:00:00+00:00,-0.0023338653455438063
2014-05-31 00:00:00+00:00,0.0005387251469335386
2014-06-30 00:00:00+00:00,0.0025787393243448253
2014-07-31 00:00:00+00:00,0.000428845001221978
2014-08-31 00:00:00+00:00,-0.00048058262662176165
2014-09-30 00:00:00+00:00,-0.01713182375579414
2014-10-31 00:00:00+00:00,0.006465256315642209
2014-11-30 00:00:00+00:00,-0.006956077420703477
2014-12-31 00:00:00+00:00,-0.005141128849312171
2015-01-31 00:00:00+00:00,-0.013666322127041663
2015-02-28 00:00:00+00:00,0.00764081521337312
2015-03-31 00:00:00+00:00,0.004390538136460842
2015-04-30 00:00:00+00:00,0.0016793058387032378
2015-05-31 00:00:00+00:00,-0.006623696077027841
2015-06-30 00:00:00+00:00,0.0
2015-07-31 00:00:00+00:00,0.0
2015-08-31 00:00:00+00:00,-0.013969896670522508
2015-09-30 00:00:00+00:00,0.0014449285750279817
2015-10-31 00:00:00+00:00,0.01566135844732175
2015-11-30 00:00:00+00:00,-0.0006552065756650904
2015-12-31 00:00:00+00:00,0.009150663176516804
2016-01-31 00:00:00+00:00,-0.014941722696335757
2016-02-29 00:00:00+00:00,0.012097732746039869
2016-03-31 00:00:00+00:00,0.018071457081640485
2016-04-30 00:00:00+00:00,0.0015672634321872714
2016-05-31 00:00:00+00:00,-0.004525732606471711
2016-06-30 00:00:00+00:00,0.0
2016-07-31 00:00:00+00:00,0.0
2016-08-31 00:00:00+00:00,-0.0006665778478011086
2016-09-30 00:00:00+00:00,0.0036595490266491115
2016-10-31 00:00:00+00:00,0.015255465593156714
2016-11-30 00:00:00+00:00,0.0006812405981675429
2016-12-31 00:00:00+00:00,-0.013339575972695639
2017-01-31 00:00:00+00:00,0.002969489267636405
2017-02-28 00:00:00+00:00,-0.006948477461132696
2017-03-31 00:00:00+00:00,0.0
2017-04-30 00:00:00+00:00,-0.01394167197681151
2017-05-31 00:00:00+00:00,-0.00019682994319558667
2017-06-30 00:00:00+00:00,0.014395599791683589
2017-07-31 00:00:00+00:00,0.004146764308544215
2017-08-31 00:00:00+00:00,-0.011183784206280079
2017-09-30 00:00:00+00:00,-0.0014742333133195284
2017-10-31 00:00:00+00:00,0.0017797018816405608
2017-11-30 00:00:00+00:00,-0.0021939764567674436
2017-12-31 00:00:00+00:00,-0.0001500000000000945
2018-01-31 00:00:00+00:00,0.0
2018-02-28 00:00:00+00:00,0.0
2018-03-31 00:00:00+00:00,0.0
2018-04-30 00:00:00+00:00,0.0
2018-05-31 00:00:00+00:00,0.0
2018-06-30 00:00:00+00:00,0.0
2018-07-31 00:00:00+00:00,-0.0002852718843201485
2018-08-31 00:00:00+00:00,0.0
2018-09-30 00:00:00+00:00,0.00762888569083664
2018-10-31 00:00:00+00:00,0.004698650996814546
2018-11-30 00:00:00+00:00,0.011967980318754678
2018-12-31 00:00:00+00:00,-0.019253330799255175
2019-01-31 00:00:00+00:00,0.006319665367332528
2019-02-28 00:00:00+00:00,-0.0034123756686309514
2019-03-31 00:00:00+00:00,0.0002485087224939342
2019-04-30 00:00:00+00:00,-0.00014999999999998348
2019-05-31 00:00:00+00:00,0.0
2019-06-30 00:00:00+00:00,0.0
2019-07-31 00:00:00+00:00,0.0029356573262808716
2019-08-31 00:00:00+00:00,-0.015757189693518914
2019-09-30 00:00:00+00:00,0.0016973636022823424
2019-10-31 00:00:00+00:00,-0.005216689198109137
2019-11-30 00:00:00+00:00,-0.0019633862681072145
2019-12-31 00:00:00+00:00,0.007309287354974936
2020-01-31 00:00:00+00:00,-0.012095592484545503
2020-02-29 00:00:00+00:00,-0.00040840258052499134
2020-03-31 00:00:00+00:00,-0.030865755726550925
2020-04-30 00:00:00+00:00,0.020207327452206103
2020-05-31 00:00:00+00:00,0.010872518835251865
2020-06-30 00:00:00+00:00,0.01744848237507224
2020-07-31 00:00:00+00:00,0.0016438305210932924
2020-08-31 00:00:00+00:00,0.0010088902166480729
