time,value_gpr_cool
2011-10-31 00:00:00+00:00,0.0
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,0.0
2012-01-31 00:00:00+00:00,0.0
2012-02-29 00:00:00+00:00,0.0
2012-03-31 00:00:00+00:00,0.0
2012-04-30 00:00:00+00:00,0.0
2012-05-31 00:00:00+00:00,0.0
2012-06-30 00:00:00+00:00,0.0
2012-07-31 00:00:00+00:00,0.0
2012-08-31 00:00:00+00:00,0.0
2012-09-30 00:00:00+00:00,0.0
2012-10-31 00:00:00+00:00,0.0
2012-11-30 00:00:00+00:00,0.0
2012-12-31 00:00:00+00:00,0.0
2013-01-31 00:00:00+00:00,0.0
2013-02-28 00:00:00+00:00,0.0
2013-03-31 00:00:00+00:00,0.0
2013-04-30 00:00:00+00:00,0.0
2013-05-31 00:00:00+00:00,0.0
2013-06-30 00:00:00+00:00,0.0
2013-07-31 00:00:00+00:00,0.0
2013-08-31 00:00:00+00:00,0.0
2013-09-30 00:00:00+00:00,0.0
2013-10-31 00:00:00+00:00,0.0
2013-11-30 00:00:00+00:00,0.0
2013-12-31 00:00:00+00:00,0.0
2014-01-31 00:00:00+00:00,0.0
2014-02-28 00:00:00+00:00,0.0
2014-03-31 00:00:00+00:00,0.0
2014-04-30 00:00:00+00:00,0.0
2014-05-31 00:00:00+00:00,0.0
2014-06-30 00:00:00+00:00,0.0
2014-07-31 00:00:00+00:00,0.0
2014-08-31 00:00:00+00:00,0.0
2014-09-30 00:00:00+00:00,0.0
2014-10-31 00:00:00+00:00,0.0013377850077953557
2014-11-30 00:00:00+00:00,-0.0011395329851435765
2014-12-31 00:00:00+00:00,-0.008193504995309797
2015-01-31 00:00:00+00:00,-0.011144066757991067
2015-02-28 00:00:00+00:00,-0.005304358269466292
2015-03-31 00:00:00+00:00,-0.0015356859074630025
2015-04-30 00:00:00+00:00,0.003865218624199862
2015-05-31 00:00:00+00:00,0.007666783403903477
2015-06-30 00:00:00+00:00,-0.005706092090770443
2015-07-31 00:00:00+00:00,-0.0006499238518431483
2015-08-31 00:00:00+00:00,-0.003450376695105728
2015-09-30 00:00:00+00:00,0.00048723933130268016
2015-10-31 00:00:00+00:00,0.015307193745061287
2015-11-30 00:00:00+00:00,-0.0006252019924992691
2015-12-31 00:00:00+00:00,0.0030893014541979458
2016-01-31 00:00:00+00:00,0.001995764996816529
2016-02-29 00:00:00+00:00,-0.01079833201135283
2016-03-31 00:00:00+00:00,-0.004455589258175352
2016-04-30 00:00:00+00:00,0.017498393361967235
2016-05-31 00:00:00+00:00,-0.00114819386175391
2016-06-30 00:00:00+00:00,-0.017677851438023806
2016-07-31 00:00:00+00:00,-0.005177539430265665
2016-08-31 00:00:00+00:00,-0.0012581218575892228
2016-09-30 00:00:00+00:00,-0.0053271315127817465
2016-10-31 00:00:00+00:00,-0.011020981762352666
2016-11-30 00:00:00+00:00,0.010984049636061144
2016-12-31 00:00:00+00:00,-0.0013609633540266897
2017-01-31 00:00:00+00:00,-0.00594580546332113
2017-02-28 00:00:00+00:00,0.0037111004263656877
2017-03-31 00:00:00+00:00,0.004053169748349461
2017-04-30 00:00:00+00:00,0.010817185770134907
2017-05-31 00:00:00+00:00,-0.0029049118844525212
2017-06-30 00:00:00+00:00,0.0007471533808665054
2017-07-31 00:00:00+00:00,0.010173431564321156
2017-08-31 00:00:00+00:00,-0.00037443073608511845
2017-09-30 00:00:00+00:00,0.009632559056659273
2017-10-31 00:00:00+00:00,-0.005950726369973625
2017-11-30 00:00:00+00:00,-0.006438872526409067
2017-12-31 00:00:00+00:00,0.004966274865995546
2018-01-31 00:00:00+00:00,-0.00029363212019850593
2018-02-28 00:00:00+00:00,-0.003352160074801658
2018-03-31 00:00:00+00:00,0.0028249454514954753
