idea,mo_2024,mo_2025,mo_2026,mo_ho,pos_ho,top3_ho,gates_all,promote,reason
baseline_vt0025,0.004216856681389925,0.016277853185413717,0.023011327609662083,0.01523243086152203,0.75,0.8139578289205267,True,False,2024 mean_mo=0.42% <1%
ov::baseline_vt0025,0.004216856681389925,0.016277853185413717,0.023011327609662083,0.01523243086152203,0.75,0.8139578289205267,True,False,2024 mean_mo=0.42% <1%
ov::ma_only_sm0.025,0.0017558280001805824,0.005448235233551576,0.00928025270923069,0.006905547231702863,0.75,0.8318137251326251,True,False,2024 mean_mo=0.18% <1%
ov::eq_only_0.01,0.0017299478615249366,0.004897038923154548,0.006771050720415131,0.005609200481165126,0.75,0.7980504342160463,True,False,2024 mean_mo=0.17% <1%
ov::ma_only_sm0.015,0.0016305006410428243,0.004612519409646112,0.009211527113298465,0.006862269395718342,0.75,0.8315057764591309,True,False,2024 mean_mo=0.16% <1%
ov::vt+eqflat0.01,0.001618822082691969,0.005219946533367477,0.007921810692451972,0.005762634517405367,0.75,0.7410963478997048,True,False,2024 mean_mo=0.16% <1%
ov::ma_only_sm0.02,0.0016148038479688093,0.005172015719543823,0.009211527113298465,0.006862269395718342,0.75,0.8315057764591309,True,False,2024 mean_mo=0.16% <1%
ov::vt+eqflat0.008,0.0012074429663024753,0.0043615585241971325,0.007199032958833368,0.004515148810729314,0.75,0.719511424372449,True,False,2024 mean_mo=0.12% <1%
ov::eq_only_0.006,0.0010490826668520274,0.00320368041878521,0.005135271406971301,0.003603735147758617,0.75,0.7516294719924346,True,False,2024 mean_mo=0.10% <1%
ov::vt_eq_ma_combo,-0.0010216882493515296,0.008990456848171529,0.006892614787645537,0.0020576914590793396,0.75,0.6986890409217764,True,False,2024 mean_mo=-0.10% <1%
