date,TPU
1985-02-01 00:00:00+00:00,122.6139604621083
1985-03-01 00:00:00+00:00,41.762223427057904
1985-04-01 00:00:00+00:00,107.92572815952798
1985-05-01 00:00:00+00:00,194.7528674515738
1985-06-01 00:00:00+00:00,124.39165880768948
1985-07-01 00:00:00+00:00,153.1636136554804
1985-08-01 00:00:00+00:00,59.127151547654734
1985-09-01 00:00:00+00:00,109.6642632517361
1985-10-01 00:00:00+00:00,279.7238592692929
1985-11-01 00:00:00+00:00,121.79354834019418
1985-12-01 00:00:00+00:00,93.41195781341841
1986-01-01 00:00:00+00:00,70.16551255419515
1986-02-01 00:00:00+00:00,116.32196701884982
1986-03-01 00:00:00+00:00,42.167666781694024
1986-04-01 00:00:00+00:00,165.3136645027882
1986-05-01 00:00:00+00:00,111.90015853821247
1986-06-01 00:00:00+00:00,127.87392568503171
1986-07-01 00:00:00+00:00,151.89553640328566
1986-08-01 00:00:00+00:00,112.81969207866554
1986-09-01 00:00:00+00:00,54.13861081931941
1986-10-01 00:00:00+00:00,73.91655137690071
1986-11-01 00:00:00+00:00,151.87810392782734
1986-12-01 00:00:00+00:00,52.96164773544478
1987-01-01 00:00:00+00:00,70.15589579439259
1987-02-01 00:00:00+00:00,80.93437926912608
1987-03-01 00:00:00+00:00,82.8546791004974
1987-04-01 00:00:00+00:00,118.98795139443563
1987-05-01 00:00:00+00:00,136.77789313518045
1987-06-01 00:00:00+00:00,74.70363820508055
1987-07-01 00:00:00+00:00,172.86111253764955
1987-08-01 00:00:00+00:00,73.2613129156141
1987-09-01 00:00:00+00:00,29.541363060825084
1987-10-01 00:00:00+00:00,71.66129501899823
1987-11-01 00:00:00+00:00,256.5083057065455
1987-12-01 00:00:00+00:00,85.57797683355172
1988-01-01 00:00:00+00:00,84.76405367845497
1988-02-01 00:00:00+00:00,133.07646411671215
1988-03-01 00:00:00+00:00,125.41795593349752
1988-04-01 00:00:00+00:00,99.22941664062118
1988-05-01 00:00:00+00:00,100.81634832439308
1988-06-01 00:00:00+00:00,73.97964177689244
1988-07-01 00:00:00+00:00,75.68229212744583
1988-08-01 00:00:00+00:00,25.36655543151192
1988-09-01 00:00:00+00:00,110.66827932491637
1988-10-01 00:00:00+00:00,94.94437860057862
1988-11-01 00:00:00+00:00,59.34085965594739
1988-12-01 00:00:00+00:00,205.78850524475928
1989-01-01 00:00:00+00:00,100.39494875909841
1989-02-01 00:00:00+00:00,104.42677803338472
1989-03-01 00:00:00+00:00,43.75861844506312
1989-04-01 00:00:00+00:00,66.3203408823374
1989-05-01 00:00:00+00:00,68.2601360475956
1989-06-01 00:00:00+00:00,113.88578472209421
1989-07-01 00:00:00+00:00,48.95255362409982
1989-08-01 00:00:00+00:00,90.93341300531016
1989-09-01 00:00:00+00:00,96.89508841935337
1989-10-01 00:00:00+00:00,58.604492450075895
1989-11-01 00:00:00+00:00,63.3551522737471
1989-12-01 00:00:00+00:00,73.17665613621689
1990-01-01 00:00:00+00:00,125.07481823406695
1990-02-01 00:00:00+00:00,88.08335520395981
1990-03-01 00:00:00+00:00,55.61059863070726
1990-04-01 00:00:00+00:00,80.18742695100103
1990-05-01 00:00:00+00:00,56.70054933484222
1990-06-01 00:00:00+00:00,265.8728806359306
1990-07-01 00:00:00+00:00,269.2483730647223
1990-08-01 00:00:00+00:00,120.67320614695603
1990-09-01 00:00:00+00:00,30.49255580396004
1990-10-01 00:00:00+00:00,99.18508684736946
1990-11-01 00:00:00+00:00,62.890207143727984
1990-12-01 00:00:00+00:00,122.8208522712212
1991-01-01 00:00:00+00:00,138.3665816185187
1991-02-01 00:00:00+00:00,97.83042065375145
1991-03-01 00:00:00+00:00,128.99398694047517
1991-04-01 00:00:00+00:00,148.2803399468962
1991-05-01 00:00:00+00:00,78.18750623468489
1991-06-01 00:00:00+00:00,103.22113604197257
1991-07-01 00:00:00+00:00,87.47533142449466
1991-08-01 00:00:00+00:00,94.95476986179811
