idea,params,window,ret,mean_mo,pct_pos,top3,gates,p2t,n_months,trades,role
eq_budget_mo,"{""assumed_sharpe"": 1.0, ""base_vt"": 0.0025, ""lookback_months"": 6, ""target_mo"": 0.01}",2024,0.025452339579143723,0.0016471901358776125,0.5454545454545454,0.7027429163828551,True,0.07423982950324833,11,130,is_select
eq_budget_mo,"{""assumed_sharpe"": 1.0, ""base_vt"": 0.0025, ""lookback_months"": 6, ""target_mo"": 0.01}",2025_IS,0.12010926413933976,0.011240199805757231,0.75,0.6895817640623584,True,0.03858141498339174,8,67,is_select
eq_budget_mo,"{""assumed_sharpe"": 1.2, ""base_vt"": 0.0025, ""lookback_months"": 6, ""target_mo"": 0.012}",2024,0.025452339579143723,0.0016471901358776125,0.5454545454545454,0.7027429163828551,True,0.07423982950324833,11,130,is_select
eq_budget_mo,"{""assumed_sharpe"": 1.2, ""base_vt"": 0.0025, ""lookback_months"": 6, ""target_mo"": 0.012}",2025_IS,0.12010926413933976,0.011240199805757231,0.75,0.6895817640623584,True,0.03858141498339174,8,67,is_select
eq_budget_daily,"{""assumed_sharpe"": 1.2, ""base_vt"": 0.0025, ""target_mo"": 0.01}",2024,0.05382729899645988,0.004216856681390097,0.5454545454545454,0.7412750869650975,True,0.07423982950324833,11,130,is_select
eq_budget_daily,"{""assumed_sharpe"": 1.2, ""base_vt"": 0.0025, ""target_mo"": 0.01}",2025_IS,0.22973485993727016,0.023302682604722,0.75,0.6969790447140383,True,0.03858141498339174,8,67,is_select
eq_budget_daily,"{""assumed_sharpe"": 1.0, ""base_vt"": 0.0025, ""target_mo"": 0.012}",2024,0.05382729899645988,0.004216856681390097,0.5454545454545454,0.7412750869650975,True,0.07423982950324833,11,130,is_select
eq_budget_daily,"{""assumed_sharpe"": 1.0, ""base_vt"": 0.0025, ""target_mo"": 0.012}",2025_IS,0.22973485993727016,0.023302682604722,0.75,0.6969790447140383,True,0.03858141498339174,8,67,is_select
eq_tsmom_then_budget_mo,"{""base_vt"": 0.0025, ""lookback"": 60, ""lookback_months"": 6, ""neg_scale"": 0.25, ""target_mo"": 0.01}",2024,-0.005479863766209125,0.0007038766615107071,0.45454545454545453,0.9163272077928935,True,0.07381424474489529,11,130,is_select
eq_tsmom_then_budget_mo,"{""base_vt"": 0.0025, ""lookback"": 60, ""lookback_months"": 6, ""neg_scale"": 0.25, ""target_mo"": 0.01}",2025_IS,0.08465382254368525,0.007020022124263753,0.75,0.6682513434208551,True,0.045888824563413054,8,67,is_select
