time,xval_chg_xs
2011-10-31 00:00:00+00:00,-0.02196000817130983
2011-11-30 00:00:00+00:00,-0.0015377532140185002
2011-12-31 00:00:00+00:00,0.004172693935835525
2012-01-31 00:00:00+00:00,-0.0002688001120516592
2012-02-29 00:00:00+00:00,0.0029874716546480773
2012-03-31 00:00:00+00:00,0.002132945682931542
2012-04-30 00:00:00+00:00,-0.002978585728900418
2012-05-31 00:00:00+00:00,0.005008771968912251
2012-06-30 00:00:00+00:00,-0.00035904731679536894
2012-07-31 00:00:00+00:00,0.002170409237769233
2012-08-31 00:00:00+00:00,-0.0055652643946698666
2012-09-30 00:00:00+00:00,0.00538688959150857
2012-10-31 00:00:00+00:00,-0.0032204861759137504
2012-11-30 00:00:00+00:00,-0.0020876801771005926
2012-12-31 00:00:00+00:00,0.005253100426407142
2013-01-31 00:00:00+00:00,-0.006754363348042913
2013-02-28 00:00:00+00:00,-0.00023942700362733493
2013-03-31 00:00:00+00:00,0.007993194040856189
2013-04-30 00:00:00+00:00,0.0040566292894110845
2013-05-31 00:00:00+00:00,0.004908343278234195
2013-06-30 00:00:00+00:00,-0.01325583600255098
2013-07-31 00:00:00+00:00,-0.010514835475495143
2013-08-31 00:00:00+00:00,0.009097110933657504
2013-09-30 00:00:00+00:00,-0.01837837348404925
2013-10-31 00:00:00+00:00,-0.0002704559788850869
2013-11-30 00:00:00+00:00,-0.0019820754113202277
2013-12-31 00:00:00+00:00,-0.017734057050036056
2014-01-31 00:00:00+00:00,-0.0015137022482580864
2014-02-28 00:00:00+00:00,-0.0004293276062847795
2014-03-31 00:00:00+00:00,-0.020601632360348843
2014-04-30 00:00:00+00:00,0.0036703303784269004
2014-05-31 00:00:00+00:00,-0.0046488326493682175
2014-06-30 00:00:00+00:00,-0.006369367901032819
2014-07-31 00:00:00+00:00,-0.010014493386534484
2014-08-31 00:00:00+00:00,0.003768188353277635
2014-09-30 00:00:00+00:00,-0.010792258239620822
2014-10-31 00:00:00+00:00,0.004264250458607899
2014-11-30 00:00:00+00:00,-0.007230902689652208
2014-12-31 00:00:00+00:00,0.006895239167265199
2015-01-31 00:00:00+00:00,0.007771703158165222
2015-02-28 00:00:00+00:00,-0.016549587100614827
2015-03-31 00:00:00+00:00,-0.009995228330856976
2015-04-30 00:00:00+00:00,-0.00962191363004139
2015-05-31 00:00:00+00:00,0.004106794775231126
2015-06-30 00:00:00+00:00,0.007679876552465492
2015-07-31 00:00:00+00:00,0.005528885637765546
2015-08-31 00:00:00+00:00,0.011648762186350803
2015-09-30 00:00:00+00:00,0.0023614983239934606
2015-10-31 00:00:00+00:00,-0.009415794743043326
2015-11-30 00:00:00+00:00,0.007146500325915017
2015-12-31 00:00:00+00:00,-0.0013428165696351968
2016-01-31 00:00:00+00:00,0.004748342994678634
2016-02-29 00:00:00+00:00,-0.009154540313124238
2016-03-31 00:00:00+00:00,0.005331886732513835
2016-04-30 00:00:00+00:00,0.0020477147527855344
2016-05-31 00:00:00+00:00,0.005133022537382015
2016-06-30 00:00:00+00:00,0.03462032484527433
2016-07-31 00:00:00+00:00,0.008885245874745262
2016-08-31 00:00:00+00:00,0.002110766596732372
2016-09-30 00:00:00+00:00,-0.0009242509527551679
2016-10-31 00:00:00+00:00,-0.0029266775042798843
2016-11-30 00:00:00+00:00,0.020712769802902153
2016-12-31 00:00:00+00:00,0.00991345333660365
2017-01-31 00:00:00+00:00,0.010782766504933816
2017-02-28 00:00:00+00:00,0.002460322671974824
2017-03-31 00:00:00+00:00,0.002676300304611079
2017-04-30 00:00:00+00:00,0.003799060253399711
2017-05-31 00:00:00+00:00,0.0117509680624861
2017-06-30 00:00:00+00:00,-0.0026906587182400354
2017-07-31 00:00:00+00:00,-0.011063053335209516
2017-08-31 00:00:00+00:00,-0.004885886661168071
2017-09-30 00:00:00+00:00,-0.0029944884033609176
2017-10-31 00:00:00+00:00,-0.007900360334403889
2017-11-30 00:00:00+00:00,0.010594426841607607
2017-12-31 00:00:00+00:00,-0.011955917317823084
2018-01-31 00:00:00+00:00,-0.0014596534345425738
2018-02-28 00:00:00+00:00,0.006399389716652104
2018-03-31 00:00:00+00:00,-0.0007199292726747242
2018-04-30 00:00:00+00:00,-0.0015209553850045188
2018-05-31 00:00:00+00:00,-0.00038525491604501916
2018-06-30 00:00:00+00:00,-0.004037232964568038
2018-07-31 00:00:00+00:00,-0.0014068151523161099
2018-08-31 00:00:00+00:00,-0.0070329024769818504
2018-09-30 00:00:00+00:00,-0.004504192060123646
2018-10-31 00:00:00+00:00,-0.011731544313160591
2018-11-30 00:00:00+00:00,0.004897094414306524
2018-12-31 00:00:00+00:00,0.0010496851317545186
2019-01-31 00:00:00+00:00,-0.004759881900000207
2019-02-28 00:00:00+00:00,-0.009279808744698137
2019-03-31 00:00:00+00:00,0.004388353191291827
2019-04-30 00:00:00+00:00,0.008910606574026758
2019-05-31 00:00:00+00:00,-0.0029742096420209974
2019-06-30 00:00:00+00:00,-0.001837179890743168
2019-07-31 00:00:00+00:00,0.00020962629892506968
2019-08-31 00:00:00+00:00,0.004116689301263188
2019-09-30 00:00:00+00:00,0.005171811733082565
2019-10-31 00:00:00+00:00,-0.003941309644570623
2019-11-30 00:00:00+00:00,-0.005803593991678069
2019-12-31 00:00:00+00:00,-0.002498968695057613
2020-01-31 00:00:00+00:00,0.009719780641364473
2020-02-29 00:00:00+00:00,-0.0007960771819146562
2020-03-31 00:00:00+00:00,-0.0049986368503531775
2020-04-30 00:00:00+00:00,0.0006000025264427666
2020-05-31 00:00:00+00:00,-0.0030176328657112172
2020-06-30 00:00:00+00:00,-0.00822461139493258
2020-07-31 00:00:00+00:00,0.003234300862257955
2020-08-31 00:00:00+00:00,-0.010349458668565847
2020-09-30 00:00:00+00:00,-0.005087460447843584
2020-10-31 00:00:00+00:00,-0.0060229630718463545
2020-11-30 00:00:00+00:00,-0.022669188116456906
2020-12-31 00:00:00+00:00,0.003284625677585584
2021-01-31 00:00:00+00:00,-0.01750963835604824
2021-02-28 00:00:00+00:00,0.009058158917181869
2021-03-31 00:00:00+00:00,-0.002344148277004021
2021-04-30 00:00:00+00:00,0.004262055510255269
2021-05-31 00:00:00+00:00,-0.00804577009398122
2021-06-30 00:00:00+00:00,-0.002397054826448808
2021-07-31 00:00:00+00:00,0.0045388532906078805
2021-08-31 00:00:00+00:00,-0.005094645934753617
2021-09-30 00:00:00+00:00,-0.002762704500019586
2021-10-31 00:00:00+00:00,-0.002193114321366929
2021-11-30 00:00:00+00:00,-0.010650815730340879
2021-12-31 00:00:00+00:00,0.0001847647649173556
2022-01-31 00:00:00+00:00,-0.003234727080623445
2022-02-28 00:00:00+00:00,-0.00616370032750535
2022-03-31 00:00:00+00:00,-0.004216890142687224
2022-04-30 00:00:00+00:00,0.0023807185910831308
2022-05-31 00:00:00+00:00,0.001574391930581287
2022-06-30 00:00:00+00:00,0.005097793569711406
2022-07-31 00:00:00+00:00,0.004163469423713817
2022-08-31 00:00:00+00:00,0.009200477835764609
2022-09-30 00:00:00+00:00,0.0014027396519955548
2022-10-31 00:00:00+00:00,-0.00661412750988799
2022-11-30 00:00:00+00:00,0.0018338468321346113
2022-12-31 00:00:00+00:00,-0.002242687562584056
2023-01-31 00:00:00+00:00,0.009862240151350399
2023-02-28 00:00:00+00:00,-0.0028879521564113553
2023-03-31 00:00:00+00:00,-0.0013559025934547497
2023-04-30 00:00:00+00:00,0.009365868879765982
2023-05-31 00:00:00+00:00,-0.0009936120951409277
2023-06-30 00:00:00+00:00,-0.010860618713344539
2023-07-31 00:00:00+00:00,0.0020258782924231777
2023-08-31 00:00:00+00:00,0.0005581522186592913
2023-09-30 00:00:00+00:00,-0.006224820260170794
2023-10-31 00:00:00+00:00,0.013959976557240683
2023-11-30 00:00:00+00:00,-0.008823495149804517
2023-12-31 00:00:00+00:00,0.003109301120326924
