idea,params,window,ret,mean_mo,pct_pos,top3,gates,p2t,n_months,role,sizing
real_n2_z_vol,"{""betas_2024"": {""AUDUSD/NZDUSD"": 0.7150032270701753, ""EURAUD/AUDUSD"": -0.31093367860651805}, ""entry"": 1.5, ""exit_z"": 0.2, ""nested"": ""opt2024_val2025"", ""pairs"": [""EURAUD/AUDUSD:w40"", ""AUDUSD/NZDUSD:w40""], ""risk_frac"": 0.005, ""sizing"": ""z_vol"", ""sleeve_budget"": 0.55}",2024,0.01962257603750528,0.0010328978373691914,0.6363636363636364,0.7576340974898652,True,0.017083837911912748,11,is_opt,z_vol
real_n2_z_vol,"{""betas_2024"": {""AUDUSD/NZDUSD"": 0.7150032270701753, ""EURAUD/AUDUSD"": -0.31093367860651805}, ""entry"": 1.5, ""exit_z"": 0.2, ""nested"": ""opt2024_val2025"", ""pairs"": [""EURAUD/AUDUSD:w40"", ""AUDUSD/NZDUSD:w40""], ""risk_frac"": 0.005, ""sizing"": ""z_vol"", ""sleeve_budget"": 0.55}",2025_IS,0.0018992716457675307,-3.725278505301022e-05,0.5,0.9504636565319362,True,0.0266577472348648,8,is_val,z_vol
real_n2_z_vol,"{""betas_2024"": {""AUDUSD/NZDUSD"": 0.7150032270701753, ""EURAUD/AUDUSD"": -0.31093367860651805}, ""entry"": 1.5, ""exit_z"": 0.2, ""nested"": ""opt2024_val2025"", ""pairs"": [""EURAUD/AUDUSD:w40"", ""AUDUSD/NZDUSD:w40""], ""risk_frac"": 0.005, ""sizing"": ""z_vol"", ""sleeve_budget"": 1.0}",2024,0.03567741097728261,0.00187543859246792,0.6363636363636364,0.759284407939297,True,0.030799917612440806,11,is_opt,z_vol
real_n2_z_vol,"{""betas_2024"": {""AUDUSD/NZDUSD"": 0.7150032270701753, ""EURAUD/AUDUSD"": -0.31093367860651805}, ""entry"": 1.5, ""exit_z"": 0.2, ""nested"": ""opt2024_val2025"", ""pairs"": [""EURAUD/AUDUSD:w40"", ""AUDUSD/NZDUSD:w40""], ""risk_frac"": 0.005, ""sizing"": ""z_vol"", ""sleeve_budget"": 1.0}",2025_IS,0.0034532211741227226,-5.329358184455457e-05,0.5,0.9505283944578475,True,0.048005613466068874,8,is_val,z_vol
real_n2_z_vol,"{""betas_2024"": {""AUDUSD/NZDUSD"": 0.7150032270701753, ""EURAUD/AUDUSD"": -0.31093367860651805}, ""entry"": 1.5, ""exit_z"": 0.2, ""nested"": ""opt2024_val2025"", ""pairs"": [""EURAUD/AUDUSD:w40"", ""AUDUSD/NZDUSD:w40""], ""risk_frac"": 0.0075, ""sizing"": ""z_vol"", ""sleeve_budget"": 0.55}",2024,0.030104113874809935,0.00159431628424381,0.5454545454545454,0.7982640932304186,True,0.025352956340080578,11,is_opt,z_vol
real_n2_z_vol,"{""betas_2024"": {""AUDUSD/NZDUSD"": 0.7150032270701753, ""EURAUD/AUDUSD"": -0.31093367860651805}, ""entry"": 1.5, ""exit_z"": 0.2, ""nested"": ""opt2024_val2025"", ""pairs"": [""EURAUD/AUDUSD:w40"", ""AUDUSD/NZDUSD:w40""], ""risk_frac"": 0.0075, ""sizing"": ""z_vol"", ""sleeve_budget"": 0.55}",2025_IS,0.00846453343511877,0.0006484887255089611,0.5,0.962816081703469,True,0.030369708922370602,8,is_val,z_vol
real_n2_z_vol,"{""betas_2024"": {""AUDUSD/NZDUSD"": 0.7150032270701753, ""EURAUD/AUDUSD"": -0.31093367860651805}, ""entry"": 1.5, ""exit_z"": 0.2, ""nested"": ""opt2024_val2025"", ""pairs"": [""EURAUD/AUDUSD:w40"", ""AUDUSD/NZDUSD:w40""], ""risk_frac"": 0.0075, ""sizing"": ""z_vol"", ""sleeve_budget"": 1.0}",2024,0.05473475249965443,0.0028892437466527202,0.5454545454545454,0.8007270980535367,True,0.04548170412821686,11,is_opt,z_vol
real_n2_z_vol,"{""betas_2024"": {""AUDUSD/NZDUSD"": 0.7150032270701753, ""EURAUD/AUDUSD"": -0.31093367860651805}, ""entry"": 1.5, ""exit_z"": 0.2, ""nested"": ""opt2024_val2025"", ""pairs"": [""EURAUD/AUDUSD:w40"", ""AUDUSD/NZDUSD:w40""], ""risk_frac"": 0.0075, ""sizing"": ""z_vol"", ""sleeve_budget"": 1.0}",2025_IS,0.015390060791125038,0.0012077863433560682,0.5,0.9630178496118138,True,0.05443085377874403,8,is_val,z_vol
real_n2_z_vol,"{""betas_2024"": {""AUDUSD/NZDUSD"": 0.7150032270701753, ""EURAUD/AUDUSD"": -0.31093367860651805}, ""entry"": 1.5, ""exit_z"": 0.2, ""nested"": ""opt2024_val2025"", ""pairs"": [""EURAUD/AUDUSD:w40"", ""AUDUSD/NZDUSD:w40""], ""risk_frac"": 0.01, ""sizing"": ""z_vol"", ""sleeve_budget"": 0.55}",2024,0.039292415325188124,0.002031451695329599,0.45454545454545453,0.8247982306550024,True,0.03298161649889253,11,is_opt,z_vol
real_n2_z_vol,"{""betas_2024"": {""AUDUSD/NZDUSD"": 0.7150032270701753, ""EURAUD/AUDUSD"": -0.31093367860651805}, ""entry"": 1.5, ""exit_z"": 0.2, ""nested"": ""opt2024_val2025"", ""pairs"": [""EURAUD/AUDUSD:w40"", ""AUDUSD/NZDUSD:w40""], ""risk_frac"": 0.01, ""sizing"": ""z_vol"", ""sleeve_budget"": 0.55}",2025_IS,0.013457233409156055,0.0011394148966706458,0.5,0.9657432913731061,True,0.03374795079950018,8,is_val,z_vol
