time,fxrv_innov_usd_63d
2011-10-31 00:00:00+00:00,0.0
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,0.0
2012-01-31 00:00:00+00:00,0.0
2012-02-29 00:00:00+00:00,0.0
2012-03-31 00:00:00+00:00,0.0
2012-04-30 00:00:00+00:00,0.0
2012-05-31 00:00:00+00:00,0.0018943804539524045
2012-06-30 00:00:00+00:00,0.0003037563849948022
2012-07-31 00:00:00+00:00,-0.0012917279707351792
2012-08-31 00:00:00+00:00,0.00021342649489164423
2012-09-30 00:00:00+00:00,0.0
2012-10-31 00:00:00+00:00,0.0
2012-11-30 00:00:00+00:00,0.0
2012-12-31 00:00:00+00:00,0.0
2013-01-31 00:00:00+00:00,0.0
2013-02-28 00:00:00+00:00,0.003984524943182244
2013-03-31 00:00:00+00:00,0.0006026352491994569
2013-04-30 00:00:00+00:00,-0.007324680568140618
2013-05-31 00:00:00+00:00,0.009963852169265763
2013-06-30 00:00:00+00:00,0.008206345140623794
2013-07-31 00:00:00+00:00,-0.005284852487727476
2013-08-31 00:00:00+00:00,0.00015133085376817235
2013-09-30 00:00:00+00:00,-8.41439600671734e-05
2013-10-31 00:00:00+00:00,0.0
2013-11-30 00:00:00+00:00,0.0
2013-12-31 00:00:00+00:00,0.0
2014-01-31 00:00:00+00:00,0.0002709572608179389
2014-02-28 00:00:00+00:00,-0.0013782203612113797
2014-03-31 00:00:00+00:00,0.0
2014-04-30 00:00:00+00:00,0.0
2014-05-31 00:00:00+00:00,0.0
2014-06-30 00:00:00+00:00,0.0
2014-07-31 00:00:00+00:00,0.0
2014-08-31 00:00:00+00:00,3.013479301672284e-05
2014-09-30 00:00:00+00:00,0.012130945623688882
2014-10-31 00:00:00+00:00,-0.00015391944722953355
2014-11-30 00:00:00+00:00,0.005900648545741793
2014-12-31 00:00:00+00:00,0.008916477270985101
2015-01-31 00:00:00+00:00,0.024460485262511877
2015-02-28 00:00:00+00:00,-0.002029768992702352
2015-03-31 00:00:00+00:00,0.005149314422377094
2015-04-30 00:00:00+00:00,-0.0075346654745881425
2015-05-31 00:00:00+00:00,0.0076535179914660745
2015-06-30 00:00:00+00:00,-0.001926180639082009
2015-07-31 00:00:00+00:00,0.0
2015-08-31 00:00:00+00:00,0.0
2015-09-30 00:00:00+00:00,-1.4434456237943927e-05
2015-10-31 00:00:00+00:00,0.0002518715249018033
2015-11-30 00:00:00+00:00,0.0028705390410903586
2015-12-31 00:00:00+00:00,0.0
2016-01-31 00:00:00+00:00,0.0
2016-02-29 00:00:00+00:00,0.003925072959846565
2016-03-31 00:00:00+00:00,-0.01968106241060108
2016-04-30 00:00:00+00:00,-0.0028509059367329836
2016-05-31 00:00:00+00:00,-0.00026085463255420827
2016-06-30 00:00:00+00:00,0.0
2016-07-31 00:00:00+00:00,-0.0010605299576877947
2016-08-31 00:00:00+00:00,0.00014881268160515937
2016-09-30 00:00:00+00:00,-0.0024177308733732694
2016-10-31 00:00:00+00:00,0.0
2016-11-30 00:00:00+00:00,0.0
2016-12-31 00:00:00+00:00,0.0015391508963422673
2017-01-31 00:00:00+00:00,-0.010318489337491132
2017-02-28 00:00:00+00:00,0.0007153829104509235
2017-03-31 00:00:00+00:00,0.0
2017-04-30 00:00:00+00:00,0.0
2017-05-31 00:00:00+00:00,0.0
2017-06-30 00:00:00+00:00,0.0
2017-07-31 00:00:00+00:00,-0.004379797826087106
2017-08-31 00:00:00+00:00,0.001352151760184217
2017-09-30 00:00:00+00:00,0.0012492702995110516
2017-10-31 00:00:00+00:00,0.002389357668973524
2017-11-30 00:00:00+00:00,-0.0001353133444643717
2017-12-31 00:00:00+00:00,0.0
2018-01-31 00:00:00+00:00,0.0
2018-02-28 00:00:00+00:00,0.004015718907452559
