time,ca_surplus_xs
2011-10-31 00:00:00+00:00,-0.028853137042972987
2011-11-30 00:00:00+00:00,0.016056714812630712
2011-12-31 00:00:00+00:00,-0.013039850607490577
2012-01-31 00:00:00+00:00,-0.01033815958567319
2012-02-29 00:00:00+00:00,-5.512029230658744e-05
2012-03-31 00:00:00+00:00,0.0010919830454623192
2012-04-30 00:00:00+00:00,-0.00529260617578442
2012-05-31 00:00:00+00:00,0.016513384406172227
2012-06-30 00:00:00+00:00,-0.009538132812749511
2012-07-31 00:00:00+00:00,-0.021484661772457114
2012-08-31 00:00:00+00:00,0.0065796965931435025
2012-09-30 00:00:00+00:00,-0.007998342119432733
2012-10-31 00:00:00+00:00,0.004245063131136151
2012-11-30 00:00:00+00:00,-0.0006504417050388067
2012-12-31 00:00:00+00:00,0.0040673258331702655
2013-01-31 00:00:00+00:00,0.008283093205443848
2013-02-28 00:00:00+00:00,0.00038181103130874305
2013-03-31 00:00:00+00:00,-0.01984124973614898
2013-04-30 00:00:00+00:00,0.010887141732288663
2013-05-31 00:00:00+00:00,0.014332938579694643
2013-06-30 00:00:00+00:00,0.01709555628616788
2013-07-31 00:00:00+00:00,0.015598717160747455
2013-08-31 00:00:00+00:00,-0.007600638742280674
2013-09-30 00:00:00+00:00,-0.015300044275265545
2013-10-31 00:00:00+00:00,0.008694279605674593
2013-11-30 00:00:00+00:00,-0.00461978841240307
2013-12-31 00:00:00+00:00,0.00335879051333543
2014-01-31 00:00:00+00:00,-0.00785128724528883
2014-02-28 00:00:00+00:00,-0.002178489903700398
2014-03-31 00:00:00+00:00,-0.00741997951322293
2014-04-30 00:00:00+00:00,-0.0007308998802665334
2014-05-31 00:00:00+00:00,-0.008375740418822164
2014-06-30 00:00:00+00:00,-0.004724776456778379
2014-07-31 00:00:00+00:00,-0.0030245711956929933
2014-08-31 00:00:00+00:00,-0.004002691409179415
2014-09-30 00:00:00+00:00,0.0025292657484818903
2014-10-31 00:00:00+00:00,1.499697337781214e-05
2014-11-30 00:00:00+00:00,0.007547574573229632
2014-12-31 00:00:00+00:00,-0.008853616368676764
2015-01-31 00:00:00+00:00,0.02149191168285358
2015-02-28 00:00:00+00:00,-0.024926268545670593
2015-03-31 00:00:00+00:00,-0.003286281990465545
2015-04-30 00:00:00+00:00,0.006696933545478956
2015-05-31 00:00:00+00:00,0.010030539562721597
2015-06-30 00:00:00+00:00,0.01049443547839779
2015-07-31 00:00:00+00:00,-0.005486908902271659
2015-08-31 00:00:00+00:00,0.020843133135047154
2015-09-30 00:00:00+00:00,0.00277413410990901
2015-10-31 00:00:00+00:00,-0.013928381003991741
2015-11-30 00:00:00+00:00,-0.011155852585892023
2015-12-31 00:00:00+00:00,-0.0020551570557926224
2016-01-31 00:00:00+00:00,0.013561611527892703
2016-02-29 00:00:00+00:00,-0.0022904394407773365
2016-03-31 00:00:00+00:00,-0.017803864084832588
2016-04-30 00:00:00+00:00,-0.004768440318964062
