time,high_ival_z_xs
2011-10-31 00:00:00+00:00,-0.0032482862303236937
2011-11-30 00:00:00+00:00,0.0031833495504201004
2011-12-31 00:00:00+00:00,-3.042112137885411e-05
2012-01-31 00:00:00+00:00,0.008792170920096654
2012-02-29 00:00:00+00:00,-0.005375920966690928
2012-03-31 00:00:00+00:00,-0.0013638041875090323
2012-04-30 00:00:00+00:00,0.00151367717659312
2012-05-31 00:00:00+00:00,-0.00931028856922167
2012-06-30 00:00:00+00:00,-0.0077560540628837105
2012-07-31 00:00:00+00:00,0.011086257899908247
2012-08-31 00:00:00+00:00,0.008573329049680334
2012-09-30 00:00:00+00:00,-0.0009073197345450534
2012-10-31 00:00:00+00:00,-0.002155131702853419
2012-11-30 00:00:00+00:00,0.00214828035045711
2012-12-31 00:00:00+00:00,0.0056192027617960605
2013-01-31 00:00:00+00:00,0.006923268597573307
2013-02-28 00:00:00+00:00,-0.009389171126024554
2013-03-31 00:00:00+00:00,0.013056773732182503
2013-04-30 00:00:00+00:00,0.006494711022991595
2013-05-31 00:00:00+00:00,-0.005316958082268064
2013-06-30 00:00:00+00:00,-0.020578377701831907
2013-07-31 00:00:00+00:00,-0.003522022853393203
2013-08-31 00:00:00+00:00,-0.01574618429593111
2013-09-30 00:00:00+00:00,-0.00568702776853669
2013-10-31 00:00:00+00:00,-0.006585679113833676
2013-11-30 00:00:00+00:00,-0.007807361344248975
2013-12-31 00:00:00+00:00,-0.0005374242599922585
2014-01-31 00:00:00+00:00,0.002012896166728506
2014-02-28 00:00:00+00:00,-0.004577990716117197
2014-03-31 00:00:00+00:00,-0.0001998552664195241
2014-04-30 00:00:00+00:00,-0.0008926048404127584
2014-05-31 00:00:00+00:00,-1.965627037547879e-05
2014-06-30 00:00:00+00:00,0.005579421659365202
2014-07-31 00:00:00+00:00,0.0017494853422501677
2014-08-31 00:00:00+00:00,0.006582963330535874
2014-09-30 00:00:00+00:00,-0.016575895206497604
2014-10-31 00:00:00+00:00,0.0039333015851190645
2014-11-30 00:00:00+00:00,-0.0024848530924942436
2014-12-31 00:00:00+00:00,-0.01250457535775551
2015-01-31 00:00:00+00:00,-0.02436772352897898
2015-02-28 00:00:00+00:00,-0.015003339939326454
2015-03-31 00:00:00+00:00,-0.006966125483528707
2015-04-30 00:00:00+00:00,0.0008761081068346943
2015-05-31 00:00:00+00:00,0.014108482422195756
2015-06-30 00:00:00+00:00,-0.007008071317356812
2015-07-31 00:00:00+00:00,-0.012282681272384632
2015-08-31 00:00:00+00:00,-0.0020439397480083166
2015-09-30 00:00:00+00:00,-0.0056005856264089715
2015-10-31 00:00:00+00:00,-0.006962193911741021
2015-11-30 00:00:00+00:00,-0.00593862736983608
2015-12-31 00:00:00+00:00,-0.0025620134330839317
2016-01-31 00:00:00+00:00,0.0168210208205406
2016-02-29 00:00:00+00:00,-0.008428974498454145
2016-03-31 00:00:00+00:00,0.015010344263531206
2016-04-30 00:00:00+00:00,-0.012174508008415907
2016-05-31 00:00:00+00:00,0.014687526784500582
2016-06-30 00:00:00+00:00,-0.009817704561027929
2016-07-31 00:00:00+00:00,0.004066918547855458
2016-08-31 00:00:00+00:00,0.0016402458164463951
2016-09-30 00:00:00+00:00,-0.003011430750098909
2016-10-31 00:00:00+00:00,0.009541939109432684
2016-11-30 00:00:00+00:00,-0.011808663960280241
2016-12-31 00:00:00+00:00,-0.00023607924650093093
2017-01-31 00:00:00+00:00,0.0017108109192756071
2017-02-28 00:00:00+00:00,0.002940837631082438
2017-03-31 00:00:00+00:00,0.01224959200200515
2017-04-30 00:00:00+00:00,-0.0015034666885982428
2017-05-31 00:00:00+00:00,0.000753873690554574
2017-06-30 00:00:00+00:00,0.0016364079730519787
