time,core60_soft40
2024-02-29 00:00:00+00:00,0.0005667534870734681
2024-03-31 00:00:00+00:00,-0.016817896568824042
2024-04-30 00:00:00+00:00,0.006847151889381342
2024-05-31 00:00:00+00:00,0.018524736659587537
2024-06-30 00:00:00+00:00,-0.015022548941993064
2024-07-31 00:00:00+00:00,0.00936060069304312
2024-08-31 00:00:00+00:00,0.033843326833539855
2024-09-30 00:00:00+00:00,0.007892041221779778
2024-10-31 00:00:00+00:00,0.03849625107923771
2024-11-30 00:00:00+00:00,0.013724821032064849
2024-12-31 00:00:00+00:00,-0.00838392827520551
2025-01-31 00:00:00+00:00,0.016293731392429622
2025-02-28 00:00:00+00:00,-0.0001247275484396182
2025-03-31 00:00:00+00:00,0.011691765637215301
2025-04-30 00:00:00+00:00,-0.013285357855111535
2025-05-31 00:00:00+00:00,0.018061565314210215
2025-06-30 00:00:00+00:00,0.0026970120637805906
2025-07-31 00:00:00+00:00,0.010500794348888842
2025-08-31 00:00:00+00:00,0.04035117593495463
2025-09-30 00:00:00+00:00,0.017398545496646545
2025-10-31 00:00:00+00:00,-0.0021189527951809284
2025-11-30 00:00:00+00:00,-0.0022642973920738996
2025-12-31 00:00:00+00:00,0.01069050860262788
2026-01-31 00:00:00+00:00,0.006490591995935491
2026-02-28 00:00:00+00:00,0.01007342809872891
2026-03-31 00:00:00+00:00,-0.028149338049810235
2026-04-30 00:00:00+00:00,0.051030616150718355
2026-05-31 00:00:00+00:00,-0.002141044974921069
2026-06-30 00:00:00+00:00,0.004053476329297645
2026-07-31 00:00:00+00:00,0.07003287122381874
2026-08-31 00:00:00+00:00,0.011667005942661568
2026-09-30 00:00:00+00:00,0.00968567950501975
