time,low_er_xs
2011-10-31 00:00:00+00:00,-0.02418121510418758
2011-11-30 00:00:00+00:00,0.024372424459460973
2011-12-31 00:00:00+00:00,-0.0009592999701460991
2012-01-31 00:00:00+00:00,-0.010901039617484232
2012-02-29 00:00:00+00:00,-0.008807315294220741
2012-03-31 00:00:00+00:00,0.013856991559145548
2012-04-30 00:00:00+00:00,0.0046178630287612155
2012-05-31 00:00:00+00:00,0.020205719487527585
2012-06-30 00:00:00+00:00,-0.009461108611125257
2012-07-31 00:00:00+00:00,-0.0015041620169706782
2012-08-31 00:00:00+00:00,0.001846651774235264
2012-09-30 00:00:00+00:00,-0.0008592335074890656
2012-10-31 00:00:00+00:00,-0.004024113722911116
2012-11-30 00:00:00+00:00,-0.0032389744242035112
2012-12-31 00:00:00+00:00,-0.0016523929771565804
2013-01-31 00:00:00+00:00,-0.004029146933161254
2013-02-28 00:00:00+00:00,0.0071352103860296
2013-03-31 00:00:00+00:00,0.007764312003362139
2013-04-30 00:00:00+00:00,-0.0023277766698532876
2013-05-31 00:00:00+00:00,0.005227608565782527
2013-06-30 00:00:00+00:00,0.0026381194107720773
2013-07-31 00:00:00+00:00,-0.010681105878376673
2013-08-31 00:00:00+00:00,0.013181118198598574
2013-09-30 00:00:00+00:00,-0.0013545167465780494
2013-10-31 00:00:00+00:00,-4.9031816688915875e-05
2013-11-30 00:00:00+00:00,-0.0003910745388110426
2013-12-31 00:00:00+00:00,-0.010448986012874695
2014-01-31 00:00:00+00:00,0.0021939449665431265
2014-02-28 00:00:00+00:00,-0.006004742065765067
2014-03-31 00:00:00+00:00,-0.0027875521116039748
2014-04-30 00:00:00+00:00,0.004268988276203034
2014-05-31 00:00:00+00:00,0.012277860605401925
2014-06-30 00:00:00+00:00,-0.003849136663114261
2014-07-31 00:00:00+00:00,0.004664618405264109
2014-08-31 00:00:00+00:00,0.00873579151067605
2014-09-30 00:00:00+00:00,0.0026138349879263334
2014-10-31 00:00:00+00:00,0.0018517764821255334
2014-11-30 00:00:00+00:00,-0.010141497635459018
2014-12-31 00:00:00+00:00,-0.009141120928576218
2015-01-31 00:00:00+00:00,-0.029225940453744492
2015-02-28 00:00:00+00:00,0.002197365326489731
2015-03-31 00:00:00+00:00,-0.0017072264975633855
2015-04-30 00:00:00+00:00,0.005629623266114825
2015-05-31 00:00:00+00:00,0.004419588653659989
2015-06-30 00:00:00+00:00,0.010754172370559756
2015-07-31 00:00:00+00:00,-0.0082113935525584
2015-08-31 00:00:00+00:00,-0.0001465808040573835
2015-09-30 00:00:00+00:00,-0.007350020873289065
2015-10-31 00:00:00+00:00,-0.009376447996329529
2015-11-30 00:00:00+00:00,0.008290201041070366
2015-12-31 00:00:00+00:00,0.005182147786587432
2016-01-31 00:00:00+00:00,0.0031156366231452903
2016-02-29 00:00:00+00:00,0.0031139582808230593
2016-03-31 00:00:00+00:00,0.007281772007150744
2016-04-30 00:00:00+00:00,0.007123695819467812
2016-05-31 00:00:00+00:00,-0.010203662056546103
2016-06-30 00:00:00+00:00,-0.007500188486691872
2016-07-31 00:00:00+00:00,-0.001072463596552442
2016-08-31 00:00:00+00:00,-0.00160151194748559
2016-09-30 00:00:00+00:00,-0.0018291638780530972
2016-10-31 00:00:00+00:00,0.0024942259101206066
2016-11-30 00:00:00+00:00,0.0027809068540671777
2016-12-31 00:00:00+00:00,-0.0022638511110970594
2017-01-31 00:00:00+00:00,0.001161990416730374
2017-02-28 00:00:00+00:00,0.009623343829224806
2017-03-31 00:00:00+00:00,0.0006969714225386614
2017-04-30 00:00:00+00:00,-0.008323347508805368
2017-05-31 00:00:00+00:00,-0.013212354992872766
2017-06-30 00:00:00+00:00,0.006772621484786967
2017-07-31 00:00:00+00:00,0.016037589453724133
2017-08-31 00:00:00+00:00,0.007935060792704673
2017-09-30 00:00:00+00:00,-0.0009552092000590928
2017-10-31 00:00:00+00:00,0.00566545721849554
2017-11-30 00:00:00+00:00,-0.007685580751020993
2017-12-31 00:00:00+00:00,0.004234747169856501
2018-01-31 00:00:00+00:00,-0.005790914415426007
2018-02-28 00:00:00+00:00,-0.013437768665592542
2018-03-31 00:00:00+00:00,-0.0011829197969164262
2018-04-30 00:00:00+00:00,0.005607671254569402
2018-05-31 00:00:00+00:00,-0.0032967932347974793
