idea,params,window,ret,mean_mo,pct_pos,top3,gates,p2t,n_months,trades,n_legs,score_note
baseline_vt0025,locked,2024,0.05382729899645855,0.004216856681389925,0.5454545454545454,0.7412750869651012,True,0.07423982950324844,11,130,5,
baseline_vt0025,locked,2025,0.21990836080444787,0.016277853185413717,0.7272727272727273,0.6925774266330262,True,0.038581414983391585,11,74,5,
baseline_vt0025,locked,2026,0.20032630955632258,0.023011327609662083,0.875,0.8680846676945262,True,0.06376392341456799,8,122,5,
baseline_vt0025,locked,holdout_365d,0.21552412271510168,0.01523243086152203,0.75,0.8139578289205267,True,0.06825160423221091,12,146,5,
baseline_vt0025,locked,roll12_m6,0.16449332218046808,0.011309149872287835,0.6666666666666666,0.8020160651091527,True,0.038723675235688884,12,79,5,
lock_plus4|oos_sharpe|vt0.0035|hi3.0,n=9|w=oos_sharpe|vt=0.0035|chi=3.0|mc=None,2024,0.10615820790989194,0.00806774500583171,0.7272727272727273,0.5499498915542476,True,0.03611252831070905,11,397,9,
lock_plus4|oos_sharpe|vt0.0035|hi3.0,n=9|w=oos_sharpe|vt=0.0035|chi=3.0|mc=None,2025,0.11127457161626886,0.008003631303748855,0.6363636363636364,0.6270649800131031,True,0.03729916572871869,11,340,9,
lock_plus4|oos_sharpe|vt0.0035|hi3.0,n=9|w=oos_sharpe|vt=0.0035|chi=3.0|mc=None,2026,0.09281806940871973,0.013267404025023743,0.75,0.8352890381330671,True,0.04550398343672667,8,293,9,
lock_plus4|oos_sharpe|vt0.0035|hi3.0,n=9|w=oos_sharpe|vt=0.0035|chi=3.0|mc=None,holdout_365d,0.08635972496194344,0.006274702337794147,0.5,0.8442979436122314,True,0.05473315307561311,12,359,9,
lock_plus4|oos_sharpe|vt0.0035|hi3.0,n=9|w=oos_sharpe|vt=0.0035|chi=3.0|mc=None,roll12_m6,0.06930706323666236,0.004978435391240682,0.5,0.6675875401194487,True,0.04517576907684939,12,324,9,
lock_plus4|oos_sharpe|vt0.004|hi3.0,n=9|w=oos_sharpe|vt=0.004|chi=3.0|mc=None,2024,0.10615820790989194,0.00806774500583171,0.7272727272727273,0.5499498915542476,True,0.03611252831070905,11,397,9,
lock_plus4|oos_sharpe|vt0.004|hi3.0,n=9|w=oos_sharpe|vt=0.004|chi=3.0|mc=None,2025,0.11127457161626886,0.008003631303748855,0.6363636363636364,0.6270649800131031,True,0.03729916572871869,11,340,9,
lock_plus4|oos_sharpe|vt0.004|hi3.0,n=9|w=oos_sharpe|vt=0.004|chi=3.0|mc=None,2026,0.09169977724610634,0.013143500809991923,0.75,0.8357155920101423,True,0.04550398343672667,8,293,9,
lock_plus4|oos_sharpe|vt0.004|hi3.0,n=9|w=oos_sharpe|vt=0.004|chi=3.0|mc=None,holdout_365d,0.08586306112027753,0.006238104393871356,0.5,0.8447546209765806,True,0.05473315307561311,12,359,9,
lock_plus4|oos_sharpe|vt0.004|hi3.0,n=9|w=oos_sharpe|vt=0.004|chi=3.0|mc=None,roll12_m6,0.06930706323666236,0.004978435391240682,0.5,0.6675875401194487,True,0.04517576907684939,12,324,9,
lock_plus4|oos_sharpe|vt0.005|hi3.0,n=9|w=oos_sharpe|vt=0.005|chi=3.0|mc=None,2024,0.10615820790989194,0.00806774500583171,0.7272727272727273,0.5499498915542476,True,0.03611252831070905,11,397,9,
lock_plus4|oos_sharpe|vt0.005|hi3.0,n=9|w=oos_sharpe|vt=0.005|chi=3.0|mc=None,2025,0.11127457161626886,0.008003631303748855,0.6363636363636364,0.6270649800131031,True,0.03729916572871869,11,340,9,
lock_plus4|oos_sharpe|vt0.005|hi3.0,n=9|w=oos_sharpe|vt=0.005|chi=3.0|mc=None,2026,0.09130758786580384,0.013100110424078312,0.75,0.8358697440885204,True,0.04550398343672667,8,293,9,
lock_plus4|oos_sharpe|vt0.005|hi3.0,n=9|w=oos_sharpe|vt=0.005|chi=3.0|mc=None,holdout_365d,0.08573919316883583,0.0062290302249980905,0.5,0.8448827162454058,True,0.05473315307561311,12,359,9,
