time,cpff_usd
2011-10-31 00:00:00+00:00,0.0
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,0.00013906419786535729
2012-01-31 00:00:00+00:00,-0.0011731994509359689
2012-02-29 00:00:00+00:00,-0.0008259156828633873
2012-03-31 00:00:00+00:00,0.0
2012-04-30 00:00:00+00:00,0.0
2012-05-31 00:00:00+00:00,0.0
2012-06-30 00:00:00+00:00,-0.003411606286124136
2012-07-31 00:00:00+00:00,0.002404344091069488
2012-08-31 00:00:00+00:00,0.0
2012-09-30 00:00:00+00:00,0.0
2012-10-31 00:00:00+00:00,0.00021171258758156952
2012-11-30 00:00:00+00:00,0.0
2012-12-31 00:00:00+00:00,0.0
2013-01-31 00:00:00+00:00,-0.0005561572823620242
2013-02-28 00:00:00+00:00,-5.365982670302305e-05
2013-03-31 00:00:00+00:00,0.0
2013-04-30 00:00:00+00:00,0.0
2013-05-31 00:00:00+00:00,0.0
2013-06-30 00:00:00+00:00,-0.0022254950377273985
2013-07-31 00:00:00+00:00,0.008749283404143382
2013-08-31 00:00:00+00:00,0.0
2013-09-30 00:00:00+00:00,-7.500000000004725e-05
2013-10-31 00:00:00+00:00,-0.001055289995903208
2013-11-30 00:00:00+00:00,0.0
2013-12-31 00:00:00+00:00,-0.0005406455872551952
2014-01-31 00:00:00+00:00,-0.0020622805576961944
2014-02-28 00:00:00+00:00,-0.0077799428889032685
2014-03-31 00:00:00+00:00,-0.0011531500155128604
2014-04-30 00:00:00+00:00,-0.00017209002612172952
2014-05-31 00:00:00+00:00,0.0
2014-06-30 00:00:00+00:00,0.0
2014-07-31 00:00:00+00:00,0.0003600429753902734
2014-08-31 00:00:00+00:00,0.0
2014-09-30 00:00:00+00:00,0.00609712125714279
2014-10-31 00:00:00+00:00,0.0
2014-11-30 00:00:00+00:00,-0.002427279893587486
2014-12-31 00:00:00+00:00,0.002466726208839365
2015-01-31 00:00:00+00:00,0.005477347123066467
2015-02-28 00:00:00+00:00,-0.0005620982712035705
2015-03-31 00:00:00+00:00,-0.002066548075034036
2015-04-30 00:00:00+00:00,-0.0041942675525625805
2015-05-31 00:00:00+00:00,-0.00957463706161299
2015-06-30 00:00:00+00:00,-0.0014180077829607507
2015-07-31 00:00:00+00:00,0.009005854428679072
2015-08-31 00:00:00+00:00,0.0037954083718563236
2015-09-30 00:00:00+00:00,0.0035262865079945804
2015-10-31 00:00:00+00:00,-0.002168038557592178
2015-11-30 00:00:00+00:00,0.009048140042051012
2015-12-31 00:00:00+00:00,-0.006119411020365506
2016-01-31 00:00:00+00:00,0.01589334431709477
2016-02-29 00:00:00+00:00,3.3022324846587736e-05
2016-03-31 00:00:00+00:00,-0.007474123983889802
2016-04-30 00:00:00+00:00,0.0
2016-05-31 00:00:00+00:00,-0.002981888022723256
2016-06-30 00:00:00+00:00,-0.005485537231843862
2016-07-31 00:00:00+00:00,0.00147058183133697
2016-08-31 00:00:00+00:00,0.0018987510722956458
2016-09-30 00:00:00+00:00,-0.003170652362429527
2016-10-31 00:00:00+00:00,0.008372597480428734
2016-11-30 00:00:00+00:00,-0.0006275412385824408
2016-12-31 00:00:00+00:00,0.006211122271102099
2017-01-31 00:00:00+00:00,0.0
2017-02-28 00:00:00+00:00,-0.0007669526707442254
2017-03-31 00:00:00+00:00,-0.007647583818455317
2017-04-30 00:00:00+00:00,0.0
2017-05-31 00:00:00+00:00,0.0
2017-06-30 00:00:00+00:00,0.0
2017-07-31 00:00:00+00:00,0.0
2017-08-31 00:00:00+00:00,0.0
2017-09-30 00:00:00+00:00,0.0
2017-10-31 00:00:00+00:00,0.0
2017-11-30 00:00:00+00:00,0.0
2017-12-31 00:00:00+00:00,-0.002364212092166751
2018-01-31 00:00:00+00:00,-0.010558859716099156
