idea,mo_2024,pos_2024,top3_2024,mo_2025,pos_2025,mo_2026,pos_2026,mo_ho,pos_ho,top3_ho,promote,why
baseline_vt0025,0.004216856681389925,0.5454545454545454,0.7412750869651012,0.016277853185413717,0.7272727272727273,0.023011327609662083,0.875,0.01523243086152203,0.75,0.8139578289205267,False,2024 mean_mo=0.42% <1%
lock_plus4|oos_sharpe|vt0.0035|hi3.0,0.00806774500583171,0.7272727272727273,0.5499498915542476,0.008003631303748855,0.6363636363636364,0.013267404025023743,0.75,0.006274702337794147,0.5,0.8442979436122314,False,2024 mean_mo=0.81% <1%
lock_plus4|oos_sharpe|vt0.004|hi3.0,0.00806774500583171,0.7272727272727273,0.5499498915542476,0.008003631303748855,0.6363636363636364,0.013143500809991923,0.75,0.006238104393871356,0.5,0.8447546209765806,False,2024 mean_mo=0.81% <1%
lock_plus4|oos_sharpe|vt0.005|hi3.0,0.00806774500583171,0.7272727272727273,0.5499498915542476,0.008003631303748855,0.6363636363636364,0.013100110424078312,0.75,0.0062290302249980905,0.5,0.8448827162454058,False,2024 mean_mo=0.81% <1%
lock_plus4|oos_sharpe|vt0.003|hi3.0,0.008000049319975404,0.7272727272727273,0.5532536809511135,0.007979130078298263,0.6363636363636364,0.013371053205864,0.75,0.0063052497990622736,0.5,0.8437524623506243,False,2024 mean_mo=0.80% <1%
lock_plus3|oos_sharpe|vt0.005|hi3.0,0.011059260150143156,0.7272727272727273,0.5553011165125353,0.006425035271590703,0.7272727272727273,0.01412699062969655,0.5,0.008311960370271163,0.5,0.8413959353991725,False,2025 mean_mo=0.64% <1%
