time,low_credit_gap_xs
2011-10-31 00:00:00+00:00,-0.01662434121895251
2011-11-30 00:00:00+00:00,0.009587075335418138
2011-12-31 00:00:00+00:00,-0.0011101705917887505
2012-01-31 00:00:00+00:00,-0.003215886277361246
2012-02-29 00:00:00+00:00,-0.00383408332386026
2012-03-31 00:00:00+00:00,-0.002988691990519543
2012-04-30 00:00:00+00:00,-0.0004166970311135776
2012-05-31 00:00:00+00:00,0.007871048549725979
2012-06-30 00:00:00+00:00,0.009557375976394722
2012-07-31 00:00:00+00:00,0.0025643595503708205
2012-08-31 00:00:00+00:00,-0.010519138833953279
2012-09-30 00:00:00+00:00,0.001187843004021083
2012-10-31 00:00:00+00:00,-0.0008019569749958544
2012-11-30 00:00:00+00:00,-0.001643680205691167
2012-12-31 00:00:00+00:00,-0.002443904347300019
2013-01-31 00:00:00+00:00,-0.0003515663669770852
2013-02-28 00:00:00+00:00,0.008649144128342057
2013-03-31 00:00:00+00:00,0.015912538702019585
2013-04-30 00:00:00+00:00,-0.006843805717060336
2013-05-31 00:00:00+00:00,-0.005257723437840589
2013-06-30 00:00:00+00:00,-0.0125219181714048
2013-07-31 00:00:00+00:00,-0.0033669203335204845
2013-08-31 00:00:00+00:00,0.012293422460604608
2013-09-30 00:00:00+00:00,-0.0013545167465778274
2013-10-31 00:00:00+00:00,-4.9031816689470986e-05
2013-11-30 00:00:00+00:00,-0.000136284219837135
2013-12-31 00:00:00+00:00,-0.0005364103756069216
2014-01-31 00:00:00+00:00,0.015007400048801411
2014-02-28 00:00:00+00:00,-0.0030344080666055984
2014-03-31 00:00:00+00:00,-0.004446429755348591
2014-04-30 00:00:00+00:00,-0.0005275487113534094
2014-05-31 00:00:00+00:00,3.929990128392902e-05
2014-06-30 00:00:00+00:00,-0.0012545352362953732
2014-07-31 00:00:00+00:00,0.008355154031297163
2014-08-31 00:00:00+00:00,-0.002239727516459511
2014-09-30 00:00:00+00:00,0.01157091555535339
2014-10-31 00:00:00+00:00,-0.003059340115435405
2014-11-30 00:00:00+00:00,0.001234829788418157
2014-12-31 00:00:00+00:00,0.009666570901353255
2015-01-31 00:00:00+00:00,-0.0012254009572016944
2015-02-28 00:00:00+00:00,0.011661896559889362
2015-03-31 00:00:00+00:00,-0.0005640631046841538
2015-04-30 00:00:00+00:00,-0.013498428531980466
2015-05-31 00:00:00+00:00,0.009073563239293536
2015-06-30 00:00:00+00:00,0.005335391212947904
2015-07-31 00:00:00+00:00,0.01820362563076139
2015-08-31 00:00:00+00:00,-0.0018148205579459065
2015-09-30 00:00:00+00:00,0.0018462815233626362
2015-10-31 00:00:00+00:00,0.0042024618536566916
2015-11-30 00:00:00+00:00,-0.0031164108682296687
2015-12-31 00:00:00+00:00,0.0020152638938211176
2016-01-31 00:00:00+00:00,0.0018914953524937772
2016-02-29 00:00:00+00:00,-0.019020945269886735
2016-03-31 00:00:00+00:00,-0.01963408169534442
2016-04-30 00:00:00+00:00,-0.003252315641585235
2016-05-31 00:00:00+00:00,0.01759736972979664
2016-06-30 00:00:00+00:00,-0.02594506940766328
2016-07-31 00:00:00+00:00,-0.001618403184111994
2016-08-31 00:00:00+00:00,0.0032265671960987063
2016-09-30 00:00:00+00:00,-0.00472914906941746
2016-10-31 00:00:00+00:00,-0.012692493085210255
2016-11-30 00:00:00+00:00,-0.005990145931524249
2016-12-31 00:00:00+00:00,-0.01015086035582169
2017-01-31 00:00:00+00:00,-0.0026612893790316505
2017-02-28 00:00:00+00:00,0.006214518467618113
2017-03-31 00:00:00+00:00,0.003517887289410826
2017-04-30 00:00:00+00:00,0.014281050035642284
2017-05-31 00:00:00+00:00,-0.009326649127010311
2017-06-30 00:00:00+00:00,-0.012623285839731158
2017-07-31 00:00:00+00:00,0.0008909888254411413
2017-08-31 00:00:00+00:00,-0.006988425815483312
2017-09-30 00:00:00+00:00,0.0062985168941349645
2017-10-31 00:00:00+00:00,0.00869315831862938
2017-11-30 00:00:00+00:00,0.0042412741856800995
2017-12-31 00:00:00+00:00,-0.00868492510298291
2018-01-31 00:00:00+00:00,0.006306471027762717
2018-02-28 00:00:00+00:00,0.008672470834780954
2018-03-31 00:00:00+00:00,0.011220674319924795
2018-04-30 00:00:00+00:00,-0.0033442680419949466
2018-05-31 00:00:00+00:00,-0.0068137584151768404
2018-06-30 00:00:00+00:00,0.0012328529461935744
2018-07-31 00:00:00+00:00,-0.008315373950779303
2018-08-31 00:00:00+00:00,-0.006356934576240869
2018-09-30 00:00:00+00:00,-0.005128791746842554
2018-10-31 00:00:00+00:00,0.006554384115060596
2018-11-30 00:00:00+00:00,0.0016343570553978282
2018-12-31 00:00:00+00:00,0.008534048754280654
2019-01-31 00:00:00+00:00,0.004992632559116084
2019-02-28 00:00:00+00:00,0.0038477469163840095
2019-03-31 00:00:00+00:00,-0.004013036164504324
2019-04-30 00:00:00+00:00,0.0009299954393684473
2019-05-31 00:00:00+00:00,-0.01432601161287006
2019-06-30 00:00:00+00:00,-0.005053662604415643
2019-07-31 00:00:00+00:00,-0.011466918082633115
2019-08-31 00:00:00+00:00,-0.008623734388875426
2019-09-30 00:00:00+00:00,0.002324016851117383
2019-10-31 00:00:00+00:00,0.014642017901447257
2019-11-30 00:00:00+00:00,0.005209806890174251
2019-12-31 00:00:00+00:00,0.004264294811431757
2020-01-31 00:00:00+00:00,-0.006687503450124477
2020-02-29 00:00:00+00:00,-0.007359367300776909
2020-03-31 00:00:00+00:00,-0.01199448147212423
2020-04-30 00:00:00+00:00,0.009972229636300733
2020-05-31 00:00:00+00:00,-0.0057278055219922575
2020-06-30 00:00:00+00:00,0.003887072465072583
2020-07-31 00:00:00+00:00,0.010522861681641515
2020-08-31 00:00:00+00:00,-0.002169383288239568
2020-09-30 00:00:00+00:00,-0.0026093550786745467
2020-10-31 00:00:00+00:00,-0.0005611865077136402
2020-11-30 00:00:00+00:00,0.013424659241099368
2020-12-31 00:00:00+00:00,0.0012015407573411352
2021-01-31 00:00:00+00:00,0.00439649484790583
2021-02-28 00:00:00+00:00,0.012315917754259331
2021-03-31 00:00:00+00:00,-0.007533225565778068
2021-04-30 00:00:00+00:00,-0.0027664398956193104
2021-05-31 00:00:00+00:00,-0.007871763844390256
2021-06-30 00:00:00+00:00,-0.003584693653476023
2021-07-31 00:00:00+00:00,-0.006759877754674015
2021-08-31 00:00:00+00:00,0.005060422399667974
2021-09-30 00:00:00+00:00,-0.0023215609354335642
2021-10-31 00:00:00+00:00,0.008487019382414918
2021-11-30 00:00:00+00:00,-0.014925526658471133
2021-12-31 00:00:00+00:00,0.0014094489679801203
2022-01-31 00:00:00+00:00,-0.013894511052964686
2022-02-28 00:00:00+00:00,0.010910048843955078
2022-03-31 00:00:00+00:00,0.01364153955269165
2022-04-30 00:00:00+00:00,-0.01038556421873471
2022-05-31 00:00:00+00:00,-0.0023369364900975853
2022-06-30 00:00:00+00:00,-0.016972134294842012
2022-07-31 00:00:00+00:00,0.002831497799905547
2022-08-31 00:00:00+00:00,-0.005235706907538051
2022-09-30 00:00:00+00:00,-0.015235742643616046
2022-10-31 00:00:00+00:00,0.017042737231257155
2022-11-30 00:00:00+00:00,0.013651619020162098
2022-12-31 00:00:00+00:00,-0.00037792569206784865
2023-01-31 00:00:00+00:00,0.008825425839100731
2023-02-28 00:00:00+00:00,-0.011698366325105347
2023-03-31 00:00:00+00:00,-0.0008995121498532876
2023-04-30 00:00:00+00:00,-0.0046770709999097715
2023-05-31 00:00:00+00:00,0.000869199287014677
2023-06-30 00:00:00+00:00,0.015007758466570209
2023-07-31 00:00:00+00:00,-0.003713101543440289
2023-08-31 00:00:00+00:00,-0.002836103956263214
2023-09-30 00:00:00+00:00,0.003734686418823685
2023-10-31 00:00:00+00:00,-0.006693894457842298
2023-11-30 00:00:00+00:00,0.010841048872905601
2023-12-31 00:00:00+00:00,-0.006730332539872319
2024-01-31 00:00:00+00:00,-0.0006014672378379382
2024-02-29 00:00:00+00:00,0.005717108627874001
2024-03-31 00:00:00+00:00,0.0005945768293058595
2024-04-30 00:00:00+00:00,0.0022648312710706886
2024-05-31 00:00:00+00:00,0.008669405439240885
2024-06-30 00:00:00+00:00,-0.0032522011746507484
2024-07-31 00:00:00+00:00,-0.005703191382954942
2024-08-31 00:00:00+00:00,0.004144932836831705
2024-09-30 00:00:00+00:00,0.007677382682477862
2024-10-31 00:00:00+00:00,-0.0014881962541866134
2024-11-30 00:00:00+00:00,-0.004181922053162812
2024-12-31 00:00:00+00:00,-0.0019242233047979118
2025-01-31 00:00:00+00:00,-0.006184704992861834
2025-02-28 00:00:00+00:00,-0.0019219533822588675
2025-03-31 00:00:00+00:00,0.002989119444138044
2025-04-30 00:00:00+00:00,-0.007433276704811753
2025-05-31 00:00:00+00:00,0.004350398890741625
2025-06-30 00:00:00+00:00,-0.0013944340571797609
2025-07-31 00:00:00+00:00,0.0004680692825156374
2025-08-31 00:00:00+00:00,-0.0017092595934449228
2025-09-30 00:00:00+00:00,0.001953489636005612
2025-10-31 00:00:00+00:00,-0.006015034725837642
2025-11-30 00:00:00+00:00,0.007379536771429551
2025-12-31 00:00:00+00:00,0.0017290167835182224
2026-01-31 00:00:00+00:00,0.002081134935946194
2026-02-28 00:00:00+00:00,-0.0012608952858623734
2026-03-31 00:00:00+00:00,-0.000861893537094649
2026-04-30 00:00:00+00:00,0.0017822008617747187
2026-05-31 00:00:00+00:00,0.0032772674435421756
2026-06-30 00:00:00+00:00,0.003596236387800822
2026-07-31 00:00:00+00:00,-0.0007477170895971996
2026-08-31 00:00:00+00:00,0.00023437942390902577
2026-09-30 00:00:00+00:00,-0.009038010126724116
