factor,n_months,mean_mo,tstat_ols,tstat_nw,nw_lags,pct_pos_mo,top3,ann_sharpe_daily
nfci_usd,180,0.0006217845759224836,1.8006795310344839,1.7672453372564692,4,0.13333333333333333,0.29926963292271513,0.41615047308658826
nfci_lvl_usd,180,-0.00013918390843686352,-1.1124290067119653,-0.997593426222031,4,0.005555555555555556,1.0,-0.3255158277872049
anfci_usd,180,0.0006498204771995086,1.7231013841716931,1.8194580702477097,4,0.18333333333333332,0.280478351396092,0.4096190855772822
nfci_chg_usd,180,0.0007293481044571084,2.017006609834683,2.029600212650716,4,0.2,0.27157187478595984,0.5258305054932133
cpff_usd,180,0.0001492969825843028,0.4089477013767007,0.49799430405025086,4,0.22777777777777777,0.27548221883992835,0.10872214087086877
ted_usd,180,0.00047872223436360746,1.6960347300603111,2.0484686400285224,4,0.12777777777777777,0.30453192691344516,0.39983911821500934
baa_usd,180,-0.00021868115372063702,-0.723344817934352,-0.8118608532305653,4,0.10555555555555556,0.3555083863069561,-0.1480287956051887
spread_usd,180,0.0005487769766842942,1.401331714563724,1.7816552133266896,4,0.2,0.24610328718766078,0.3852376149167686
carry_nfci_cool,180,0.0001595173847427029,0.2516675235243412,0.2930567957460412,4,0.5222222222222223,0.12358839847567328,0.014108080543483647
carry_nfci_loose,180,-0.000122458548816792,-0.1573169720068725,-0.17763415585474723,4,0.5055555555555555,0.10437996150571185,-0.0751144900834713
carry_cpff_cool,180,-0.0002127253134299234,-0.313762134087781,-0.3445092362650851,4,0.5388888888888889,0.12259363286685523,-0.12186240709488869
funding_ew,180,0.0004993995925481381,1.8508720650956962,1.8765401890736317,4,0.3,0.25493344730406925,0.44088135875758705
