factor,window,gates_pass,mean_mo,pct_pos,top3,clears_1pct_bar
carry_rank,IS_2018_2023,True,-0.000606345045899599,0.4647887323943662,0.23151338788372341,False
carry_rank,year_2024,True,0.001479027538061627,0.6363636363636364,0.5862170027588134,False
carry_rank,year_2025,True,0.0012476942424954592,0.6363636363636364,0.6253360127221519,False
carry_rank,year_2026,True,0.001282647235176071,0.625,0.7985328087529759,False
carry_rank,holdout_365d,True,0.0030960335167011153,0.75,0.5263602932144092,False
fx_momentum,IS_2018_2023,True,-0.0009371563012602304,0.4507042253521127,0.2478790678159558,False
fx_momentum,year_2024,True,-0.001714213307772146,0.45454545454545453,0.7034768016551475,False
fx_momentum,year_2025,True,0.004370753695258089,0.9090909090909091,0.5149788631366372,False
fx_momentum,year_2026,True,0.0034381581325453048,0.625,0.7576825438417498,False
fx_momentum,holdout_365d,True,0.003835746116205694,0.75,0.4997474078545085,False
dollar_tsmom,IS_2018_2023,False,-0.0007155146145216073,0.4788732394366197,0.25386703374053593,False
dollar_tsmom,year_2024,True,0.008026673677278223,0.6363636363636364,0.754161436940325,False
dollar_tsmom,year_2025,True,-0.003866728367606618,0.45454545454545453,0.9297644273001606,False
dollar_tsmom,year_2026,True,5.295204976464574e-05,0.375,1.0,False
dollar_tsmom,holdout_365d,True,0.0033007817653452343,0.5833333333333334,0.7794496462299023,False
combo_ew_raw,IS_2018_2023,True,-0.0007408234787595172,0.4788732394366197,0.25810964898674305,False
combo_ew_raw,year_2024,True,0.002618990919248564,0.8181818181818182,0.7568547836934642,False
combo_ew_raw,year_2025,True,0.0006325173134930084,0.5454545454545454,0.7917113713066891,False
combo_ew_raw,year_2026,True,0.0015971282488436433,0.625,0.8875779592115309,False
combo_ew_raw,holdout_365d,True,0.0034218112904164746,0.75,0.589913734607003,False
carry_cooled,IS_2018_2023,True,-0.0005736080405398556,0.4507042253521127,0.2628381852539661,False
carry_cooled,year_2024,True,0.0013905122187693514,0.7272727272727273,0.6815451974532155,False
carry_cooled,year_2025,True,0.0015371469424129147,0.6363636363636364,0.743394761062822,False
carry_cooled,year_2026,True,0.0005060882328477012,0.75,0.7433721516606936,False
carry_cooled,holdout_365d,True,0.002001660098465132,0.8333333333333334,0.5646647554178196,False
scholarly_combo,IS_2018_2023,True,-0.00020439771395028245,0.49295774647887325,0.27226328724020543,False
scholarly_combo,year_2024,True,0.004026911989250718,0.7272727272727273,0.5706292743313008,False
scholarly_combo,year_2025,True,0.000973477703734137,0.6363636363636364,0.8357705325523737,False
scholarly_combo,year_2026,True,0.0035779549745321715,0.625,0.8366679486799952,False
scholarly_combo,holdout_365d,True,0.0029474414217775338,0.6666666666666666,0.7402389847982549,False
