time,hhcred_ew
2011-10-31 00:00:00+00:00,0.005369026081232686
2011-11-30 00:00:00+00:00,-0.003775155089444482
2011-12-31 00:00:00+00:00,-0.0007834207610371013
2012-01-31 00:00:00+00:00,2.541571626690775e-05
2012-02-29 00:00:00+00:00,7.45959774637317e-05
2012-03-31 00:00:00+00:00,-0.004067831426647128
2012-04-30 00:00:00+00:00,-0.001522675736076895
2012-05-31 00:00:00+00:00,-5.049349086494459e-05
2012-06-30 00:00:00+00:00,-0.0007618479643722864
2012-07-31 00:00:00+00:00,0.0015123840009581002
2012-08-31 00:00:00+00:00,0.0004766958900543905
2012-09-30 00:00:00+00:00,0.0
2012-10-31 00:00:00+00:00,0.0
2012-11-30 00:00:00+00:00,-7.565350296678819e-05
2012-12-31 00:00:00+00:00,-0.0014704588063246815
2013-01-31 00:00:00+00:00,-0.006830924585332299
2013-02-28 00:00:00+00:00,2.671599550030379e-05
2013-03-31 00:00:00+00:00,0.005060485479893684
2013-04-30 00:00:00+00:00,-0.0019748895553589607
2013-05-31 00:00:00+00:00,-0.0020626537930280575
2013-06-30 00:00:00+00:00,-0.0014778136601523162
2013-07-31 00:00:00+00:00,-0.002055942743753092
2013-08-31 00:00:00+00:00,0.0010763958797543882
2013-09-30 00:00:00+00:00,0.00037763353860542637
2013-10-31 00:00:00+00:00,-0.005395967592393913
2013-11-30 00:00:00+00:00,-0.0005726137278698751
2013-12-31 00:00:00+00:00,-0.003222198644613705
2014-01-31 00:00:00+00:00,0.001919125350137163
2014-02-28 00:00:00+00:00,0.0027750300998223842
2014-03-31 00:00:00+00:00,0.0022213244469799776
2014-04-30 00:00:00+00:00,-0.0008727201553389019
2014-05-31 00:00:00+00:00,0.0011921455131651548
2014-06-30 00:00:00+00:00,0.000783185337778658
2014-07-31 00:00:00+00:00,0.0012854159826540812
2014-08-31 00:00:00+00:00,0.004122417156051439
2014-09-30 00:00:00+00:00,-0.005786534018740075
2014-10-31 00:00:00+00:00,0.0028143412523835565
2014-11-30 00:00:00+00:00,-0.004038191668378599
2014-12-31 00:00:00+00:00,-0.0049064047308102765
2015-01-31 00:00:00+00:00,0.018835430824897914
2015-02-28 00:00:00+00:00,-0.0051028045461330995
2015-03-31 00:00:00+00:00,-0.0009127372485004948
2015-04-30 00:00:00+00:00,0.006443435588810331
2015-05-31 00:00:00+00:00,-0.005441807962398126
2015-06-30 00:00:00+00:00,0.0004437322799231147
2015-07-31 00:00:00+00:00,-0.009281378694247833
