time,soft_cip_cool
2011-10-31 00:00:00+00:00,0.00487374604352131
2011-11-30 00:00:00+00:00,0.0006008611380883266
2011-12-31 00:00:00+00:00,0.0059845327805503334
2012-01-31 00:00:00+00:00,0.0005075150575386544
2012-02-29 00:00:00+00:00,-0.0019894840704732797
2012-03-31 00:00:00+00:00,0.0040259716981410065
2012-04-30 00:00:00+00:00,0.0014123662017651029
2012-05-31 00:00:00+00:00,-0.0011558889524809768
2012-06-30 00:00:00+00:00,-0.0012868920965124486
2012-07-31 00:00:00+00:00,-0.0006823599929792756
2012-08-31 00:00:00+00:00,0.001440956246552716
2012-09-30 00:00:00+00:00,0.000927603793868581
2012-10-31 00:00:00+00:00,0.0009818967793602251
2012-11-30 00:00:00+00:00,0.0005466775434648241
2012-12-31 00:00:00+00:00,0.001460584211508742
2013-01-31 00:00:00+00:00,-0.0012272387429663745
2013-02-28 00:00:00+00:00,-4.9907108332858385e-05
2013-03-31 00:00:00+00:00,-0.0023721982531051955
2013-04-30 00:00:00+00:00,0.0018724754782244446
2013-05-31 00:00:00+00:00,0.004704454110956213
2013-06-30 00:00:00+00:00,0.003624557708588272
2013-07-31 00:00:00+00:00,0.0012584995617812567
2013-08-31 00:00:00+00:00,0.0017470743388743326
2013-09-30 00:00:00+00:00,0.00012693091107274235
2013-10-31 00:00:00+00:00,-0.0009034113935277865
2013-11-30 00:00:00+00:00,0.0010102582906754698
2013-12-31 00:00:00+00:00,0.0003368339635765327
2014-01-31 00:00:00+00:00,0.00036239511974955896
2014-02-28 00:00:00+00:00,0.00011316224949831089
2014-03-31 00:00:00+00:00,0.0017482008199505294
2014-04-30 00:00:00+00:00,0.00021737660521692348
2014-05-31 00:00:00+00:00,0.000871368945563944
2014-06-30 00:00:00+00:00,0.000543001685410438
2014-07-31 00:00:00+00:00,-0.0007059138473586302
2014-08-31 00:00:00+00:00,0.0011101709446410535
2014-09-30 00:00:00+00:00,0.0012758322359884833
2014-10-31 00:00:00+00:00,0.000667312593082281
2014-11-30 00:00:00+00:00,0.002121831191190804
2014-12-31 00:00:00+00:00,-0.00011733122887214176
2015-01-31 00:00:00+00:00,0.0052629558688375155
