time,ival_chg_xs
2011-10-31 00:00:00+00:00,0.01771777830358401
2011-11-30 00:00:00+00:00,-0.0054639472903058595
2011-12-31 00:00:00+00:00,0.009946047780207579
2012-01-31 00:00:00+00:00,0.006655740048207903
2012-02-29 00:00:00+00:00,-0.0036805509961972405
2012-03-31 00:00:00+00:00,-0.0026426558434029523
2012-04-30 00:00:00+00:00,-0.002417371228392029
2012-05-31 00:00:00+00:00,-0.007077224860090436
2012-06-30 00:00:00+00:00,-0.019610535326140988
2012-07-31 00:00:00+00:00,0.010047794617837669
2012-08-31 00:00:00+00:00,0.016224060637117343
2012-09-30 00:00:00+00:00,-0.005754165644836773
2012-10-31 00:00:00+00:00,-0.000797882852243692
2012-11-30 00:00:00+00:00,-0.00043352546313824014
2012-12-31 00:00:00+00:00,-0.000943409118048355
2013-01-31 00:00:00+00:00,0.0061943419985472925
2013-02-28 00:00:00+00:00,-0.011589299095086991
2013-03-31 00:00:00+00:00,0.001985301658660399
2013-04-30 00:00:00+00:00,0.007338074006031592
2013-05-31 00:00:00+00:00,0.014163362475578811
2013-06-30 00:00:00+00:00,-0.0027997481326302864
2013-07-31 00:00:00+00:00,0.008932083689685566
2013-08-31 00:00:00+00:00,-0.011783577163348435
2013-09-30 00:00:00+00:00,0.0033516190234543775
2013-10-31 00:00:00+00:00,-0.0016201331958096699
2013-11-30 00:00:00+00:00,-0.005253575839883062
2013-12-31 00:00:00+00:00,0.0010401144575102883
2014-01-31 00:00:00+00:00,-0.0007798792423581169
2014-02-28 00:00:00+00:00,-0.0019031897261295727
2014-03-31 00:00:00+00:00,-0.020712343554639467
2014-04-30 00:00:00+00:00,-0.0006548275971111073
2014-05-31 00:00:00+00:00,-0.0016750775500644632
2014-06-30 00:00:00+00:00,0.005555885722473564
2014-07-31 00:00:00+00:00,0.0004323413300275636
2014-08-31 00:00:00+00:00,0.0020060989162615783
2014-09-30 00:00:00+00:00,-0.01646308327468471
2014-10-31 00:00:00+00:00,0.00393330158511862
2014-11-30 00:00:00+00:00,-0.008637654378125692
2014-12-31 00:00:00+00:00,-0.008696298564115468
2015-01-31 00:00:00+00:00,-0.024993675811149307
