horizon,beta,alpha,tstat,n,r2,mean_y,currency,scope
1,-0.0010750966251422483,-0.0009663731533652149,-0.5750622219477437,180,0.0018544006471807872,-0.00133349691618876,AUD,currency
1,-0.0004756445477364942,-0.0017214849432507391,-0.3831435605185964,180,0.0008240338237945899,-0.0018570403740942457,CAD,currency
1,-0.00014839269834747307,6.737980811550929e-05,-0.10992962227290173,180,6.788596339124542e-05,4.077188476012991e-05,CHF,currency
1,-0.0005399121745641213,-0.00043969082279223545,-0.3509703951490562,180,0.000691545132532001,-0.0005620144811109142,GBP,currency
1,-0.0005478943927082446,-0.002465554902153946,-0.39360617516622987,180,0.0008696128968364025,-0.00255456980355539,JPY,currency
1,-0.0013066059878880762,-0.0003727232222874445,-0.9236706799767804,180,0.004770211994871376,-0.000717156029972193,EUR,currency
1,-0.0006711354456505164,-0.0010007848842795081,-1.1174406828840282,1080,0.0011569842152382437,-0.0011639176200268955,POOLED,pooled
3,-0.001401005322510137,-0.004313905592564384,-0.46940009882909844,178,0.0012503463403601422,-0.004800730810899096,AUD,currency
3,-0.0021278804688559787,-0.005272837409029881,-1.034948874474839,178,0.006049090206131202,-0.00588133679286908,CAD,currency
3,-0.002724253282220104,0.0006438648059313807,-1.2241587982886104,178,0.008442686651718545,0.00023012108782647717,CHF,currency
3,-0.003035725230825879,-0.0011643324357958082,-1.1629729705035772,178,0.007626089755560339,-0.0018439201825398554,GBP,currency
3,0.000528694524820695,-0.008158497377960256,0.21106969158312244,178,0.0002530632990345172,-0.008076723372181058,JPY,currency
3,-0.0060606369016968226,-0.0006818125441754506,-2.4586374180015382,178,0.03320553347642485,-0.0022773968823169384,EUR,currency
3,-0.002501566465363991,-0.0031799889857851127,-2.4705655823800874,1068,0.005693193978632771,-0.003774997825496592,POOLED,pooled
6,-0.006852258645559171,-0.008180302100764545,-1.8142759945904259,175,0.0186713231565262,-0.01046736761775825,AUD,currency
6,-0.00538321589695325,-0.010653883708560002,-2.155176727927798,175,0.02614648487094451,-0.012103669327803915,CAD,currency
6,-0.0070089419292072835,0.00234921283363878,-2.5933600574997984,175,0.03742104361699061,0.001426450644613285,CHF,currency
6,-0.004009885012639429,-0.002943109324382886,-1.0640739815459739,175,0.006502261446957869,-0.003737519134643487,GBP,currency
6,-0.0004377125476132916,-0.016498176995787112,-0.12664078107840024,175,9.269595829353161e-05,-0.01655181767787616,JPY,currency
6,-0.00979787210933589,-0.0015401830634520232,-2.743488367768511,175,0.04169315253085293,-0.003990870344029844,EUR,currency
6,-0.0057908252943196575,-0.006310788621877913,-4.281014922300516,1050,0.017187117309555244,-0.007570798909583061,POOLED,pooled
