time,tb_deficit_xs
2011-10-31 00:00:00+00:00,-0.024622465982469754
2011-11-30 00:00:00+00:00,0.02209874551672608
2011-12-31 00:00:00+00:00,0.004582722196005973
2012-01-31 00:00:00+00:00,0.002993020351592879
2012-02-29 00:00:00+00:00,-0.006637258519225364
2012-03-31 00:00:00+00:00,0.005202261959056154
2012-04-30 00:00:00+00:00,0.006248390318893682
2012-05-31 00:00:00+00:00,0.021200615934328537
2012-06-30 00:00:00+00:00,0.01049647012691235
2012-07-31 00:00:00+00:00,0.01565477781194291
2012-08-31 00:00:00+00:00,-0.006737493236961045
2012-09-30 00:00:00+00:00,-0.004952189574842336
2012-10-31 00:00:00+00:00,-0.0067470051270960285
2012-11-30 00:00:00+00:00,-0.0019255191630553892
2012-12-31 00:00:00+00:00,-0.004905135656482873
2013-01-31 00:00:00+00:00,-0.012424014238518133
2013-02-28 00:00:00+00:00,0.002376641964515036
2013-03-31 00:00:00+00:00,0.01293666778473579
2013-04-30 00:00:00+00:00,-0.006875553008016566
2013-05-31 00:00:00+00:00,0.003948147648155542
2013-06-30 00:00:00+00:00,-0.0019881996567239213
2013-07-31 00:00:00+00:00,-0.010905823157627115
2013-08-31 00:00:00+00:00,0.009736251685005914
2013-09-30 00:00:00+00:00,-0.002343544098078576
2013-10-31 00:00:00+00:00,-0.007446393209635249
2013-11-30 00:00:00+00:00,0.0086527962314209
2013-12-31 00:00:00+00:00,-0.006598038844768173
2014-01-31 00:00:00+00:00,0.008971222127347023
2014-02-28 00:00:00+00:00,-0.003753172666091986
2014-03-31 00:00:00+00:00,-0.002771825015431606
2014-04-30 00:00:00+00:00,-0.00016542237613970112
2014-05-31 00:00:00+00:00,0.0079913508200542
2014-06-30 00:00:00+00:00,0.0009533693569121482
2014-07-31 00:00:00+00:00,0.008492338001431232
2014-08-31 00:00:00+00:00,0.0033275402360477546
2014-09-30 00:00:00+00:00,0.01367987849480956
2014-10-31 00:00:00+00:00,-0.0026959894321509914
2014-11-30 00:00:00+00:00,0.003516284040444795
2014-12-31 00:00:00+00:00,0.007568542692564906
2015-01-31 00:00:00+00:00,-0.004702893398883745
2015-02-28 00:00:00+00:00,0.016547086699646885
2015-03-31 00:00:00+00:00,0.005939054352832374
2015-04-30 00:00:00+00:00,-0.006842093984103181
2015-05-31 00:00:00+00:00,0.004187492504084567
2015-06-30 00:00:00+00:00,0.00044777418496289023
2015-07-31 00:00:00+00:00,0.0036925956004871807
2015-08-31 00:00:00+00:00,-0.019898605691004656
2015-09-30 00:00:00+00:00,-0.003824863711066717
2015-10-31 00:00:00+00:00,0.023901917224785185
2015-11-30 00:00:00+00:00,0.008489054896049009
2015-12-31 00:00:00+00:00,-0.010289091840185116
2016-01-31 00:00:00+00:00,-0.014936433944637728
2016-02-29 00:00:00+00:00,-0.00820631760384849
2016-03-31 00:00:00+00:00,0.002069759149913919
2016-04-30 00:00:00+00:00,0.004199320952762875
2016-05-31 00:00:00+00:00,-0.0036900157815780155
2016-06-30 00:00:00+00:00,-0.016134975225378767
2016-07-31 00:00:00+00:00,-0.007502431749528471
2016-08-31 00:00:00+00:00,0.0012855834223244322
2016-09-30 00:00:00+00:00,-0.00984480307079405
2016-10-31 00:00:00+00:00,-0.005118549810881112
2016-11-30 00:00:00+00:00,0.01921632318913513
