time,low_ur_xs
2011-10-31 00:00:00+00:00,-0.00860474906314368
2011-11-30 00:00:00+00:00,0.005858273676717873
2011-12-31 00:00:00+00:00,0.00455453233885561
2012-01-31 00:00:00+00:00,-0.0035886091137724563
2012-02-29 00:00:00+00:00,-0.0026720198695128206
2012-03-31 00:00:00+00:00,-0.0009505700390667338
2012-04-30 00:00:00+00:00,-0.0035795709161556832
2012-05-31 00:00:00+00:00,0.013115739488744449
2012-06-30 00:00:00+00:00,-0.002123957716404945
2012-07-31 00:00:00+00:00,-0.0028256024115751455
2012-08-31 00:00:00+00:00,-0.002110094651561756
2012-09-30 00:00:00+00:00,-0.006982234623085781
2012-10-31 00:00:00+00:00,0.0006482673114502902
2012-11-30 00:00:00+00:00,0.001426201263582394
2012-12-31 00:00:00+00:00,-0.0009456015735140877
2013-01-31 00:00:00+00:00,-0.00046021236290916256
2013-02-28 00:00:00+00:00,0.013096875012220677
2013-03-31 00:00:00+00:00,0.00016568313662745915
2013-04-30 00:00:00+00:00,-0.0071950328788801254
2013-05-31 00:00:00+00:00,0.0005886268797603567
2013-06-30 00:00:00+00:00,0.0029679999879868024
2013-07-31 00:00:00+00:00,-0.00042656261389784067
2013-08-31 00:00:00+00:00,-0.005767472032381815
2013-09-30 00:00:00+00:00,-0.009201833310508944
2013-10-31 00:00:00+00:00,7.853541889146776e-05
2013-11-30 00:00:00+00:00,-0.00439966401405123
2013-12-31 00:00:00+00:00,-0.0009917894688833417
2014-01-31 00:00:00+00:00,0.011489949382708975
2014-02-28 00:00:00+00:00,-0.0035177870106845033
2014-03-31 00:00:00+00:00,-0.0009797094901260461
2014-04-30 00:00:00+00:00,-0.002507617661413941
2014-05-31 00:00:00+00:00,-0.0031489153961239413
2014-06-30 00:00:00+00:00,-0.002394925090662192
2014-07-31 00:00:00+00:00,0.004980113913236828
2014-08-31 00:00:00+00:00,0.0014054109974768192
2014-09-30 00:00:00+00:00,0.007446509609857266
2014-10-31 00:00:00+00:00,-0.0004169958158503073
2014-11-30 00:00:00+00:00,0.00390972065808759
2014-12-31 00:00:00+00:00,0.005666245000073289
