factor,n_months,mean_mo,std_mo,tstat_ols,tstat_nw,nw_lags,boot_mean,boot_ci95_lo,boot_ci95_hi,pct_pos_mo,top3,ann_sharpe_daily
carry_rank,180,-1.1673896359970514e-05,0.010359449282072435,-0.015118733696600132,-0.017495149694718524,4,-1.1673896359970514e-05,-0.0015361074531356524,0.0014463817573171014,0.5111111111111111,0.10260580161846196,-0.03597737788576774
fx_momentum,180,-0.0006352475654249247,0.009469329114329501,-0.9000363521098014,-0.9237938377714485,4,-0.0006352475654249247,-0.001987047440400231,0.0007397796199499795,0.45555555555555555,0.12214429388904527,-0.20865361529725127
dollar_tsmom,180,0.00011892287408640543,0.017206380958497174,0.09272826093235931,0.10724704370845764,4,0.00011892287408640543,-0.002345831563155543,0.0026414714531400514,0.5,0.1066361053678947,0.027096200033266866
combo_ew_raw,180,-0.00016294086155562405,0.007257990385763726,-0.30119646628252095,-0.3352328532965067,4,-0.00016294086155562405,-0.001224187426165129,0.0009279875110604656,0.5111111111111111,0.1132360035949896,-0.08655748826846082
carry_cooled,180,8.026471325857777e-05,0.007827907091172866,0.13756731112184206,0.1537178718176179,4,8.026471325857777e-05,-0.001016970186690819,0.0012239540272439174,0.5222222222222223,0.11867731484522952,-0.015411644620203736
scholarly_combo,180,0.0002793501709917718,0.010521578427707564,0.3562085153795061,0.3808103335293418,4,0.0002793501709917718,-0.001185981006744254,0.001837850871201912,0.5222222222222223,0.11826987794753664,0.07693776847172691
