,USD,EUR,GBP,JPY,CAD,AUD
1981-04-01 00:00:00+00:00,,,42.517,47.776,,
1981-05-01 00:00:00+00:00,,,42.517,47.776,,
1981-06-01 00:00:00+00:00,,,42.517,47.776,,
1981-07-01 00:00:00+00:00,,,42.517,47.776,,
1981-08-01 00:00:00+00:00,,,42.517,47.776,,
1981-09-01 00:00:00+00:00,,,42.517,47.776,,
1981-10-01 00:00:00+00:00,,,42.517,47.776,,
1981-11-01 00:00:00+00:00,,,42.517,47.776,,
1981-12-01 00:00:00+00:00,,,42.517,47.776,,
1982-01-01 00:00:00+00:00,,,42.517,47.776,,
1982-02-01 00:00:00+00:00,,,42.517,47.776,,
1982-03-01 00:00:00+00:00,,,42.517,47.776,,
1982-04-01 00:00:00+00:00,,,44.725,52.815,,
1982-05-01 00:00:00+00:00,,,44.725,52.815,,
1982-06-01 00:00:00+00:00,,,44.725,52.815,,
1982-07-01 00:00:00+00:00,,,44.725,52.815,,
1982-08-01 00:00:00+00:00,,,44.725,52.815,,
1982-09-01 00:00:00+00:00,,,44.725,52.815,,
1982-10-01 00:00:00+00:00,,,44.725,52.815,,
1982-11-01 00:00:00+00:00,,,44.725,52.815,,
1982-12-01 00:00:00+00:00,,,44.725,52.815,,
1983-01-01 00:00:00+00:00,,,44.725,52.815,,
1983-02-01 00:00:00+00:00,,,44.725,52.815,,
1983-03-01 00:00:00+00:00,,,44.725,52.815,,
1983-04-01 00:00:00+00:00,,,43.003,57.73,,
1983-05-01 00:00:00+00:00,,,43.003,57.73,,
1983-06-01 00:00:00+00:00,,,43.003,57.73,,
1983-07-01 00:00:00+00:00,,,43.003,57.73,,
1983-08-01 00:00:00+00:00,,,43.003,57.73,,
1983-09-01 00:00:00+00:00,,,43.003,57.73,,
1983-10-01 00:00:00+00:00,,,43.003,57.73,,
1983-11-01 00:00:00+00:00,,,43.003,57.73,,
1983-12-01 00:00:00+00:00,,,43.003,57.73,,
1984-01-01 00:00:00+00:00,,,43.003,57.73,,
1984-02-01 00:00:00+00:00,,,43.003,57.73,,
1984-03-01 00:00:00+00:00,,,43.003,57.73,,
1984-04-01 00:00:00+00:00,,,41.817,63.511,,
1984-05-01 00:00:00+00:00,,,41.817,63.511,,
1984-06-01 00:00:00+00:00,,,41.817,63.511,,
1984-07-01 00:00:00+00:00,,,41.817,63.511,,
1984-08-01 00:00:00+00:00,,,41.817,63.511,,
1984-09-01 00:00:00+00:00,,,41.817,63.511,,
1984-10-01 00:00:00+00:00,,,41.817,63.511,,
1984-11-01 00:00:00+00:00,,,41.817,63.511,,
1984-12-01 00:00:00+00:00,,,41.817,63.511,,
1985-01-01 00:00:00+00:00,,,41.817,63.511,,
