start,end,n_months,mean_mo,pct_pos,top3,tstat_ols,tstat_nw,ann_sharpe,strategy,window,role,gates_pass,clears_1pct_bar
2011-09-18,2026-09-15,180,8.091773815630717e-05,0.49444444444444446,0.1260896313954144,0.13296605851941018,0.13634846584252247,0.06425206288797047,tb_deficit_xs,full_sample,eval,True,False
2024-01-01,2024-12-31,11,0.0008455088918370788,0.7272727272727273,0.7811519718283013,0.39739235532396977,0.49063344896523137,0.7232840122893371,tb_deficit_xs,year_2024,eval,True,False
2025-01-01,2025-12-31,11,-0.0021665987633176257,0.45454545454545453,0.7567499266339855,-1.223205429211554,-1.1884218429933455,-0.8238790589510758,tb_deficit_xs,year_2025,eval,True,False
2026-01-01,2026-12-31,8,-9.685812434204188e-05,0.375,1.0,-0.04323078671383138,-0.05647000783152882,-0.8411237261377755,tb_deficit_xs,year_2026,eval,True,False
2025-09-15,2026-09-15,12,-0.0006401791568619308,0.4166666666666667,0.7998091796511444,-0.3635616877997589,-0.38031068547153896,-0.6074740574506857,tb_deficit_xs,holdout_365d,confirm_only,True,False
2011-09-18,2026-09-15,180,-0.00018745849237527471,0.5,0.11764281809367819,-0.3091213741247395,-0.3158504637683818,-0.09392869103406262,tb_surplus_xs,full_sample,eval,False,False
2024-01-01,2024-12-31,11,-0.0009685528474575398,0.2727272727272727,1.0,-0.4555960159478308,-0.5601582247605366,-0.8017027257359135,tb_surplus_xs,year_2024,eval,True,False
2025-01-01,2025-12-31,11,0.0019502965474097467,0.5454545454545454,0.7853981875179376,1.1081926742297954,1.1257006179824023,0.7583856795451142,tb_surplus_xs,year_2025,eval,True,False
2026-01-01,2026-12-31,8,-7.133159305741654e-06,0.625,0.871991826332763,-0.003208329812736653,-0.004153785255310051,0.7539078860250865,tb_surplus_xs,year_2026,eval,True,False
2025-09-15,2026-09-15,12,0.0004967042021079929,0.5833333333333334,0.7723700342527919,0.28352481731705664,0.2998783949551569,0.5131767147247667,tb_surplus_xs,holdout_365d,confirm_only,True,False
2011-09-18,2026-09-15,180,-0.0007744068603389369,0.4444444444444444,0.12119276298204644,-1.236466702178557,-1.143135716445694,-0.2738687455504724,tb_chg_xs,full_sample,eval,False,False
2024-01-01,2024-12-31,11,5.111571808442078e-05,0.2727272727272727,1.0,0.019543397844618855,0.024841841151339666,0.03674513108689891,tb_chg_xs,year_2024,eval,True,False
2025-01-01,2025-12-31,11,-0.0019801979860273725,0.09090909090909091,1.0,-1.1143332104300687,-0.9575509919497434,-0.5598108493737053,tb_chg_xs,year_2025,eval,True,False
2026-01-01,2026-12-31,8,0.0014106257065382155,0.5,0.9455722879547985,1.1985305044260521,1.5322834569003547,0.8039066341162528,tb_chg_xs,year_2026,eval,True,False
2025-09-15,2026-09-15,12,-0.0005777672375175957,0.4166666666666667,0.8825949566715083,-0.4274623603392805,-0.40460852847954426,-0.4506715641528323,tb_chg_xs,holdout_365d,confirm_only,True,False
2011-09-18,2026-09-15,180,-0.0005401017311996677,0.17777777777777778,0.26592792147903777,-1.3132678724434785,-1.3387538151619724,-0.34658204445907764,us_tb_gr_fx,full_sample,eval,False,False
2024-01-01,2024-12-31,11,-0.000548529203238244,0.09090909090909091,1.0,-0.9139786789581054,-0.9714118176563066,-0.4907684800015948,us_tb_gr_fx,year_2024,eval,True,False
2025-01-01,2025-12-31,11,0.002348046964151009,0.45454545454545453,0.8518119235278052,0.8222127993050962,0.8222404254671495,0.9297252797605865,us_tb_gr_fx,year_2025,eval,True,False
2026-01-01,2026-12-31,8,0.0,0.0,,,0.0,,us_tb_gr_fx,year_2026,eval,True,False
2025-09-15,2026-09-15,12,0.0,0.0,,,0.0,,us_tb_gr_fx,holdout_365d,confirm_only,True,False
2011-09-18,2026-09-15,180,0.0005224140494754898,0.2222222222222222,0.20838150405598493,1.2661545442826319,1.297060164545158,0.33377242288354103,us_tb_haven_usd,full_sample,eval,True,False
2024-01-01,2024-12-31,11,0.0005120564461667279,0.09090909090909091,1.0,0.8829135019386669,0.9597206511756649,0.46604903684213866,us_tb_haven_usd,year_2024,eval,True,False
2025-01-01,2025-12-31,11,-0.002371034865822191,0.18181818181818182,1.0,-0.830432240381779,-0.8279762723223189,-0.9503013223385004,us_tb_haven_usd,year_2025,eval,True,False
2026-01-01,2026-12-31,8,0.0,0.0,,,0.0,,us_tb_haven_usd,year_2026,eval,True,False
2025-09-15,2026-09-15,12,0.0,0.0,,,0.0,,us_tb_haven_usd,holdout_365d,confirm_only,True,False
2011-09-18,2026-09-15,180,0.00013800488466824751,0.5,0.12790924015029284,0.24137706776952256,0.28376216388871545,0.04850264635144106,tb_ca_blend,full_sample,eval,True,False
2024-01-01,2024-12-31,11,0.000317111175392641,0.6363636363636364,0.7046744999862199,0.21215104261189793,0.3102021508018611,0.4700409074666442,tb_ca_blend,year_2024,eval,True,False
2025-01-01,2025-12-31,11,-0.0007422062358628724,0.45454545454545453,0.7792355279854563,-0.6537037289893852,-0.6107613747595344,-0.25042639595053556,tb_ca_blend,year_2025,eval,True,False
2026-01-01,2026-12-31,8,0.000181704782580977,0.5,0.9286037775348287,0.07841175593582063,0.1662523020949257,0.24152944741169755,tb_ca_blend,year_2026,eval,True,False
2025-09-15,2026-09-15,12,0.0011664132882794793,0.6666666666666666,0.5989890686351937,0.7416746902360003,1.1219385729249431,0.39213527676493815,tb_ca_blend,holdout_365d,confirm_only,True,False
2011-09-18,2026-09-15,180,-0.0004043800901690252,0.4888888888888889,0.12189995570292486,-1.439128951892733,-1.4382275531511708,-0.32128490996355463,tb_ew,full_sample,eval,True,False
2024-01-01,2024-12-31,11,0.00012146935906861859,0.45454545454545453,0.9246806398232146,0.08194921184442946,0.10838448681932199,0.25386997870837913,tb_ew,year_2024,eval,True,False
2025-01-01,2025-12-31,11,-0.0005911381230425369,0.45454545454545453,0.9312602267352618,-0.44392997964521747,-0.4403271019599032,-0.2777729200498684,tb_ew,year_2025,eval,True,False
2026-01-01,2026-12-31,8,0.00043859572262319735,0.625,0.6776440832146893,0.6660789288795613,0.7944077420992847,0.04510748118294082,tb_ew,year_2026,eval,True,False
2025-09-15,2026-09-15,12,-0.0004045059821295623,0.5,0.6473798575771215,-0.6572069862487587,-0.5784950935086076,-0.788922112464973,tb_ew,holdout_365d,confirm_only,True,False
