known_date,EUR,GBP,JPY,CAD,CHF,AUD,NZD
1986-01-18 00:00:00+00:00,,,,,,,
1986-02-03 00:00:00+00:00,,,,,,,
1986-02-17 00:00:00+00:00,,,,,,,
1986-03-03 00:00:00+00:00,,,,,,,
1986-03-17 00:00:00+00:00,,,,,,,
1986-04-03 00:00:00+00:00,,,,,,,
1986-04-18 00:00:00+00:00,,,,,,,
1986-05-03 00:00:00+00:00,,,,,,,
1986-05-18 00:00:00+00:00,,,,,,,
1986-06-02 00:00:00+00:00,,,,,,,
1986-06-16 00:00:00+00:00,,,,,,,
1986-07-03 00:00:00+00:00,,,,,,,
1986-07-18 00:00:00+00:00,,,,,,,
1986-08-03 00:00:00+00:00,,,,,,,
1986-08-18 00:00:00+00:00,,,,,,,
1986-09-01 00:00:00+00:00,,,,,,,
1986-09-18 00:00:00+00:00,,,,,,,
1986-10-03 00:00:00+00:00,,,,,,,
1986-10-18 00:00:00+00:00,,,,,,,
1986-11-03 00:00:00+00:00,,,,,,,
1986-11-17 00:00:00+00:00,,,,,,,
1986-12-01 00:00:00+00:00,,,,,,,
1986-12-18 00:00:00+00:00,,,,,,,
1987-01-03 00:00:00+00:00,,,,,,,
1987-01-18 00:00:00+00:00,,,,,,,
1987-02-02 00:00:00+00:00,,,,,,,
1987-02-16 00:00:00+00:00,,,,,,,
1987-03-02 00:00:00+00:00,,,,,,,
1987-03-16 00:00:00+00:00,,,,,,,
1987-04-03 00:00:00+00:00,,,,,,,
1987-04-18 00:00:00+00:00,,,,,,,
1987-05-03 00:00:00+00:00,,,,,,,
1987-05-18 00:00:00+00:00,,,,,,,
1987-06-01 00:00:00+00:00,,,,,,,
1987-06-18 00:00:00+00:00,,,,,,,
1987-07-03 00:00:00+00:00,,,,,,,
1987-07-18 00:00:00+00:00,,,,,,,
1987-08-03 00:00:00+00:00,,,,,,,
1987-08-17 00:00:00+00:00,,,,,,,
1987-09-03 00:00:00+00:00,,,,,,,
1987-09-18 00:00:00+00:00,,,,,,,
1987-10-03 00:00:00+00:00,,,,,,,
1987-10-18 00:00:00+00:00,,,,,,,
1987-11-02 00:00:00+00:00,,,,,,,
1987-11-16 00:00:00+00:00,,,,,,,
1987-12-03 00:00:00+00:00,,,,,,,
1987-12-18 00:00:00+00:00,,,,,,,
1988-01-03 00:00:00+00:00,,,,,,,
1988-01-18 00:00:00+00:00,,,,,,,
1988-02-01 00:00:00+00:00,,,,,,,
1988-02-15 00:00:00+00:00,,,,,,,
1988-03-03 00:00:00+00:00,,,,,,,
1988-03-18 00:00:00+00:00,,,,,,,
1988-04-03 00:00:00+00:00,,,,,,,
1988-04-18 00:00:00+00:00,,,,,,,
1988-05-02 00:00:00+00:00,,,,,,,
1988-05-16 00:00:00+00:00,,,,,,,
1988-06-03 00:00:00+00:00,,,,,,,
1988-06-18 00:00:00+00:00,,,,,,,
1988-07-03 00:00:00+00:00,,,,,,,
1988-07-18 00:00:00+00:00,,,,,,,
1988-08-01 00:00:00+00:00,,,,,,,
1988-08-18 00:00:00+00:00,,,,,,,
1988-09-03 00:00:00+00:00,,,,,,,
1988-09-18 00:00:00+00:00,,,,,,,
1988-10-03 00:00:00+00:00,,,,,,,
1988-10-17 00:00:00+00:00,,,,,,,
1988-11-03 00:00:00+00:00,,,,,,,
1988-11-18 00:00:00+00:00,,,,,,,
1988-12-03 00:00:00+00:00,,,,,,,
1988-12-18 00:00:00+00:00,,,,,,,
1989-01-02 00:00:00+00:00,,,,,,,
1989-01-16 00:00:00+00:00,,,,,,,
1989-02-03 00:00:00+00:00,,,,,,,
1989-02-18 00:00:00+00:00,,,,,,,
1989-03-03 00:00:00+00:00,,,,,,,
1989-03-18 00:00:00+00:00,,,,,,,
1989-04-03 00:00:00+00:00,,,,,,,
1989-04-17 00:00:00+00:00,,,,,,,
1989-05-01 00:00:00+00:00,,,,,,,
1989-05-18 00:00:00+00:00,,,,,,,
1989-06-03 00:00:00+00:00,,,,,,,
1989-06-18 00:00:00+00:00,,,,,,,
1989-07-03 00:00:00+00:00,,,,,,,
1989-07-17 00:00:00+00:00,,,,,,,
1989-08-03 00:00:00+00:00,,,,,,,
1989-08-18 00:00:00+00:00,,,,,,,
1989-09-03 00:00:00+00:00,,,,,,,
1989-09-18 00:00:00+00:00,,,,,,,
1989-10-02 00:00:00+00:00,,,,,,,
1989-10-16 00:00:00+00:00,,,,,,,
1989-11-03 00:00:00+00:00,,,,,,,
1989-11-18 00:00:00+00:00,,,,,,,
1989-12-03 00:00:00+00:00,,,,,,,
1989-12-18 00:00:00+00:00,,,,,,,
1990-01-01 00:00:00+00:00,,,,,,,
1990-01-18 00:00:00+00:00,,,,,,,
1990-02-03 00:00:00+00:00,,,,,,,
1990-02-18 00:00:00+00:00,,,,,,,
1990-03-03 00:00:00+00:00,,,,,,,
1990-03-18 00:00:00+00:00,,,,,,,
1990-04-02 00:00:00+00:00,,,,,,,
1990-04-15 00:00:00+00:00,,,,,,,
1990-05-03 00:00:00+00:00,,,,,,,
1990-05-18 00:00:00+00:00,,,,,,,
1990-06-03 00:00:00+00:00,,,,,,,
1990-06-18 00:00:00+00:00,,,,,,,
1990-07-02 00:00:00+00:00,,,,,,,
1990-07-16 00:00:00+00:00,,,,,,,
1990-08-03 00:00:00+00:00,,,,,,,
1990-08-18 00:00:00+00:00,,,,,,,
1990-09-03 00:00:00+00:00,,,,,,,
1990-09-17 00:00:00+00:00,,,,,,,
1990-10-01 00:00:00+00:00,,,,,,,
1990-10-18 00:00:00+00:00,,,,,,,
1990-11-03 00:00:00+00:00,,,,,,,
1990-11-18 00:00:00+00:00,,,,,,,
1990-12-03 00:00:00+00:00,,,,,,,
1990-12-17 00:00:00+00:00,,,,,,,
1991-01-03 00:00:00+00:00,,,,,,,
1991-01-18 00:00:00+00:00,,,,,,,
1991-02-03 00:00:00+00:00,,,,,,,
1991-02-18 00:00:00+00:00,,,,,,,
1991-03-03 00:00:00+00:00,,,,,,,
1991-03-18 00:00:00+00:00,,,,,,,
1991-03-31 00:00:00+00:00,,,,,,,
1991-04-18 00:00:00+00:00,,,,,,,
1991-05-03 00:00:00+00:00,,,,,,,
1991-05-18 00:00:00+00:00,,,,,,,
1991-06-03 00:00:00+00:00,,,,,,,
1991-06-17 00:00:00+00:00,,,,,,,
1991-07-01 00:00:00+00:00,,,,,,,
1991-07-18 00:00:00+00:00,,,,,,,
1991-08-03 00:00:00+00:00,,,,,,,
1991-08-18 00:00:00+00:00,,,,,,,
1991-09-02 00:00:00+00:00,,,,,,,
1991-09-19 00:00:00+00:00,,,,,,,
1991-10-03 00:00:00+00:00,,,,,,,
1991-10-18 00:00:00+00:00,,,,,,,
1991-11-03 00:00:00+00:00,,,,,,,
1991-11-18 00:00:00+00:00,,,,,,,
1991-12-02 00:00:00+00:00,,,,,,,
1991-12-16 00:00:00+00:00,,,,,,,
1992-01-03 00:00:00+00:00,,,,,,,
