symbol,timeframe,strategy,oos_sharpe,mean_mo_2024,gates,trades,corr_vs_locked,is_pass
EURJPY,D1,ema_pullback,2.0049359052828186,-0.0027590347321534425,True,8,0.09359891931940459,False
EURUSD,D1,cci_reversion,1.5437842792644962,0.003215566025346107,True,9,0.15403517435121583,True
GBPJPY,H4,squeeze_breakout,1.443692549661263,0.014179801678842252,True,57,-0.29600917494417184,True
NZDCAD,H4,mean_reversion_regime,1.3459469396620758,0.0010466451306371653,True,11,0.2109129823069438,True
EURCHF,H4,cci_reversion,1.198128556783831,-0.0046936409044318565,True,10,0.03798929276027777,False
EURGBP,D1,cci_reversion,1.0985220971975689,0.007051783818608997,True,8,-0.027590973772021014,True
AUDUSD,H4,bbands_reversion,0.971438697986606,0.00030685777623402026,True,34,0.23655529092668845,True
USDJPY,D1,hybrid_regime,0.9497214056786872,0.003675535498577485,True,23,0.029891046268260626,True
EURCAD,D1,bbands_reversion,0.924315644227376,0.0010564756920512406,True,9,0.1975078125942217,True
AUDJPY,D1,mean_reversion_regime,0.8982713282778984,0.0030017725822552325,True,6,-0.0018144816215571599,True
NZDJPY,D1,mean_reversion_regime,0.8071851439991133,-0.0029886559594865473,True,4,0.08318872809783077,False
EURAUD,H4,breakout_donchian,0.4882865098758222,0.005936357125245731,True,89,-0.24127633566409934,True
