currency,fred_id,freq,n_obs,start,end,last,note
USD,ULQECU01USQ657S,Q,763,1960-04-01,2023-10-01,0.993830984999966,OECD MEI early-estimate CU YoY ULQECU01USQ657S (quarterly) stale_end=2023-07-01
EUR,ULQECU01DEQ657S,Q,388,1991-07-01,2023-10-01,1.41851585509194,Germany proxy via ULQECU01DEQ657S (Q) stale_end=2023-07-01 (EZ also ~2023-07; FR/IT/NL Q657S alts)
GBP,ULQECU01GBQ657S,Q,373,1992-10-01,2023-10-01,2.01744276034032,OECD MEI early-estimate CU YoY ULQECU01GBQ657S (quarterly) stale_end=2023-04-01
JPY,ULQECU01JPQ657S,Q,520,1980-07-01,2023-10-01,-0.238332870314336,OECD MEI early-estimate CU YoY ULQECU01JPQ657S (quarterly) stale_end=2023-07-01
CAD,ULQECU01CAQ657S,Q,508,1981-07-01,2023-10-01,1.62838482579717,OECD MEI early-estimate CU YoY ULQECU01CAQ657S (quarterly) stale_end=2023-04-01
AUD,ULQECU01AUQ657S,Q,562,1977-01-01,2023-10-01,1.82887435837086,OECD MEI early-estimate CU YoY ULQECU01AUQ657S (quarterly) stale_end=2023-07-01
NZD,ULQECU01NZQ657S,Q,412,1989-07-01,2023-10-01,2.55756541407892,OECD MEI early-estimate CU YoY ULQECU01NZQ657S (quarterly) stale_end=2023-04-01
CHF,ULQECU01CHQ657S,Q,340,1995-07-01,2023-10-01,0.502600682620698,OECD MEI early-estimate CU YoY ULQECU01CHQ657S (quarterly) stale_end=2023-07-01
