time,bs_prod_60m
2011-10-31 00:00:00+00:00,0.012570367041710329
2011-11-30 00:00:00+00:00,-0.01623642859759078
2011-12-31 00:00:00+00:00,-0.0013198638507857519
2012-01-31 00:00:00+00:00,0.003233579213938187
2012-02-29 00:00:00+00:00,-0.010067181896127098
2012-03-31 00:00:00+00:00,0.0014696899750628045
2012-04-30 00:00:00+00:00,0.0007739627261718063
2012-05-31 00:00:00+00:00,0.019143465731758402
2012-06-30 00:00:00+00:00,-0.003864942256232573
2012-07-31 00:00:00+00:00,0.007692731594754809
2012-08-31 00:00:00+00:00,-0.0038531722388687184
2012-09-30 00:00:00+00:00,-0.00913114033888851
2012-10-31 00:00:00+00:00,-0.006204529864969999
2012-11-30 00:00:00+00:00,0.0018627203405083836
2012-12-31 00:00:00+00:00,-0.0003664091032942185
2013-01-31 00:00:00+00:00,-0.0038090518881175317
2013-02-28 00:00:00+00:00,0.012600235061995813
2013-03-31 00:00:00+00:00,0.008710477204654454
2013-04-30 00:00:00+00:00,-0.0037060006771588716
2013-05-31 00:00:00+00:00,-0.00822952268367394
2013-06-30 00:00:00+00:00,-0.004949210978069107
2013-07-31 00:00:00+00:00,-0.0005414008481844368
2013-08-31 00:00:00+00:00,0.009765525351020488
2013-09-30 00:00:00+00:00,0.00021750196344272332
2013-10-31 00:00:00+00:00,-0.002389966615191974
2013-11-30 00:00:00+00:00,0.009629220677223937
2013-12-31 00:00:00+00:00,4.657027342425124e-06
2014-01-31 00:00:00+00:00,-0.006489697831392749
2014-02-28 00:00:00+00:00,-0.004992295118707801
2014-03-31 00:00:00+00:00,0.0006389065090468549
2014-04-30 00:00:00+00:00,0.0015580806193931096
2014-05-31 00:00:00+00:00,0.010472095320362973
2014-06-30 00:00:00+00:00,-0.0035145760638917167
2014-07-31 00:00:00+00:00,0.003336905190337136
2014-08-31 00:00:00+00:00,0.0029399327380579265
2014-09-30 00:00:00+00:00,-0.0036258960415961328
2014-10-31 00:00:00+00:00,-0.00285822625492127
2014-11-30 00:00:00+00:00,-0.0046710000534676555
2014-12-31 00:00:00+00:00,-0.002304854781387755
2015-01-31 00:00:00+00:00,-0.011490170963620483
2015-02-28 00:00:00+00:00,0.010469882393451924
2015-03-31 00:00:00+00:00,-0.0030787199891579853
2015-04-30 00:00:00+00:00,0.01002973983777844
2015-05-31 00:00:00+00:00,-0.0031297541747019597
2015-06-30 00:00:00+00:00,0.0016740425397714365
2015-07-31 00:00:00+00:00,-0.007390960947242675
2015-08-31 00:00:00+00:00,-0.013173753192071591
2015-09-30 00:00:00+00:00,-0.008851686164100814
2015-10-31 00:00:00+00:00,0.00838588527760864
2015-11-30 00:00:00+00:00,0.0008371454270448275
2015-12-31 00:00:00+00:00,-0.02104876961782931
2016-01-31 00:00:00+00:00,-0.010999595892617009
2016-02-29 00:00:00+00:00,7.445765501667978e-05
2016-03-31 00:00:00+00:00,0.009045258650129506
2016-04-30 00:00:00+00:00,0.013251983742928797
2016-05-31 00:00:00+00:00,-0.007640507122515738
2016-06-30 00:00:00+00:00,-0.017141428795390157
2016-07-31 00:00:00+00:00,-0.005333255795635927
2016-08-31 00:00:00+00:00,-0.0030454121488623365
2016-09-30 00:00:00+00:00,-0.0028893939412735214
2016-10-31 00:00:00+00:00,-0.006975652086798845
2016-11-30 00:00:00+00:00,0.031705827837459344
2016-12-31 00:00:00+00:00,0.013688935604868613
2017-01-31 00:00:00+00:00,0.00016040684951557083
2017-02-28 00:00:00+00:00,-0.005303917885905229
2017-03-31 00:00:00+00:00,-0.003270920126202115
2017-04-30 00:00:00+00:00,-0.010616090144006773
2017-05-31 00:00:00+00:00,0.010442672200927205
2017-06-30 00:00:00+00:00,0.01390679610030121
2017-07-31 00:00:00+00:00,0.010550515110163472
2017-08-31 00:00:00+00:00,0.0037488510716849888
2017-09-30 00:00:00+00:00,-0.0033985738547404054
2017-10-31 00:00:00+00:00,-0.000463731893689312
2017-11-30 00:00:00+00:00,-0.005438685846162028
2017-12-31 00:00:00+00:00,-0.004993306299296396
2018-01-31 00:00:00+00:00,-0.0065489673653839064
2018-02-28 00:00:00+00:00,-0.002383090910087926
2018-03-31 00:00:00+00:00,-0.005422346287654256
2018-04-30 00:00:00+00:00,-0.007609666611046673
2018-05-31 00:00:00+00:00,-0.01254207310173061
2018-06-30 00:00:00+00:00,-0.003955489287422509
2018-07-31 00:00:00+00:00,0.0037794749092145974
2018-08-31 00:00:00+00:00,-0.002153939809660388
2018-09-30 00:00:00+00:00,0.0064909466840537
2018-10-31 00:00:00+00:00,-0.008977280214477856
2018-11-30 00:00:00+00:00,-0.0017458611735778895
2018-12-31 00:00:00+00:00,-0.00950866540778983
2019-01-31 00:00:00+00:00,-0.0014275124432445718
2019-02-28 00:00:00+00:00,-0.00820981142504229
2019-03-31 00:00:00+00:00,-0.003468143291543435
2019-04-30 00:00:00+00:00,-0.00039929470524224797
2019-05-31 00:00:00+00:00,-0.0007073958159018456
2019-06-30 00:00:00+00:00,0.00947284139717719
2019-07-31 00:00:00+00:00,-0.006675372953298009
2019-08-31 00:00:00+00:00,-0.00954669561992405
2019-09-30 00:00:00+00:00,0.008365271884938075
2019-10-31 00:00:00+00:00,0.00954758559443647
2019-11-30 00:00:00+00:00,0.002943414684440704
2019-12-31 00:00:00+00:00,0.002295627761569774
2020-01-31 00:00:00+00:00,0.0006190556845491191
2020-02-29 00:00:00+00:00,-0.004582705436444678
2020-03-31 00:00:00+00:00,-0.027066322063778014
2020-04-30 00:00:00+00:00,0.006947838878333723
2020-05-31 00:00:00+00:00,-0.0045883128679165
2020-06-30 00:00:00+00:00,0.0025178142657011904
2020-07-31 00:00:00+00:00,-0.004283266513503525
2020-08-31 00:00:00+00:00,-0.000843494294173186
2020-09-30 00:00:00+00:00,-0.009226458606733545
2020-10-31 00:00:00+00:00,-0.0010252715567371506
2020-11-30 00:00:00+00:00,0.00617625611961814
2020-12-31 00:00:00+00:00,0.005651154359053612
2021-01-31 00:00:00+00:00,-0.014189176619273769
2021-02-28 00:00:00+00:00,0.007659168558112439
2021-03-31 00:00:00+00:00,-0.003709025628653384
2021-04-30 00:00:00+00:00,0.0014709723262484875
2021-05-31 00:00:00+00:00,0.00411433638730152
2021-06-30 00:00:00+00:00,-0.005938611860721865
2021-07-31 00:00:00+00:00,-0.006770580041186691
2021-08-31 00:00:00+00:00,0.0011454390094203237
2021-09-30 00:00:00+00:00,-0.005568815670682348
2021-10-31 00:00:00+00:00,0.00927866147126677
2021-11-30 00:00:00+00:00,-0.006243641114574094
2021-12-31 00:00:00+00:00,0.0005535306449431232
2022-01-31 00:00:00+00:00,-0.0019447077573282456
2022-02-28 00:00:00+00:00,0.00197808243715758
2022-03-31 00:00:00+00:00,0.020178805851307713
2022-04-30 00:00:00+00:00,0.012165006519565535
2022-05-31 00:00:00+00:00,0.0017010696908557055
2022-06-30 00:00:00+00:00,0.011730410993637141
2022-07-31 00:00:00+00:00,-0.009873545178032184
2022-08-31 00:00:00+00:00,0.01244979522908185
2022-09-30 00:00:00+00:00,0.0029763776205224968
2022-10-31 00:00:00+00:00,0.0006470907065336817
2022-11-30 00:00:00+00:00,-0.013717810072385705
2022-12-31 00:00:00+00:00,-0.004301793166412882
2023-01-31 00:00:00+00:00,-0.0031728015112051366
2023-02-28 00:00:00+00:00,0.007891701137612728
2023-03-31 00:00:00+00:00,-0.004624522889706273
2023-04-30 00:00:00+00:00,0.004303460550841631
2023-05-31 00:00:00+00:00,-0.0001969186558399283
2023-06-30 00:00:00+00:00,0.01664416226874832
2023-07-31 00:00:00+00:00,-0.004463848835214557
2023-08-31 00:00:00+00:00,-0.000798377757818769
2023-09-30 00:00:00+00:00,0.009775014228146528
2023-10-31 00:00:00+00:00,-0.004542807714261299
2023-11-30 00:00:00+00:00,-0.0015078840015843031
2023-12-31 00:00:00+00:00,-0.001507236744116347
2024-01-31 00:00:00+00:00,0.0027116103894624377
2024-02-29 00:00:00+00:00,0.002804637406397692
2024-03-31 00:00:00+00:00,0.0003933299221283715
2024-04-30 00:00:00+00:00,-0.0036925363131166122
2024-05-31 00:00:00+00:00,0.005521680862918377
2024-06-30 00:00:00+00:00,0.012913218581420471
2024-07-31 00:00:00+00:00,-0.029489221258315323
2024-08-31 00:00:00+00:00,-0.004106292357319519
2024-09-30 00:00:00+00:00,0.004075568291869391
2024-10-31 00:00:00+00:00,0.01651411986345308
2024-11-30 00:00:00+00:00,-0.016448431718005252
2024-12-31 00:00:00+00:00,0.013334906495765075
2025-01-31 00:00:00+00:00,-0.01404872100398269
