time,soft_vix_gpr_ew
2011-10-31 00:00:00+00:00,0.002854139941127487
2011-11-30 00:00:00+00:00,0.0002647723131428137
2011-12-31 00:00:00+00:00,0.0036838622028390056
2012-01-31 00:00:00+00:00,-3.0768312180295965e-05
2012-02-29 00:00:00+00:00,-0.000868243194109164
2012-03-31 00:00:00+00:00,0.003115321792664494
2012-04-30 00:00:00+00:00,0.0022358290979647144
2012-05-31 00:00:00+00:00,-0.0022735987846581596
2012-06-30 00:00:00+00:00,-0.0019741936585314646
2012-07-31 00:00:00+00:00,-0.00019129608129597742
2012-08-31 00:00:00+00:00,0.005230240958525867
2012-09-30 00:00:00+00:00,0.0017684765414769377
2012-10-31 00:00:00+00:00,0.0019686902525024585
2012-11-30 00:00:00+00:00,0.0006463891612564776
2012-12-31 00:00:00+00:00,0.002653207207533592
2013-01-31 00:00:00+00:00,-0.0018550499139973198
2013-02-28 00:00:00+00:00,0.00020100108442333564
2013-03-31 00:00:00+00:00,-0.005957872276260323
2013-04-30 00:00:00+00:00,0.004450989925772086
2013-05-31 00:00:00+00:00,0.005988461710719983
2013-06-30 00:00:00+00:00,0.004881889076225221
2013-07-31 00:00:00+00:00,0.0015200485255910667
2013-08-31 00:00:00+00:00,0.002223886463907032
2013-09-30 00:00:00+00:00,0.0010657925277990365
2013-10-31 00:00:00+00:00,-0.0012418837045927722
2013-11-30 00:00:00+00:00,0.0021122538364461985
2013-12-31 00:00:00+00:00,-0.0014680586672815021
2014-01-31 00:00:00+00:00,0.001041130213210284
2014-02-28 00:00:00+00:00,0.0003802767554561548
2014-03-31 00:00:00+00:00,0.0011654231711568652
2014-04-30 00:00:00+00:00,0.0010256224827887017
2014-05-31 00:00:00+00:00,0.001254216092812399
2014-06-30 00:00:00+00:00,0.0009747599120566441
2014-07-31 00:00:00+00:00,-0.0012590020309399819
2014-08-31 00:00:00+00:00,0.0018096970946941404
2014-09-30 00:00:00+00:00,0.0009680122783590761
2014-10-31 00:00:00+00:00,-0.00032596904555448614
2014-11-30 00:00:00+00:00,0.0026492986692132625
2014-12-31 00:00:00+00:00,-0.0010633754910430726
2015-01-31 00:00:00+00:00,0.007627456040398162
2015-02-28 00:00:00+00:00,-0.005193723235382475
2015-03-31 00:00:00+00:00,0.0038337111718342864
2015-04-30 00:00:00+00:00,-0.0014045478267883382
2015-05-31 00:00:00+00:00,0.001974718008319165
2015-06-30 00:00:00+00:00,0.0009624410751452039
2015-07-31 00:00:00+00:00,0.001442910377892348
2015-08-31 00:00:00+00:00,0.0052430319341338905
2015-09-30 00:00:00+00:00,-2.6575386210425656e-05
2015-10-31 00:00:00+00:00,-0.004568179310021958
2015-11-30 00:00:00+00:00,-0.002746817139582469
2015-12-31 00:00:00+00:00,-0.0004645765918033229
2016-01-31 00:00:00+00:00,0.0025104713492194453
2016-02-29 00:00:00+00:00,0.004166077742847385
2016-03-31 00:00:00+00:00,-0.003977599284426536
2016-04-30 00:00:00+00:00,9.389913553081719e-05
2016-05-31 00:00:00+00:00,-0.0045760225272781785
2016-06-30 00:00:00+00:00,0.012788436227838318
2016-07-31 00:00:00+00:00,-0.00012287503296748437
2016-08-31 00:00:00+00:00,-0.002523312151632595
2016-09-30 00:00:00+00:00,-0.002095829607752897
2016-10-31 00:00:00+00:00,0.00011967661494050041
2016-11-30 00:00:00+00:00,0.005557424402718114
2016-12-31 00:00:00+00:00,0.0018737587644963583
2017-01-31 00:00:00+00:00,0.002081606553113291
2017-02-28 00:00:00+00:00,0.0012545606957135025
2017-03-31 00:00:00+00:00,-0.0011942550533806662
2017-04-30 00:00:00+00:00,0.0011881370804627256
2017-05-31 00:00:00+00:00,-0.002362249053676768
2017-06-30 00:00:00+00:00,0.002717973823044728
2017-07-31 00:00:00+00:00,0.003092887075151207
2017-08-31 00:00:00+00:00,-0.0010170693882944892
2017-09-30 00:00:00+00:00,0.0025805175247914924
2017-10-31 00:00:00+00:00,0.0007063066209960223
2017-11-30 00:00:00+00:00,-0.0001978351651239496
2017-12-31 00:00:00+00:00,-0.00047653739713093834
2018-01-31 00:00:00+00:00,0.0012610039734479717
2018-02-28 00:00:00+00:00,0.0028644836536324547
2018-03-31 00:00:00+00:00,-0.0011429447363977552
2018-04-30 00:00:00+00:00,-0.0008967289818918589
2018-05-31 00:00:00+00:00,0.0042987668582972205
2018-06-30 00:00:00+00:00,-0.00048503401709221183
2018-07-31 00:00:00+00:00,0.0006192766495529689
2018-08-31 00:00:00+00:00,-0.0003825793871073957
2018-09-30 00:00:00+00:00,0.00017526534735834431
2018-10-31 00:00:00+00:00,0.00027057084938886256
2018-11-30 00:00:00+00:00,0.00019995422030594234
2018-12-31 00:00:00+00:00,-0.001234105113989914
2019-01-31 00:00:00+00:00,-0.0013928316086249115
2019-02-28 00:00:00+00:00,-0.0005353497792259798
2019-03-31 00:00:00+00:00,-0.0008204076267704918
2019-04-30 00:00:00+00:00,-0.0003499115689775678
2019-05-31 00:00:00+00:00,-0.004519068351500177
2019-06-30 00:00:00+00:00,-0.00013633763410314526
2019-07-31 00:00:00+00:00,-0.003916758604312398
2019-08-31 00:00:00+00:00,0.0010150080030011388
2019-09-30 00:00:00+00:00,0.0018235726119122386
2019-10-31 00:00:00+00:00,0.0018046086413772144
2019-11-30 00:00:00+00:00,-0.00035785415240008334
2019-12-31 00:00:00+00:00,-0.00018418984605517164
2020-01-31 00:00:00+00:00,-0.002127820376989442
2020-02-29 00:00:00+00:00,-0.0002085481092857222
2020-03-31 00:00:00+00:00,0.0011857932031973384
2020-04-30 00:00:00+00:00,0.00035239924493302155
2020-05-31 00:00:00+00:00,0.0044214540129459134
2020-06-30 00:00:00+00:00,0.0016892283592249147
2020-07-31 00:00:00+00:00,0.00034393027423096356
2020-08-31 00:00:00+00:00,-0.0004771985834518544
2020-09-30 00:00:00+00:00,-0.003826280243686808
2020-10-31 00:00:00+00:00,-0.0012123440560615206
2020-11-30 00:00:00+00:00,0.005660480246707733
2020-12-31 00:00:00+00:00,0.0006817010812127933
2021-01-31 00:00:00+00:00,0.005745079297383215
