symbol,timeframe,strategy,oos_sharpe,mean_mo_2024,mean_mo_2025,gates_2024,gates_2025,trades_2024,trades_2025,corr_vs_locked_2024,dual_year_pass
EURJPY,D1,ema_pullback,2.0049359052828186,-0.0027590347321534425,0.0009546787064732352,True,True,8,6,0.09359891931940459,False
EURUSD,D1,cci_reversion,1.5437842792644962,0.003215566025346107,0.0011381014072130132,True,True,9,5,0.15403517435121583,False
GBPJPY,H4,squeeze_breakout,1.443692549661263,0.014179801678842252,-0.012024105127281389,True,False,57,63,-0.29600917494417184,False
NZDCAD,H4,mean_reversion_regime,1.3459469396620758,0.0010466451306371653,0.0062882704984725405,True,True,11,15,0.2109129823069438,False
EURCHF,H4,cci_reversion,1.198128556783831,-0.0046936409044318565,0.013468904946749027,True,True,10,63,0.03798929276027777,False
EURGBP,D1,cci_reversion,1.0985220971975689,0.007051783818608997,-0.0016877130584224333,True,True,8,4,-0.027590973772021014,False
AUDUSD,H4,bbands_reversion,0.971438697986606,0.00030685777623402026,0.0,True,True,34,0,0.23655529092668845,False
USDJPY,D1,hybrid_regime,0.9497214056786872,0.003675535498577485,-0.00040578480455983284,True,True,23,9,0.029891046268260626,False
EURCAD,D1,bbands_reversion,0.924315644227376,0.0010564756920512406,0.00030160298134208517,True,True,9,7,0.1975078125942217,False
AUDJPY,D1,mean_reversion_regime,0.8982713282778984,0.0030017725822552325,0.0036032819970456768,True,True,6,5,-0.0018144816215571599,False
NZDJPY,D1,mean_reversion_regime,0.8071851439991133,-0.0029886559594865473,0.0024230509475666943,True,True,4,2,0.08318872809783077,False
EURAUD,H4,breakout_donchian,0.4882865098758222,0.005936357125245731,-0.00909769388470952,True,False,89,54,-0.24127633566409934,False
