month,USD
1994-03-01 00:00:00+00:00,2.64929747581482
1994-04-01 00:00:00+00:00,2.004971027374268
1994-05-01 00:00:00+00:00,2.175499677658081
1994-06-01 00:00:00+00:00,2.364232301712036
1994-07-01 00:00:00+00:00,2.7626564502716064
1994-08-01 00:00:00+00:00,2.284783124923706
1994-09-01 00:00:00+00:00,2.13395094871521
1994-10-01 00:00:00+00:00,2.3236935138702397
1994-11-01 00:00:00+00:00,2.1631321907043457
1994-12-01 00:00:00+00:00,1.9211959838867188
1995-01-01 00:00:00+00:00,2.097728729248047
1995-02-01 00:00:00+00:00,1.668933629989624
1995-03-01 00:00:00+00:00,1.5944693088531494
1995-04-01 00:00:00+00:00,1.7398362159729004
1995-05-01 00:00:00+00:00,2.2009217739105225
1995-06-01 00:00:00+00:00,1.991496205329895
1995-07-01 00:00:00+00:00,2.13237738609314
1995-08-01 00:00:00+00:00,2.2772469520568848
1995-09-01 00:00:00+00:00,2.378158569335937
1995-10-01 00:00:00+00:00,1.454104781150818
1995-11-01 00:00:00+00:00,1.38241446018219
1995-12-01 00:00:00+00:00,1.550011157989502
1996-01-01 00:00:00+00:00,1.412654161453247
1996-02-01 00:00:00+00:00,1.4743882417678833
1996-03-01 00:00:00+00:00,1.6478923559188845
1996-04-01 00:00:00+00:00,1.71850323677063
1996-05-01 00:00:00+00:00,1.7814347743988037
1996-06-01 00:00:00+00:00,1.3213279247283936
1996-07-01 00:00:00+00:00,1.312994122505188
1996-08-01 00:00:00+00:00,1.604606032371521
1996-09-01 00:00:00+00:00,1.6037836074829102
1996-10-01 00:00:00+00:00,2.021841764450073
1996-11-01 00:00:00+00:00,1.0725080966949463
1996-12-01 00:00:00+00:00,1.0855921506881714
1997-01-01 00:00:00+00:00,1.5119444131851196
1997-02-01 00:00:00+00:00,0.9729240536689758
1997-03-01 00:00:00+00:00,1.050157904624939
1997-04-01 00:00:00+00:00,1.1519078016281128
1997-05-01 00:00:00+00:00,1.2982195615768433
1997-06-01 00:00:00+00:00,1.1006957292556765
1997-07-01 00:00:00+00:00,0.7511608600616455
1997-08-01 00:00:00+00:00,0.9073299765586852
1997-09-01 00:00:00+00:00,1.051243782043457
1997-10-01 00:00:00+00:00,0.860172688961029
1997-11-01 00:00:00+00:00,1.0718635320663452
1997-12-01 00:00:00+00:00,1.486522197723389
1998-01-01 00:00:00+00:00,0.9454402327537536
1998-02-01 00:00:00+00:00,1.113872766494751
1998-03-01 00:00:00+00:00,1.838814377784729
1998-04-01 00:00:00+00:00,1.2498539686203003
1998-05-01 00:00:00+00:00,1.0672954320907593
1998-06-01 00:00:00+00:00,1.957215666770935
1998-07-01 00:00:00+00:00,1.5843377113342283
1998-08-01 00:00:00+00:00,1.147668719291687
1998-09-01 00:00:00+00:00,2.2329885959625244
1998-10-01 00:00:00+00:00,1.417198896408081
1998-11-01 00:00:00+00:00,1.226663589477539
1998-12-01 00:00:00+00:00,1.6170976161956787
1999-01-01 00:00:00+00:00,1.7790558338165283
1999-02-01 00:00:00+00:00,1.3240206241607666
1999-03-01 00:00:00+00:00,1.248893976211548
1999-04-01 00:00:00+00:00,1.9307531118392944
1999-05-01 00:00:00+00:00,2.3571739196777344
1999-06-01 00:00:00+00:00,1.8464792966842647
1999-07-01 00:00:00+00:00,1.631765842437744
1999-08-01 00:00:00+00:00,1.2352309226989746
1999-09-01 00:00:00+00:00,1.2700074911117554
1999-10-01 00:00:00+00:00,1.3955544233322144
1999-11-01 00:00:00+00:00,1.482270359992981
1999-12-01 00:00:00+00:00,1.1889114379882812
2000-01-01 00:00:00+00:00,1.8293263912200928
2000-02-01 00:00:00+00:00,1.1989688873291016
2000-03-01 00:00:00+00:00,1.2321325540542605
2000-04-01 00:00:00+00:00,1.0100457668304443
2000-05-01 00:00:00+00:00,1.0314223766326904
2000-06-01 00:00:00+00:00,1.392322301864624
2000-07-01 00:00:00+00:00,1.2740495204925537
2000-08-01 00:00:00+00:00,0.9578033089637756
2000-09-01 00:00:00+00:00,0.820108950138092
2000-10-01 00:00:00+00:00,1.104864239692688
2000-11-01 00:00:00+00:00,1.7102947235107422
2000-12-01 00:00:00+00:00,0.9510831832885742
2001-01-01 00:00:00+00:00,0.9818148016929626
2001-02-01 00:00:00+00:00,1.0246317386627195
2001-03-01 00:00:00+00:00,1.1720848083496094
2001-04-01 00:00:00+00:00,1.1910302639007568
2001-05-01 00:00:00+00:00,1.1368091106414795
2001-06-01 00:00:00+00:00,1.2756264209747314
2001-07-01 00:00:00+00:00,1.5124449729919434
2001-08-01 00:00:00+00:00,1.317399024963379
2001-09-01 00:00:00+00:00,1.3494141101837158
2001-10-01 00:00:00+00:00,13.229009628295898
2001-11-01 00:00:00+00:00,13.10019588470459
2001-12-01 00:00:00+00:00,7.890068531036377
2002-01-01 00:00:00+00:00,6.047550678253174
2002-02-01 00:00:00+00:00,4.232385158538818
2002-03-01 00:00:00+00:00,3.621983051300049
2002-04-01 00:00:00+00:00,3.863307237625122
2002-05-01 00:00:00+00:00,3.8404908180236816
2002-06-01 00:00:00+00:00,4.089163780212402
2002-07-01 00:00:00+00:00,3.673884868621826
2002-08-01 00:00:00+00:00,2.954308032989502
2002-09-01 00:00:00+00:00,3.130244016647339
2002-10-01 00:00:00+00:00,4.386018753051758
2002-11-01 00:00:00+00:00,4.156506538391113
2002-12-01 00:00:00+00:00,3.697484016418457
2003-01-01 00:00:00+00:00,4.328754901885986
2003-02-01 00:00:00+00:00,4.968297004699707
2003-03-01 00:00:00+00:00,5.824158191680908
2003-04-01 00:00:00+00:00,9.004739761352539
2003-05-01 00:00:00+00:00,6.5873847007751465
2003-06-01 00:00:00+00:00,4.000342845916748
2003-07-01 00:00:00+00:00,3.5495827198028564
2003-08-01 00:00:00+00:00,3.4111475944519043
2003-09-01 00:00:00+00:00,3.3566434383392334
2003-10-01 00:00:00+00:00,2.8184759616851807
2003-11-01 00:00:00+00:00,2.644917726516724
2003-12-01 00:00:00+00:00,2.870813369750977
2004-01-01 00:00:00+00:00,3.160040855407715
2004-02-01 00:00:00+00:00,2.693431854248047
2004-03-01 00:00:00+00:00,2.816727876663208
2004-04-01 00:00:00+00:00,3.165661096572876
2004-05-01 00:00:00+00:00,3.5463106632232666
2004-06-01 00:00:00+00:00,2.880948305130005
2004-07-01 00:00:00+00:00,3.3609933853149414
2004-08-01 00:00:00+00:00,3.175800085067749
2004-09-01 00:00:00+00:00,3.450162649154663
2004-10-01 00:00:00+00:00,3.508509635925293
2004-11-01 00:00:00+00:00,2.939661026000977
2004-12-01 00:00:00+00:00,2.974993228912353
2005-01-01 00:00:00+00:00,2.58486557006836
2005-02-01 00:00:00+00:00,2.455801486968994
2005-03-01 00:00:00+00:00,2.622012138366699
2005-04-01 00:00:00+00:00,2.1218717098236084
2005-05-01 00:00:00+00:00,1.9423761367797847
2005-06-01 00:00:00+00:00,2.28169846534729
2005-07-01 00:00:00+00:00,1.9303158521652224
2005-08-01 00:00:00+00:00,3.4862778186798096
2005-09-01 00:00:00+00:00,2.485919713973999
2005-10-01 00:00:00+00:00,2.362940788269043
2005-11-01 00:00:00+00:00,2.013789176940918
2005-12-01 00:00:00+00:00,1.7658361196517944
2006-01-01 00:00:00+00:00,2.129260778427124
2006-02-01 00:00:00+00:00,2.19144344329834
2006-03-01 00:00:00+00:00,2.225618600845337
2006-04-01 00:00:00+00:00,2.1922523975372314
2006-05-01 00:00:00+00:00,2.043182611465454
2006-06-01 00:00:00+00:00,2.002094984054565
2006-07-01 00:00:00+00:00,2.342168092727661
2006-08-01 00:00:00+00:00,2.9761147499084477
2006-09-01 00:00:00+00:00,3.033530235290528
2006-10-01 00:00:00+00:00,2.479890823364258
2006-11-01 00:00:00+00:00,2.592647790908813
2006-12-01 00:00:00+00:00,1.9614392518997192
2007-01-01 00:00:00+00:00,2.060984373092652
2007-02-01 00:00:00+00:00,2.368746042251587
2007-03-01 00:00:00+00:00,2.303630352020264
2007-04-01 00:00:00+00:00,1.9545481204986568
2007-05-01 00:00:00+00:00,1.7691173553466797
2007-06-01 00:00:00+00:00,1.9922128915786743
2007-07-01 00:00:00+00:00,2.1809420585632324
2007-08-01 00:00:00+00:00,2.392127752304077
2007-09-01 00:00:00+00:00,1.9360777139663696
2007-10-01 00:00:00+00:00,2.180305242538452
