time,mom_vix_gpr_stack
2011-10-31 00:00:00+00:00,0.0
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,0.0
2012-01-31 00:00:00+00:00,0.0
2012-02-29 00:00:00+00:00,-0.005347243363215126
2012-03-31 00:00:00+00:00,-0.007957247817023338
2012-04-30 00:00:00+00:00,-0.005751074679149815
2012-05-31 00:00:00+00:00,-0.00871895954494506
2012-06-30 00:00:00+00:00,-0.014193212238272745
2012-07-31 00:00:00+00:00,-0.007239842690557552
2012-08-31 00:00:00+00:00,-0.01528307742558399
2012-09-30 00:00:00+00:00,0.0015588813587155137
2012-10-31 00:00:00+00:00,-0.008292376512364918
2012-11-30 00:00:00+00:00,-0.00010599871080863021
2012-12-31 00:00:00+00:00,0.005640202661891802
2013-01-31 00:00:00+00:00,0.01168658124366928
2013-02-28 00:00:00+00:00,0.001108421556749395
2013-03-31 00:00:00+00:00,-0.0008431000006425826
2013-04-30 00:00:00+00:00,0.0
2013-05-31 00:00:00+00:00,-0.011007254569769365
2013-06-30 00:00:00+00:00,-0.0059347559165306984
2013-07-31 00:00:00+00:00,0.006131601089029104
2013-08-31 00:00:00+00:00,0.004388705685316019
2013-09-30 00:00:00+00:00,-0.0048545542383261475
2013-10-31 00:00:00+00:00,0.002630521367545491
2013-11-30 00:00:00+00:00,0.009353219548027036
2013-12-31 00:00:00+00:00,-0.008339047068349426
2014-01-31 00:00:00+00:00,0.014807051027361684
2014-02-28 00:00:00+00:00,0.004958619532535735
2014-03-31 00:00:00+00:00,-0.004337804878106755
2014-04-30 00:00:00+00:00,0.001310424658392817
2014-05-31 00:00:00+00:00,-0.0016014257510322816
2014-06-30 00:00:00+00:00,0.0034283601718028134
2014-07-31 00:00:00+00:00,-0.0010283251292559914
2014-08-31 00:00:00+00:00,0.003320284772987847
2014-09-30 00:00:00+00:00,-0.004560344678129047
2014-10-31 00:00:00+00:00,0.0010431897166292003
2014-11-30 00:00:00+00:00,-0.007834545554071037
2014-12-31 00:00:00+00:00,-0.0017986206766217316
2015-01-31 00:00:00+00:00,-2.2352968417904684e-05
2015-02-28 00:00:00+00:00,0.004326648505544872
2015-03-31 00:00:00+00:00,-0.003828905676550476
2015-04-30 00:00:00+00:00,-0.004243445450107242
2015-05-31 00:00:00+00:00,0.009066582130626388
2015-06-30 00:00:00+00:00,-0.017790488980123365
2015-07-31 00:00:00+00:00,0.0014511889436850112
2015-08-31 00:00:00+00:00,0.014487920982287239
2015-09-30 00:00:00+00:00,-0.00026331931412426623
2015-10-31 00:00:00+00:00,-0.008996745775421422
2015-11-30 00:00:00+00:00,-0.00957512782656822
2015-12-31 00:00:00+00:00,-0.0005596063956712083
2016-01-31 00:00:00+00:00,-0.007060708183640463
2016-02-29 00:00:00+00:00,-0.003243149820783775
2016-03-31 00:00:00+00:00,0.010817428863410639
2016-04-30 00:00:00+00:00,-0.012322428963875143
2016-05-31 00:00:00+00:00,-0.010811183403145797
2016-06-30 00:00:00+00:00,0.02427501575391222
2016-07-31 00:00:00+00:00,-0.004972058219562148
2016-08-31 00:00:00+00:00,0.0030170871166605995
2016-09-30 00:00:00+00:00,0.003223568194620885
2016-10-31 00:00:00+00:00,0.016415635639419612
2016-11-30 00:00:00+00:00,-0.011082397084925533
2016-12-31 00:00:00+00:00,-0.004356057556837989
2017-01-31 00:00:00+00:00,0.010314259173240359
2017-02-28 00:00:00+00:00,-0.0019162191434080045
2017-03-31 00:00:00+00:00,-0.0056288069208561
2017-04-30 00:00:00+00:00,-0.005570717874369913
2017-05-31 00:00:00+00:00,-0.00434607666125475
2017-06-30 00:00:00+00:00,-0.0054400769298416085
2017-07-31 00:00:00+00:00,-0.012633448360713895
2017-08-31 00:00:00+00:00,0.0022634775238730143
