time,ur_ew
2011-10-31 00:00:00+00:00,-0.0012434336458109208
2011-11-30 00:00:00+00:00,0.0015965287490353752
2011-12-31 00:00:00+00:00,0.00511733023620331
2012-01-31 00:00:00+00:00,-0.0025460279443267897
2012-02-29 00:00:00+00:00,-0.001852067091937637
2012-03-31 00:00:00+00:00,-0.0006302745128168308
2012-04-30 00:00:00+00:00,-0.002385707774138379
2012-05-31 00:00:00+00:00,0.004738726828416695
2012-06-30 00:00:00+00:00,-0.0017569623372852838
2012-07-31 00:00:00+00:00,0.0016212873712628806
2012-08-31 00:00:00+00:00,0.0008133299409407435
2012-09-30 00:00:00+00:00,-0.004246137962221064
2012-10-31 00:00:00+00:00,-0.0014966567708883938
2012-11-30 00:00:00+00:00,-0.00016333384247557703
2012-12-31 00:00:00+00:00,-0.00020792814039627405
2013-01-31 00:00:00+00:00,-0.004384093462295291
2013-02-28 00:00:00+00:00,0.005161463565366953
2013-03-31 00:00:00+00:00,0.005441381839092374
2013-04-30 00:00:00+00:00,-0.0018786452747638904
2013-05-31 00:00:00+00:00,0.0004702369066844625
2013-06-30 00:00:00+00:00,0.005162102904761046
2013-07-31 00:00:00+00:00,-0.0005797067518078514
2013-08-31 00:00:00+00:00,-0.0032084525405128295
2013-09-30 00:00:00+00:00,-0.004991069952552052
2013-10-31 00:00:00+00:00,-0.003349999705055673
2013-11-30 00:00:00+00:00,0.003048357077975128
2013-12-31 00:00:00+00:00,-0.003428741216799591
2014-01-31 00:00:00+00:00,0.003009648753351968
2014-02-28 00:00:00+00:00,-0.0028051668257158546
2014-03-31 00:00:00+00:00,-0.003225392145486339
2014-04-30 00:00:00+00:00,-0.0005195617019005949
2014-05-31 00:00:00+00:00,-0.003026756945221254
2014-06-30 00:00:00+00:00,-0.0007556579264912378
2014-07-31 00:00:00+00:00,0.0037376397309172305
2014-08-31 00:00:00+00:00,-0.0018613626955844564
2014-09-30 00:00:00+00:00,0.005257611725324685
2014-10-31 00:00:00+00:00,-0.0025839988943352488
2014-11-30 00:00:00+00:00,0.001964181855959257
2014-12-31 00:00:00+00:00,0.003927643202606301
2015-01-31 00:00:00+00:00,0.006493176785836274
2015-02-28 00:00:00+00:00,0.0012919415431327241
2015-03-31 00:00:00+00:00,0.0022824050079697233
2015-04-30 00:00:00+00:00,-0.004076192561549452
2015-05-31 00:00:00+00:00,0.0049903054870859
2015-06-30 00:00:00+00:00,0.001739889336074496
2015-07-31 00:00:00+00:00,0.00747595317584282
2015-08-31 00:00:00+00:00,0.0017162175109539657
2015-09-30 00:00:00+00:00,0.0009323383934740637
2015-10-31 00:00:00+00:00,-0.0008589267054905925
2015-11-30 00:00:00+00:00,0.0010612031611227923
2015-12-31 00:00:00+00:00,0.005017120624781324
2016-01-31 00:00:00+00:00,-0.0005738516395452642
2016-02-29 00:00:00+00:00,-0.00869070768751079
2016-03-31 00:00:00+00:00,-0.0038603568769117746
2016-04-30 00:00:00+00:00,-0.0042022888707276
2016-05-31 00:00:00+00:00,0.002571448689355993
2016-06-30 00:00:00+00:00,-0.007540378284042415
2016-07-31 00:00:00+00:00,0.0007047952309835459
2016-08-31 00:00:00+00:00,0.00019782246519217672
2016-09-30 00:00:00+00:00,0.00020532404436379714
2016-10-31 00:00:00+00:00,-0.00030616143616324365
2016-11-30 00:00:00+00:00,-0.003900267111579425
2016-12-31 00:00:00+00:00,-0.0037914621648079683
2017-01-31 00:00:00+00:00,0.0009111329046036509
2017-02-28 00:00:00+00:00,-0.0011679352625758588
2017-03-31 00:00:00+00:00,0.0012442480259755584
2017-04-30 00:00:00+00:00,0.005172156120684335
2017-05-31 00:00:00+00:00,0.0018272421793081861
2017-06-30 00:00:00+00:00,-0.0037922841768012194
2017-07-31 00:00:00+00:00,-0.0021473669235506643
2017-08-31 00:00:00+00:00,0.0010080757133914542
2017-09-30 00:00:00+00:00,0.0021360390746427704
2017-10-31 00:00:00+00:00,-0.0008564106816079109
2017-11-30 00:00:00+00:00,0.002371895565441262
2017-12-31 00:00:00+00:00,-0.002494693657464575
2018-01-31 00:00:00+00:00,0.0005839886735523603
2018-02-28 00:00:00+00:00,0.0016585102731903056
