time,curve_lt_xs
2011-10-31 00:00:00+00:00,0.02937759173732135
2011-11-30 00:00:00+00:00,-0.01622704083579729
2011-12-31 00:00:00+00:00,0.011407645748044981
2012-01-31 00:00:00+00:00,0.02112962054214096
2012-02-29 00:00:00+00:00,0.007207335018209804
2012-03-31 00:00:00+00:00,-0.006391269843640912
2012-04-30 00:00:00+00:00,-0.0003948069345751648
2012-05-31 00:00:00+00:00,-0.01843978614331987
2012-06-30 00:00:00+00:00,0.01759171693467354
2012-07-31 00:00:00+00:00,0.021571550091281422
2012-08-31 00:00:00+00:00,-0.002698346929792095
2012-09-30 00:00:00+00:00,0.01101357127107172
2012-10-31 00:00:00+00:00,-0.0015606150281022302
2012-11-30 00:00:00+00:00,0.0003126907514532373
2012-12-31 00:00:00+00:00,-0.005942378930800962
2013-01-31 00:00:00+00:00,0.004431067285912027
2013-02-28 00:00:00+00:00,-0.002587305078649904
2013-03-31 00:00:00+00:00,0.013764243988522606
2013-04-30 00:00:00+00:00,-0.0007753475390449571
2013-05-31 00:00:00+00:00,-0.02464348032443675
2013-06-30 00:00:00+00:00,-0.027005811075942354
2013-07-31 00:00:00+00:00,-0.0024509241866438325
2013-08-31 00:00:00+00:00,-0.0053567504410002575
2013-09-30 00:00:00+00:00,0.020840492456991377
2013-10-31 00:00:00+00:00,0.0014146122465126254
2013-11-30 00:00:00+00:00,-0.012781252701282497
2013-12-31 00:00:00+00:00,-0.006474277900937686
2014-01-31 00:00:00+00:00,-0.0003243570233926185
2014-02-28 00:00:00+00:00,0.006589517825459579
2014-03-31 00:00:00+00:00,0.016642442927751855
2014-04-30 00:00:00+00:00,-0.0026306596624490197
2014-05-31 00:00:00+00:00,0.0024867637869816495
2014-06-30 00:00:00+00:00,0.007884549092113557
2014-07-31 00:00:00+00:00,-0.004690146452396182
2014-08-31 00:00:00+00:00,-0.000810581965942303
2014-09-30 00:00:00+00:00,-0.023172026416022118
2014-10-31 00:00:00+00:00,0.004237099172344383
2014-11-30 00:00:00+00:00,-0.005641647491821278
2014-12-31 00:00:00+00:00,-0.004581357070380987
2015-01-31 00:00:00+00:00,-0.0435610606293666
2015-02-28 00:00:00+00:00,0.017735060408440084
2015-03-31 00:00:00+00:00,-0.0036168358988610816
2015-04-30 00:00:00+00:00,0.004753321449236125
2015-05-31 00:00:00+00:00,-0.02274756438050074
2015-06-30 00:00:00+00:00,-0.011026018612849575
2015-07-31 00:00:00+00:00,-0.010826026419844426
2015-08-31 00:00:00+00:00,-0.016672871389372235
2015-09-30 00:00:00+00:00,0.00045738128036010295
2015-10-31 00:00:00+00:00,0.019135161823247815
2015-11-30 00:00:00+00:00,0.007023214313332193
2015-12-31 00:00:00+00:00,0.00517922226435541
2016-01-31 00:00:00+00:00,-0.013785372442220667
2016-02-29 00:00:00+00:00,0.0018898498828667787
2016-03-31 00:00:00+00:00,0.021985318706906565
2016-04-30 00:00:00+00:00,0.0019611501036254086
2016-05-31 00:00:00+00:00,-0.012710513513887634
2016-06-30 00:00:00+00:00,0.016041656953817762
2016-07-31 00:00:00+00:00,0.0049961993581393305
2016-08-31 00:00:00+00:00,0.0035387160875148815
2016-09-30 00:00:00+00:00,-0.0026469714785305465
2016-10-31 00:00:00+00:00,0.010144284158293049
2016-11-30 00:00:00+00:00,0.020020994866094544
2016-12-31 00:00:00+00:00,-0.0042507881293502026
2017-01-31 00:00:00+00:00,0.011638668194081214
2017-02-28 00:00:00+00:00,0.001751071272301008
2017-03-31 00:00:00+00:00,-0.011209456826813624
2017-04-30 00:00:00+00:00,-0.012737961239507545
2017-05-31 00:00:00+00:00,-0.0019765798361632836
2017-06-30 00:00:00+00:00,0.016142209505471516
2017-07-31 00:00:00+00:00,0.016467713546820084
2017-08-31 00:00:00+00:00,-0.01524679780521987
2017-09-30 00:00:00+00:00,0.006915473597905564
2017-10-31 00:00:00+00:00,-0.009261119773848359
2017-11-30 00:00:00+00:00,-0.008861063702070293
2017-12-31 00:00:00+00:00,0.015610360156442127
2018-01-31 00:00:00+00:00,-0.002467608305525837
2018-02-28 00:00:00+00:00,-0.014642334199795659
2018-03-31 00:00:00+00:00,-0.0012880751657001754
2018-04-30 00:00:00+00:00,0.0038471636455086333
2018-05-31 00:00:00+00:00,-0.0027451981062894815
2018-06-30 00:00:00+00:00,-0.009063064875340254
2018-07-31 00:00:00+00:00,0.005724206157721401
2018-08-31 00:00:00+00:00,-0.018130511532782556
2018-09-30 00:00:00+00:00,0.007398612169953189
2018-10-31 00:00:00+00:00,-0.0022947994272578542
2018-11-30 00:00:00+00:00,0.018023403436349783
2018-12-31 00:00:00+00:00,-0.025021746548269275
2019-01-31 00:00:00+00:00,0.014163905508443264
2019-02-28 00:00:00+00:00,0.0007996242869039438
2019-03-31 00:00:00+00:00,-0.0032424338234854355
2019-04-30 00:00:00+00:00,-0.0014816907301717919
2019-05-31 00:00:00+00:00,-0.01824975366662962
2019-06-30 00:00:00+00:00,0.0033670663969858072
2019-07-31 00:00:00+00:00,-0.007925667704201111
2019-08-31 00:00:00+00:00,-0.019333936445153355
2019-09-30 00:00:00+00:00,0.0053861342625689534
2019-10-31 00:00:00+00:00,0.006849211664952781
2019-11-30 00:00:00+00:00,0.0022892022954064117
2019-12-31 00:00:00+00:00,0.007172590201990348
2020-01-31 00:00:00+00:00,-0.011971188393744336
2020-02-29 00:00:00+00:00,-0.008357012863017155
2020-03-31 00:00:00+00:00,-0.03289618430081587
2020-04-30 00:00:00+00:00,0.010104016843036856
2020-05-31 00:00:00+00:00,0.005832464357378164
2020-06-30 00:00:00+00:00,0.0150898744546617
2020-07-31 00:00:00+00:00,0.002103803115793834
2020-08-31 00:00:00+00:00,0.009626711479587158
2020-09-30 00:00:00+00:00,-0.007966321270802434
2020-10-31 00:00:00+00:00,-0.0077165132162109185
2020-11-30 00:00:00+00:00,0.023722476816173454
2020-12-31 00:00:00+00:00,0.005016084087302808
2021-01-31 00:00:00+00:00,0.0008572901101624453
2021-02-28 00:00:00+00:00,0.018070766859345166
2021-03-31 00:00:00+00:00,-0.002571996793264586
2021-04-30 00:00:00+00:00,-0.002418047779428889
2021-05-31 00:00:00+00:00,-0.0049972589439366555
2021-06-30 00:00:00+00:00,-0.006466775762066113
2021-07-31 00:00:00+00:00,-0.01183189143684149
2021-08-31 00:00:00+00:00,0.0031162513904363642
2021-09-30 00:00:00+00:00,-0.0005514426673812745
2021-10-31 00:00:00+00:00,0.020173672034758505
2021-11-30 00:00:00+00:00,-0.01683161602004657
2021-12-31 00:00:00+00:00,0.003908531159676043
2022-01-31 00:00:00+00:00,-0.013785192348683473
2022-02-28 00:00:00+00:00,0.01167229276377757
2022-03-31 00:00:00+00:00,0.03214567548601632
2022-04-30 00:00:00+00:00,0.0014785113425503926
