factor,window,gates_pass,mean_mo
carry_rank,IS_2018_2023,True,-0.000606345045899599
carry_rank,year_2024,True,0.001479027538061627
carry_rank,year_2025,True,0.0012476942424954592
carry_rank,year_2026,True,0.001282647235176071
carry_rank,holdout_365d_confirm_only,True,0.0030960335167011153
fx_momentum,IS_2018_2023,True,-0.0009371563012602304
fx_momentum,year_2024,True,-0.001714213307772146
fx_momentum,year_2025,True,0.004370753695258089
fx_momentum,year_2026,True,0.0034381581325453048
fx_momentum,holdout_365d_confirm_only,True,0.003835746116205694
dollar_factor_avg,IS_2018_2023,False,-0.0014367679747172835
dollar_factor_avg,year_2024,True,-0.004762468755342788
dollar_factor_avg,year_2025,True,0.006353405931846099
dollar_factor_avg,year_2026,True,-0.0038628348905950932
dollar_factor_avg,holdout_365d_confirm_only,True,-0.0002310902851817657
dollar_tsmom,IS_2018_2023,False,0.00024097169069403312
dollar_tsmom,year_2024,True,0.007752131524699012
dollar_tsmom,year_2025,True,0.000488875073284353
dollar_tsmom,year_2026,True,0.002964838622357621
dollar_tsmom,holdout_365d_confirm_only,True,0.005268141132962136
carry_gpr_vix,IS_2018_2023,True,-0.0005775749554343187
carry_gpr_vix,year_2024,True,-0.00021088088549614525
carry_gpr_vix,year_2025,True,0.0016406311100916463
carry_gpr_vix,year_2026,True,0.0004294472145963957
carry_gpr_vix,holdout_365d_confirm_only,True,0.002478808778347034
mom_gpr_vix,IS_2018_2023,True,-0.0005157990619294122
mom_gpr_vix,year_2024,True,-0.0007855562627600212
mom_gpr_vix,year_2025,True,0.003383490626957793
mom_gpr_vix,year_2026,True,0.0019495240694596822
mom_gpr_vix,holdout_365d_confirm_only,True,0.002741490898781627
