symbol,timeframe,strategy,data_source,bars_total,bars_research,bars_holdout,range_start,range_end,params,wf_mode,folds,is_return,oos_return,oos_max_dd,oos_daily_dd,oos_sharpe,oos_trades,oos_gates_pass,oos_profitable,overfit_oos_weaker,anchored_oos_return,anchored_gates_pass,holdout_return,holdout_max_dd,holdout_daily_dd,holdout_sharpe,holdout_trades,holdout_gates_pass,holdout_profitable_and_gates,ftmo_golive_candidate,baseline_oos_return,baseline_gates_pass
EURUSD,H4,stoch_reversion,approximate_non_ftmo,4437,2852,1585,2023-11-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_max"": 22, ""exit_mid"": 50, ""require_htf_align"": false, ""session_hours"": null, ""stoch_high"": 85, ""stoch_low"": 20}",rolling,23,-0.0061947865925682,-0.0010338748998229,0.0331036307165885,0.0170941352844238,-0.1708007963173276,37,True,False,False,-0.0010338748998229,True,0.0226458557891762,0.0361188349152045,0.0123257637023925,0.5103098126143845,69,True,True,False,-0.0021497800213361,True
EURUSD,H4,atr_channel_breakout,approximate_non_ftmo,4437,2852,1585,2023-11-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_min"": 12, ""atr_mult"": 2.0, ""exit_to_mid"": false, ""max_hold"": 0, ""require_htf_align"": false, ""session_hours"": null}",rolling,23,-0.009584092223482,-0.0040754318744351,0.0484437220403112,0.0230940520095825,-1.1486935960454885,123,True,False,False,-0.0040754318744351,True,-0.0426088296181843,0.0495395541707069,0.0125718017632621,-0.6531703694878269,108,True,False,False,-0.0046251403062242,True
EURUSD,D1,stoch_reversion,approximate_non_ftmo,2601,2341,260,2016-09-15 23:00:00+00:00,2026-09-15 23:00:00+00:00,"{""adx_max"": 28, ""exit_mid"": 50, ""require_htf_align"": false, ""session_hours"": null, ""stoch_high"": 75, ""stoch_low"": 20}",rolling,21,0.0192372432442857,0.0006498377960928,0.0530406077608998,0.0192314386367797,0.1578175946618726,64,True,True,True,0.0006498377960928,True,-0.0334449494354266,0.0613384966254768,0.0141158103942871,-1.5357265926070258,17,True,False,False,0.0023201033562157,True
EURUSD,D1,atr_channel_breakout,approximate_non_ftmo,2601,2341,260,2016-09-15 23:00:00+00:00,2026-09-15 23:00:00+00:00,"{""adx_min"": 12, ""atr_mult"": 2.5, ""exit_to_mid"": false, ""max_hold"": 24, ""require_htf_align"": false, ""session_hours"": null}",rolling,21,0.0128568202369489,-0.0030404432661225,0.0614074194975276,0.0178733133049012,-0.7482259914920927,17,True,False,True,-0.0030404432661225,True,-0.0792267460390911,0.0793778005756327,0.0161488429096767,-3.963737837914691,6,True,False,False,-0.0093517424629382,True
GBPUSD,H4,stoch_reversion,approximate_non_ftmo,4437,2851,1586,2023-11-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_max"": 28, ""exit_mid"": 50, ""require_htf_align"": false, ""session_hours"": null, ""stoch_high"": 75, ""stoch_low"": 15}",rolling,23,0.001950125176807,0.0002760853211782,0.043737010116577,0.015360430831909,-0.0540315932455675,69,True,True,True,0.0002760853211782,True,0.0125101051712162,0.0465915387489036,0.0149389505386352,0.2053951232734786,91,True,True,False,7.072885264577823e-05,True
GBPUSD,H4,atr_channel_breakout,approximate_non_ftmo,4437,2851,1586,2023-11-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_min"": 12, ""atr_mult"": 2.0, ""exit_to_mid"": false, ""max_hold"": 0, ""require_htf_align"": false, ""session_hours"": null}",rolling,23,-0.0134154653275521,-0.0013121500840984,0.0576684318819959,0.016269340444292,0.0167711032802666,109,True,False,False,-0.0013121500840984,True,-0.0951768191773538,0.1050490762733626,0.0181301461465019,-1.485487564037418,59,True,False,False,-0.0003031232009316,True
GBPUSD,D1,stoch_reversion,approximate_non_ftmo,2601,2341,260,2016-09-15 23:00:00+00:00,2026-09-15 23:00:00+00:00,"{""adx_max"": 22, ""exit_mid"": 50, ""require_htf_align"": true, ""session_hours"": null, ""stoch_high"": 85, ""stoch_low"": 20}",rolling,21,-0.0003960108735212,0.0,0.0,0.0,0.0,0,True,False,False,0.0,True,0.0,0.0,0.0,0.0,0,True,False,False,-0.0052763894501634,True
GBPUSD,D1,atr_channel_breakout,approximate_non_ftmo,2601,2341,260,2016-09-15 23:00:00+00:00,2026-09-15 23:00:00+00:00,"{""adx_min"": 12, ""atr_mult"": 2.5, ""exit_to_mid"": false, ""max_hold"": 0, ""require_htf_align"": false, ""session_hours"": null}",rolling,21,-0.0141418282560888,0.0016377827552328,0.0650802265157969,0.0208089023110526,0.0456385408942818,26,True,True,False,0.0016377827552328,True,-0.1002082290863576,0.1002082290863576,0.0173317021506174,-5.606477136953065,6,False,False,False,-0.0045926939995847,True
USDJPY,H4,stoch_reversion,approximate_non_ftmo,4435,2852,1583,2023-11-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_max"": 22, ""exit_mid"": 50, ""require_htf_align"": true, ""session_hours"": null, ""stoch_high"": 80, ""stoch_low"": 20}",rolling,23,-0.0006476590905346,0.0,0.0,0.0,0.0,0,True,False,False,0.0,True,0.0002688625559719,0.024259079310064,0.0128936648833876,0.0229809545468779,28,True,True,False,-0.0012049127055546,True
USDJPY,H4,atr_channel_breakout,approximate_non_ftmo,4435,2852,1583,2023-11-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_min"": 18, ""atr_mult"": 1.5, ""exit_to_mid"": false, ""max_hold"": 0, ""require_htf_align"": false, ""session_hours"": null}",rolling,23,0.0191213464644153,0.0004595898690555,0.0528482297344037,0.0238013190725854,0.0581045392971505,108,True,True,True,0.0004595898690555,True,0.0140066160370959,0.0550160590471243,0.0267239998941392,0.2134344651233006,118,True,True,False,-0.0011529972783833,True
