currency,fred_id,freq,n_obs,start,end,last,note
USD,USAPIEAMP01GYM,M,900,1948-03-01,2023-02-01,7.9445401142,OECD MEI manufacturing PPI YoY USAPIEAMP01GYM (monthly as reported; ends ~2022-12 stale)
EUR,DEUPIEAMP01GYM,M,324,1996-03-01,2023-02-01,11.2888888889,Germany proxy via DEUPIEAMP01GYM (M growth as reported) (EA19PIEAMP01GYM ends 2022-12; FRA GYM alt; GYSAM 404)
GBP,GBRPIEAMP01GYM,M,157,2010-02-01,2023-02-01,12.9508196721,OECD MEI manufacturing PPI YoY GBRPIEAMP01GYM (monthly as reported; ends ~2022-12 stale)
JPY,JPNPPDMMINMEI,M,744,1961-03-01,2023-02-01,7.063197026022761,OECD MEI JPNPPDMMINMEI levels → YoY % (JPNPIEAMP01GYM / PIEAMP01JP* 404; ends ~2022-12 stale)
CAD,CANPIEAMP01GYM,M,792,1957-03-01,2023-02-01,7.6142131958,OECD MEI manufacturing PPI YoY CANPIEAMP01GYM (monthly as reported; ends ~2022-12 stale)
CHF,CHEPIEAMP01GYM,M,247,2002-08-01,2023-02-01,2.287260326,OECD MEI manufacturing PPI YoY CHEPIEAMP01GYM (monthly as reported; ends ~2022-12 stale)
AUD,PIEAMP01AUQ661N,Q,643,1969-09-01,2023-03-01,5.955882352941622,OECD MEI PIEAMP01AUQ661N quarterly index → YoY % (AUS/NZL PIEAMP01GYM 404; ends ~2022-07..2023-01 stale)
NZD,PIEAMP01NZQ661N,Q,745,1961-03-01,2023-03-01,14.83606557377044,OECD MEI PIEAMP01NZQ661N quarterly index → YoY % (AUS/NZL PIEAMP01GYM 404; ends ~2022-07..2023-01 stale)
