,USD,GBP,JPY,CAD,EUR,AUD,NZD
1961-01-01 00:00:00+00:00,0.0,,6.1224377014788,0.5617976663,,,
1961-02-01 00:00:00+00:00,0.9302325452,,8.1632502686384,2.2346369395,,,
1961-03-01 00:00:00+00:00,0.0,,8.333317662761353,-0.5464481371,,,
1961-04-01 00:00:00+00:00,0.0,,8.000005616333429,0.0,,,
1961-05-01 00:00:00+00:00,0.0,,10.000002005833375,0.5494505997,,,
1961-06-01 00:00:00+00:00,0.4608294867,,7.8431430387353895,0.5464481371,,,
1961-07-01 00:00:00+00:00,0.9174311801,,14.000014843166909,0.0,,,
1961-08-01 00:00:00+00:00,0.0,,9.43398404340472,-0.54347831,,,
1961-09-01 00:00:00+00:00,0.0,,15.384627253452688,-0.5464481371,,,
1961-10-01 00:00:00+00:00,-0.9090908968,,13.725505234045364,0.0,,,
1961-11-01 00:00:00+00:00,0.9174311801,,15.686286077470779,0.0,,,
1961-12-01 00:00:00+00:00,0.9090908968,,13.461553668486248,1.0989011994,,,
1962-01-01 00:00:00+00:00,0.4504504444,,13.461553668486248,0.0,,,
1962-02-01 00:00:00+00:00,1.345291551,,15.094351761897705,2.1739129741,,,
1962-03-01 00:00:00+00:00,0.4424778699,,17.307700838419105,-1.063829754,,,
1962-04-01 00:00:00+00:00,-0.4405286282,,11.111109047496637,0.5376343258,,,
1962-05-01 00:00:00+00:00,0.0,,10.909089251377413,0.0,,,
1962-06-01 00:00:00+00:00,0.4424778699,,14.545446256887073,1.0695188146,,,
1962-07-01 00:00:00+00:00,0.0,,8.77191284690355,0.0,,,
1962-08-01 00:00:00+00:00,0.0,,6.896538606322888,0.0,,,
1962-09-01 00:00:00+00:00,0.0,,6.666671124073997,-0.5291005771,,,
1962-10-01 00:00:00+00:00,-0.8810572564,,10.344825201149611,-1.063829754,,,
1962-11-01 00:00:00+00:00,0.8888888763,,8.474577423633,1.0752687832,,,
1962-12-01 00:00:00+00:00,0.4405286282,,10.169489508642249,0.5319149421,,,
1963-01-01 00:00:00+00:00,0.8771929702,,5.084736255027744,0.5291004476,,,
1963-02-01 00:00:00+00:00,0.4347826027,,4.918040333691764,2.1052632216,,,
1963-03-01 00:00:00+00:00,0.0,,6.5573816311699895,-0.5154639644,,,
1963-04-01 00:00:00+00:00,0.0,,9.999998328472248,0.0,,,
1963-05-01 00:00:00+00:00,0.4329004269,,8.196722928648237,0.0,,,
1963-06-01 00:00:00+00:00,0.4310344768,,6.349211150269074,1.0362693979,,,
1963-07-01 00:00:00+00:00,0.0,,8.064517955363426,0.0,,,
1963-08-01 00:00:00+00:00,0.4291845435,,11.290318667078413,0.0,,,
1963-09-01 00:00:00+00:00,0.0,,10.93749510294626,-1.0256409941,,,
1963-10-01 00:00:00+00:00,-1.2820512646,,9.374998041178495,0.0,,,
1963-11-01 00:00:00+00:00,1.7316017077,,9.374998041178495,1.0362693979,,,
1963-12-01 00:00:00+00:00,0.0,,7.692308879191279,0.5128205598,,,
1964-01-01 00:00:00+00:00,0.8510638183,,16.12903591072683,1.0204081314,,,
