strategy,scale,binding,is_total_return,is_static_loss,is_max_daily_dd,is_gates_pass,oos_total_return,oos_static_loss,oos_max_daily_dd,oos_gates_pass,mean_mo_is,mean_mo_oos,n_scales_tried,scaled_full_mean_mo,scaled_full_pct_pos,scaled_ho_mean_mo,scaled_ho_pct_pos,scaled_clears_1pct_is,scaled_clears_1pct_oos
nfci_usd,3.001939089899869,daily,0.37160646962349886,0.0004545040857618733,0.049999999976502146,True,0.0,0.0,0.0,True,0.0019848867415208564,0.0,117,0.0018525609587527994,0.13333333333333333,0.0,0.0,False,False
nfci_lvl_usd,3.591799285262824,static,-0.08854918044298543,0.09999999994603306,0.036114061096871444,True,0.0,0.0,0.0,True,-0.0005320043344230309,0.0,117,-0.0004965373787948289,0.005555555555555556,0.0,0.0,False,False
anfci_usd,2.9835508427874498,daily,0.42080187370055566,0.0002237663132090529,0.04999999988600699,True,-0.024536037041006598,0.029825417966078675,0.01841688375739468,True,0.0022094039532488388,-0.002018602808457485,117,0.0019275368358017526,0.18333333333333332,-0.002018602808457485,0.25,False,False
nfci_chg_usd,3.1003286854747065,daily,0.39945822383830576,0.013775700715296988,0.049999999994244426,True,0.05254343746176238,0.0002325246514104947,0.013407203445492196,True,0.0021183556376729537,0.004328138030508651,117,0.002265674463862004,0.2,0.004328138030508651,0.25,False,False
cpff_usd,4.548355270369556,daily,0.1342903920752736,0.09094648693750176,0.04999999996900238,True,-0.04387556749414123,0.08123484763175759,0.02771076786919308,True,0.0009846865543618486,-0.003314433106066087,117,0.0006980785769999868,0.2222222222222222,-0.003314433106066087,0.3333333333333333,False,False
ted_usd,3.412657225980354,daily,0.3194822222265372,0.006996389269388164,0.04999999997289269,True,0.0,0.0,0.0,True,0.001739128526219577,0.0,117,0.0016231866244716053,0.12777777777777777,0.0,0.0,False,False
baa_usd,2.4467164532420664,static,-0.0999999999717488,0.09999999997174877,0.03075293903216676,True,-0.0023589790667132293,0.0023589790667132185,0.010413844281140045,True,-0.0005745699163551409,-0.0001965815888927691,117,-0.0005493706945243161,0.10555555555555556,-0.0001965815888927691,0.0,False,False
spread_usd,3.55793182953046,daily,0.4300477915460532,0.0034075397662866455,0.04999999997362538,True,-0.03366559571647243,0.06360563876064451,0.021703993147759903,True,0.002297443831506192,-0.002594691283542542,117,0.0019713014905029403,0.19444444444444445,-0.002594691283542542,0.3333333333333333,False,False
carry_nfci_cool,1.520747341263371,static,-0.055111063070314215,0.09999999991221732,0.021687448310761682,True,0.04505516957132771,0.007104346581393038,0.007565348726486118,True,-1.3627117329886068e-05,0.004165576518749242,117,0.00023889071813179563,0.5222222222222223,0.004165576518749242,0.8333333333333334,False,False
carry_nfci_loose,0.8782615420290416,static,-0.07623127048783152,0.0999999998783975,0.02693398586211464,True,0.02965928242193483,0.004105396909176488,0.004290455902050453,True,-0.00029169399824185586,0.002714949933177372,117,-0.00010626810266608191,0.5055555555555555,0.002714949933177372,0.75,False,False
carry_cpff_cool,0.8346191520596635,static,-0.0716033042775297,0.09999999991358971,0.013183102876279591,True,0.015115493505734934,0.00375147039148098,0.0038942048642229927,True,-0.0002821748370295701,0.0015034066486902347,117,-0.00017721795472961993,0.5388888888888889,0.0015034066486902347,0.9166666666666666,False,False
funding_ew,3.749119508406757,daily,0.36254150623274684,0.007877362915489065,0.04999999993831516,True,0.009387454300350262,0.01057359104479663,0.010640528688133345,True,0.0019368638604681983,0.0008269035017627787,117,0.001862866503221171,0.3,0.0008269035017627787,0.4166666666666667,False,False
