time,retail_ew
2011-10-31 00:00:00+00:00,0.010572701945556151
2011-11-30 00:00:00+00:00,-0.00020018700184099014
2011-12-31 00:00:00+00:00,0.0076493207733467905
2012-01-31 00:00:00+00:00,0.0065233434818119385
2012-02-29 00:00:00+00:00,0.0004297489100315577
2012-03-31 00:00:00+00:00,-0.0029500806947513336
2012-04-30 00:00:00+00:00,0.0028108212812603117
2012-05-31 00:00:00+00:00,0.011798064904100292
2012-06-30 00:00:00+00:00,-0.008038212244704579
2012-07-31 00:00:00+00:00,0.004169625882684436
2012-08-31 00:00:00+00:00,-0.0026513461549082518
2012-09-30 00:00:00+00:00,0.004390781840067026
2012-10-31 00:00:00+00:00,0.0012349588510176535
2012-11-30 00:00:00+00:00,0.001601164449569259
2012-12-31 00:00:00+00:00,0.003853645315646359
2013-01-31 00:00:00+00:00,0.006770428556521102
2013-02-28 00:00:00+00:00,0.0016942475353138864
2013-03-31 00:00:00+00:00,0.001718202089407539
2013-04-30 00:00:00+00:00,9.393401609680829e-05
2013-05-31 00:00:00+00:00,-0.009096953826675747
2013-06-30 00:00:00+00:00,-0.009259444768363712
2013-07-31 00:00:00+00:00,0.007365646848487062
2013-08-31 00:00:00+00:00,0.00374639390531617
2013-09-30 00:00:00+00:00,0.000824482723756681
2013-10-31 00:00:00+00:00,0.00035462607098635246
2013-11-30 00:00:00+00:00,-0.0019033413065908666
2013-12-31 00:00:00+00:00,-0.0004479580087619617
2014-01-31 00:00:00+00:00,0.0038227905597767453
2014-02-28 00:00:00+00:00,0.001799455067927891
2014-03-31 00:00:00+00:00,0.0015336788817061908
2014-04-30 00:00:00+00:00,-7.131918553870964e-05
2014-05-31 00:00:00+00:00,0.007539602216477093
2014-06-30 00:00:00+00:00,-0.0035905554347439583
2014-07-31 00:00:00+00:00,-0.003848200434808602
2014-08-31 00:00:00+00:00,-0.0007930026051341521
2014-09-30 00:00:00+00:00,-0.006050323529053436
2014-10-31 00:00:00+00:00,0.0007294495022209802
2014-11-30 00:00:00+00:00,0.0017427434694490263
2014-12-31 00:00:00+00:00,0.003860061333659459
2015-01-31 00:00:00+00:00,-0.010735219717479372
2015-02-28 00:00:00+00:00,0.010204354871332644
2015-03-31 00:00:00+00:00,-0.0048562324964323
2015-04-30 00:00:00+00:00,0.0029825739926183648
2015-05-31 00:00:00+00:00,-0.012740972476774748
2015-06-30 00:00:00+00:00,-0.007772353943841459
