time,us_gpr_stress_fx
2011-10-31 00:00:00+00:00,0.0
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,0.0
2012-01-31 00:00:00+00:00,0.0
2012-02-29 00:00:00+00:00,0.0
2012-03-31 00:00:00+00:00,0.0
2012-04-30 00:00:00+00:00,0.0
2012-05-31 00:00:00+00:00,0.0
2012-06-30 00:00:00+00:00,0.0
2012-07-31 00:00:00+00:00,0.0
2012-08-31 00:00:00+00:00,0.0
2012-09-30 00:00:00+00:00,0.0
2012-10-31 00:00:00+00:00,0.0
2012-11-30 00:00:00+00:00,0.0
2012-12-31 00:00:00+00:00,0.0
2013-01-31 00:00:00+00:00,0.0
2013-02-28 00:00:00+00:00,0.0
2013-03-31 00:00:00+00:00,0.0
2013-04-30 00:00:00+00:00,0.0
2013-05-31 00:00:00+00:00,0.0
2013-06-30 00:00:00+00:00,-0.006025753150379454
2013-07-31 00:00:00+00:00,0.00212513188328578
2013-08-31 00:00:00+00:00,0.0
2013-09-30 00:00:00+00:00,0.0
2013-10-31 00:00:00+00:00,0.0
2013-11-30 00:00:00+00:00,-0.003761168810512805
2013-12-31 00:00:00+00:00,0.00044345870581108393
2014-01-31 00:00:00+00:00,0.0
2014-02-28 00:00:00+00:00,0.0
2014-03-31 00:00:00+00:00,0.0
2014-04-30 00:00:00+00:00,0.0
2014-05-31 00:00:00+00:00,-0.003715210008179537
2014-06-30 00:00:00+00:00,0.00021962821184007275
2014-07-31 00:00:00+00:00,0.0
2014-08-31 00:00:00+00:00,0.0
2014-09-30 00:00:00+00:00,-0.019154173267361907
2014-10-31 00:00:00+00:00,1.7047511803980342e-05
2014-11-30 00:00:00+00:00,-0.005926532177961352
2014-12-31 00:00:00+00:00,-0.0030029029631720716
2015-01-31 00:00:00+00:00,0.0
2015-02-28 00:00:00+00:00,0.0
2015-03-31 00:00:00+00:00,0.0
2015-04-30 00:00:00+00:00,0.015269630056973682
2015-05-31 00:00:00+00:00,-0.011949373233741789
2015-06-30 00:00:00+00:00,0.0006744364126305413
2015-07-31 00:00:00+00:00,-0.004087022665071327
2015-08-31 00:00:00+00:00,0.0
2015-09-30 00:00:00+00:00,-0.0022101661832205632
2015-10-31 00:00:00+00:00,0.0007563160043937422
2015-11-30 00:00:00+00:00,0.0
2015-12-31 00:00:00+00:00,0.0
2016-01-31 00:00:00+00:00,-0.008611893461878517
2016-02-29 00:00:00+00:00,0.0028248873750935655
2016-03-31 00:00:00+00:00,0.020030152944383817
2016-04-30 00:00:00+00:00,-0.0010465455316321925
2016-05-31 00:00:00+00:00,-0.014003248445073502
2016-06-30 00:00:00+00:00,0.0007944053313941879
2016-07-31 00:00:00+00:00,0.0
2016-08-31 00:00:00+00:00,0.0
2016-09-30 00:00:00+00:00,-0.00015940911919032352
2016-10-31 00:00:00+00:00,-0.00040018416279063995
2016-11-30 00:00:00+00:00,-0.00881923035058474
2016-12-31 00:00:00+00:00,-0.0035529125491888802
2017-01-31 00:00:00+00:00,0.0
2017-02-28 00:00:00+00:00,0.0
2017-03-31 00:00:00+00:00,0.0008795560417562687
2017-04-30 00:00:00+00:00,0.00017304963709574572
2017-05-31 00:00:00+00:00,0.00014491099309710265
2017-06-30 00:00:00+00:00,0.011069989020267013
2017-07-31 00:00:00+00:00,-0.00019933970826391256
2017-08-31 00:00:00+00:00,-0.002461335461957148
2017-09-30 00:00:00+00:00,0.0006474018987543406
2017-10-31 00:00:00+00:00,-0.010842063805416635
2017-11-30 00:00:00+00:00,0.002279353201781076
2017-12-31 00:00:00+00:00,-0.0002446800896724888
2018-01-31 00:00:00+00:00,0.0
2018-02-28 00:00:00+00:00,0.0
2018-03-31 00:00:00+00:00,0.0
2018-04-30 00:00:00+00:00,0.0
