time,low_ur_z_xs
2011-10-31 00:00:00+00:00,0.002627505742859748
2011-11-30 00:00:00+00:00,0.004468695968539382
2011-12-31 00:00:00+00:00,0.00455453233885561
2012-01-31 00:00:00+00:00,-0.0035886091137729004
2012-02-29 00:00:00+00:00,-0.0026720198695125985
2012-03-31 00:00:00+00:00,-0.0009505700390667338
2012-04-30 00:00:00+00:00,-0.0035795709161557943
2012-05-31 00:00:00+00:00,0.013115739488744449
2012-06-30 00:00:00+00:00,-0.002123957716405056
2012-07-31 00:00:00+00:00,-0.0028256024115752565
2012-08-31 00:00:00+00:00,-0.002110094651561756
2012-09-30 00:00:00+00:00,-0.006982234623085892
2012-10-31 00:00:00+00:00,0.0006482673114498461
2012-11-30 00:00:00+00:00,0.001426201263582394
2012-12-31 00:00:00+00:00,0.0031418702732264325
2013-01-31 00:00:00+00:00,-0.006790830032701978
2013-02-28 00:00:00+00:00,0.005914985953147545
2013-03-31 00:00:00+00:00,0.0036604796386532357
2013-04-30 00:00:00+00:00,-0.003605355464015858
2013-05-31 00:00:00+00:00,0.013922953532324867
2013-06-30 00:00:00+00:00,0.009472205376532594
2013-07-31 00:00:00+00:00,0.00441613612969638
2013-08-31 00:00:00+00:00,-0.004422314162521923
2013-09-30 00:00:00+00:00,-0.01120126014712175
2013-10-31 00:00:00+00:00,-0.011408988762370176
2013-11-30 00:00:00+00:00,0.009881621793394357
2013-12-31 00:00:00+00:00,-0.0007773213831879788
2014-01-31 00:00:00+00:00,0.0075066934898098125
2014-02-28 00:00:00+00:00,-0.004565066853024602
2014-03-31 00:00:00+00:00,-0.01012574828346502
2014-04-30 00:00:00+00:00,0.000987666701612655
2014-05-31 00:00:00+00:00,0.0017640257688991134
2014-06-30 00:00:00+00:00,0.0008643934785437235
2014-07-31 00:00:00+00:00,0.005743952724309942
2014-08-31 00:00:00+00:00,-0.00031145756476269604
2014-09-30 00:00:00+00:00,0.020385776762469332
2014-10-31 00:00:00+00:00,-0.005693006627577102
2014-11-30 00:00:00+00:00,0.00710867636076884
2014-12-31 00:00:00+00:00,0.01375915861275967
2015-01-31 00:00:00+00:00,0.0009914210558565895
2015-02-28 00:00:00+00:00,0.005939417885504117
2015-03-31 00:00:00+00:00,0.0030295862642200078
2015-04-30 00:00:00+00:00,0.0004921255418659509
2015-05-31 00:00:00+00:00,0.010985722267259801
2015-06-30 00:00:00+00:00,0.0025664901776931703
2015-07-31 00:00:00+00:00,0.020995698334878243
2015-08-31 00:00:00+00:00,0.001753653404070521
2015-09-30 00:00:00+00:00,0.0018283395436415883
2015-10-31 00:00:00+00:00,0.004115872677189936
2015-11-30 00:00:00+00:00,0.0022768050121630967
2015-12-31 00:00:00+00:00,-0.01746517157398897
2016-01-31 00:00:00+00:00,0.005451230205817614
2016-02-29 00:00:00+00:00,-0.014476028129715601
2016-03-31 00:00:00+00:00,-0.01833225744619993
2016-04-30 00:00:00+00:00,0.006646424354120439
2016-05-31 00:00:00+00:00,0.015825666758900292
2016-06-30 00:00:00+00:00,-0.03243571745695062
2016-07-31 00:00:00+00:00,0.00013945789869818093
2016-08-31 00:00:00+00:00,0.003446808543003055
2016-09-30 00:00:00+00:00,-0.002238040781250228
2016-10-31 00:00:00+00:00,-0.007097768285315498
2016-11-30 00:00:00+00:00,-0.016193274660492918
2016-12-31 00:00:00+00:00,-0.0002471926562208626
2017-01-31 00:00:00+00:00,-0.008157870859323846
2017-02-28 00:00:00+00:00,-0.003738459545156947
2017-03-31 00:00:00+00:00,0.0012499849782414696
2017-04-30 00:00:00+00:00,0.01026800703238595
2017-05-31 00:00:00+00:00,0.004989819391316264
2017-06-30 00:00:00+00:00,0.0018916817797924868
2017-07-31 00:00:00+00:00,0.010864015182762587
2017-08-31 00:00:00+00:00,0.002307991600683179
2017-09-30 00:00:00+00:00,0.003805103942718935
2017-10-31 00:00:00+00:00,0.00047727070106784453
2017-11-30 00:00:00+00:00,0.005208860286001871
2017-12-31 00:00:00+00:00,-0.001211718408000495
2018-01-31 00:00:00+00:00,-0.009155564724525833
2018-02-28 00:00:00+00:00,-0.0006389439703384792
2018-03-31 00:00:00+00:00,-0.0052342048418891896
2018-04-30 00:00:00+00:00,0.0016725221733775442
2018-05-31 00:00:00+00:00,0.0070172080601198505
2018-06-30 00:00:00+00:00,0.001896542743238916
2018-07-31 00:00:00+00:00,0.002720735331204427
