time,reer_tpu_cool
2011-10-31 00:00:00+00:00,-0.004911806686156539
2011-11-30 00:00:00+00:00,0.004518261043105376
2011-12-31 00:00:00+00:00,-0.0033567411096080413
2012-01-31 00:00:00+00:00,0.0006450236224337935
2012-02-29 00:00:00+00:00,0.002789308070059615
2012-03-31 00:00:00+00:00,0.0008771483280003434
2012-04-30 00:00:00+00:00,0.0014636775537064661
2012-05-31 00:00:00+00:00,-0.0142236867998351
2012-06-30 00:00:00+00:00,-0.005227790805114152
2012-07-31 00:00:00+00:00,-0.008324101460170041
2012-08-31 00:00:00+00:00,0.006988627660316604
2012-09-30 00:00:00+00:00,0.005132513813041584
2012-10-31 00:00:00+00:00,-0.0009848135236415478
2012-11-30 00:00:00+00:00,-0.0024266974460348534
2012-12-31 00:00:00+00:00,0.006127005131226548
2013-01-31 00:00:00+00:00,-0.0024767248905344097
2013-02-28 00:00:00+00:00,0.0003195043739212533
2013-03-31 00:00:00+00:00,-0.014338189666898593
2013-04-30 00:00:00+00:00,0.002229985651965416
2013-05-31 00:00:00+00:00,0.029600979132466287
2013-06-30 00:00:00+00:00,0.02459186948886516
2013-07-31 00:00:00+00:00,0.002913332425997339
2013-08-31 00:00:00+00:00,0.005449748223993467
2013-09-30 00:00:00+00:00,-0.019009711305987387
2013-10-31 00:00:00+00:00,0.0012607164618783084
2013-11-30 00:00:00+00:00,0.00361582811597283
2013-12-31 00:00:00+00:00,-0.0016378101587740668
2014-01-31 00:00:00+00:00,-0.0019295280376419033
2014-02-28 00:00:00+00:00,-0.010191854100893072
2014-03-31 00:00:00+00:00,-0.00723541019166829
2014-04-30 00:00:00+00:00,0.000636561226869059
2014-05-31 00:00:00+00:00,0.002333603043577437
2014-06-30 00:00:00+00:00,-0.003376562142335837
2014-07-31 00:00:00+00:00,0.004856878206628723
2014-08-31 00:00:00+00:00,0.009564280219956922
2014-09-30 00:00:00+00:00,0.015025081015654473
2014-10-31 00:00:00+00:00,0.0020450287079814
2014-11-30 00:00:00+00:00,0.00034982613144340924
2014-12-31 00:00:00+00:00,-0.0028669635048075293
2015-01-31 00:00:00+00:00,0.004971562486077108
2015-02-28 00:00:00+00:00,-0.012250773147130078
2015-03-31 00:00:00+00:00,0.008561649485361311
2015-04-30 00:00:00+00:00,0.007605949874781137
2015-05-31 00:00:00+00:00,-0.009401535728438382
2015-06-30 00:00:00+00:00,-0.004291971876694167
2015-07-31 00:00:00+00:00,-0.004617054288836853
2015-08-31 00:00:00+00:00,0.0014558597235287962
2015-09-30 00:00:00+00:00,0.0005600169961519352
2015-10-31 00:00:00+00:00,-0.0019857125132483056
2015-11-30 00:00:00+00:00,0.0134406873807833
2015-12-31 00:00:00+00:00,-0.012458967010726463
2016-01-31 00:00:00+00:00,-0.0035297189781752225
2016-02-29 00:00:00+00:00,0.012259355972490615
2016-03-31 00:00:00+00:00,0.003725641571679539
2016-04-30 00:00:00+00:00,0.004665324291812212
2016-05-31 00:00:00+00:00,-0.01443256179371566
2016-06-30 00:00:00+00:00,0.02475752163770628
2016-07-31 00:00:00+00:00,-0.0008800738866554525
2016-08-31 00:00:00+00:00,0.002566035029034852
2016-09-30 00:00:00+00:00,0.0003171151148841922
2016-10-31 00:00:00+00:00,0.0027024751575719375
2016-11-30 00:00:00+00:00,0.010333354613367707
2016-12-31 00:00:00+00:00,0.0014861486989947714
2017-01-31 00:00:00+00:00,-0.003762205606774982
2017-02-28 00:00:00+00:00,0.0007064319828993249
2017-03-31 00:00:00+00:00,0.0008340823860488733
2017-04-30 00:00:00+00:00,0.0022141193047908736
2017-05-31 00:00:00+00:00,-0.0028829603692130945
2017-06-30 00:00:00+00:00,-0.0022974762397887094
2017-07-31 00:00:00+00:00,0.0044636913821964885
2017-08-31 00:00:00+00:00,-0.00469106053572621
2017-09-30 00:00:00+00:00,0.017516717159332007
2017-10-31 00:00:00+00:00,0.006028228385629664
2017-11-30 00:00:00+00:00,0.00040041433681481386
2017-12-31 00:00:00+00:00,-0.002713286573148732
