time,cot_lev_z_mr_xs
2011-10-31 00:00:00+00:00,0.01885614238930966
2011-11-30 00:00:00+00:00,0.0008221447397256387
2011-12-31 00:00:00+00:00,0.0005694669171110167
2012-01-31 00:00:00+00:00,-0.012576363212649544
2012-02-29 00:00:00+00:00,0.0002415059911617945
2012-03-31 00:00:00+00:00,-0.0027755408191888487
2012-04-30 00:00:00+00:00,-0.008350609665140007
2012-05-31 00:00:00+00:00,0.006632991617586459
2012-06-30 00:00:00+00:00,0.015514262060083439
2012-07-31 00:00:00+00:00,-0.012343116997188819
2012-08-31 00:00:00+00:00,0.007375516644239077
2012-09-30 00:00:00+00:00,-0.0022911906782104863
2012-10-31 00:00:00+00:00,0.012279071929172103
2012-11-30 00:00:00+00:00,0.0027265182066689153
2012-12-31 00:00:00+00:00,-0.014226025850678004
2013-01-31 00:00:00+00:00,-0.002393563015227196
2013-02-28 00:00:00+00:00,0.005492666899771903
2013-03-31 00:00:00+00:00,0.00903606850055838
2013-04-30 00:00:00+00:00,0.002002285420113825
2013-05-31 00:00:00+00:00,0.010019117153464707
2013-06-30 00:00:00+00:00,-0.005341681446647595
2013-07-31 00:00:00+00:00,-0.008082828236660844
2013-08-31 00:00:00+00:00,-0.004208916014230124
2013-09-30 00:00:00+00:00,0.01592900208907788
2013-10-31 00:00:00+00:00,0.000727639978015171
2013-11-30 00:00:00+00:00,-0.014118318242287153
2013-12-31 00:00:00+00:00,-0.01246358052053076
2014-01-31 00:00:00+00:00,-0.01057020464361369
2014-02-28 00:00:00+00:00,0.002403372938132975
2014-03-31 00:00:00+00:00,0.00454211399819493
2014-04-30 00:00:00+00:00,-0.0018735544364624213
2014-05-31 00:00:00+00:00,-0.0032861912157032824
2014-06-30 00:00:00+00:00,-0.00862356427208899
2014-07-31 00:00:00+00:00,-0.0030720484386699276
2014-08-31 00:00:00+00:00,-0.009183682802575088
2014-09-30 00:00:00+00:00,0.005202728955764568
2014-10-31 00:00:00+00:00,0.0003389314177708602
2014-11-30 00:00:00+00:00,0.004849998903324826
2014-12-31 00:00:00+00:00,0.006104731292848609
2015-01-31 00:00:00+00:00,0.039967304961335604
2015-02-28 00:00:00+00:00,0.019124653619830623
2015-03-31 00:00:00+00:00,-0.007527918395399791
2015-04-30 00:00:00+00:00,0.020968369308346224
2015-05-31 00:00:00+00:00,-0.005886532344817397
2015-06-30 00:00:00+00:00,-0.018356658293955608
2015-07-31 00:00:00+00:00,0.002215736407696234
2015-08-31 00:00:00+00:00,-0.01117254537590584
2015-09-30 00:00:00+00:00,-0.0019665991731890875
2015-10-31 00:00:00+00:00,0.012927167187258393
2015-11-30 00:00:00+00:00,-0.019274519288196124
2015-12-31 00:00:00+00:00,0.014795322445784409
2016-01-31 00:00:00+00:00,0.014038369339874901
2016-02-29 00:00:00+00:00,-0.004668749590207133
2016-03-31 00:00:00+00:00,0.00667033030103914
2016-04-30 00:00:00+00:00,-0.000571688383327773
2016-05-31 00:00:00+00:00,0.016063544912723104
2016-06-30 00:00:00+00:00,-0.03369081832022913
2016-07-31 00:00:00+00:00,-0.0013856313241350504
2016-08-31 00:00:00+00:00,-0.0054267789800870325
2016-09-30 00:00:00+00:00,-0.0021567943182260185
2016-10-31 00:00:00+00:00,-0.0011050443707344426
2016-11-30 00:00:00+00:00,-0.003085594903530997
2016-12-31 00:00:00+00:00,0.003504659034620161
2017-01-31 00:00:00+00:00,0.0017410329559905957
2017-02-28 00:00:00+00:00,0.0018783430742801421
2017-03-31 00:00:00+00:00,0.00882259638998839
2017-04-30 00:00:00+00:00,-0.011233547748777162
2017-05-31 00:00:00+00:00,0.003639573733011492
2017-06-30 00:00:00+00:00,0.007465598403943341
2017-07-31 00:00:00+00:00,-0.0012999517581457898
2017-08-31 00:00:00+00:00,-0.007926645601861293
2017-09-30 00:00:00+00:00,-0.00069475389123963
2017-10-31 00:00:00+00:00,-0.0029205847516172723
2017-11-30 00:00:00+00:00,-0.0038376234486372507
2017-12-31 00:00:00+00:00,0.001444982124343186
2018-01-31 00:00:00+00:00,-0.0056775571981020345
2018-02-28 00:00:00+00:00,-0.004588093564898088
2018-03-31 00:00:00+00:00,-0.00559151655271084
2018-04-30 00:00:00+00:00,0.007631480973519622
2018-05-31 00:00:00+00:00,0.010835955021531118
2018-06-30 00:00:00+00:00,-0.00220888699238897
2018-07-31 00:00:00+00:00,0.007273630847874024
2018-08-31 00:00:00+00:00,0.0030393554377701193
2018-09-30 00:00:00+00:00,0.005720552915675636
2018-10-31 00:00:00+00:00,-0.0032489226859815368
2018-11-30 00:00:00+00:00,0.002709307828570262
2018-12-31 00:00:00+00:00,0.0123643649774694
2019-01-31 00:00:00+00:00,0.005347098563707631
2019-02-28 00:00:00+00:00,0.010320987671443183
2019-03-31 00:00:00+00:00,-0.011900141040285472
2019-04-30 00:00:00+00:00,0.0075582324628118425
2019-05-31 00:00:00+00:00,0.005560442322485537
2019-06-30 00:00:00+00:00,0.008548327348244733
2019-07-31 00:00:00+00:00,-0.013841451434047025
2019-08-31 00:00:00+00:00,-0.0014572905790235513
2019-09-30 00:00:00+00:00,0.0035336936718042278
2019-10-31 00:00:00+00:00,0.012780474441540068
2019-11-30 00:00:00+00:00,0.004900316114109904
2019-12-31 00:00:00+00:00,-0.0011691308610936035
2020-01-31 00:00:00+00:00,0.0001978803350495273
2020-02-29 00:00:00+00:00,0.0020696261543720063
2020-03-31 00:00:00+00:00,0.031406082810425895
2020-04-30 00:00:00+00:00,0.00634114802411978
2020-05-31 00:00:00+00:00,0.003907088320696417
2020-06-30 00:00:00+00:00,0.0027066047804809035
2020-07-31 00:00:00+00:00,-0.011669383933222699
2020-08-31 00:00:00+00:00,-0.004261778611747258
2020-09-30 00:00:00+00:00,0.008692452277618168
2020-10-31 00:00:00+00:00,0.006963948645034357
2020-11-30 00:00:00+00:00,0.0018140361827376772
2020-12-31 00:00:00+00:00,0.0010667475299575013
2021-01-31 00:00:00+00:00,4.21811888460244e-05
2021-02-28 00:00:00+00:00,-0.01151131510450032
2021-03-31 00:00:00+00:00,-0.008439789910048123
2021-04-30 00:00:00+00:00,0.0011852501030931162
2021-05-31 00:00:00+00:00,-0.0024162773337347287
2021-06-30 00:00:00+00:00,0.010143045242797077
