time,reer_epu_tpu_stack
2011-10-31 00:00:00+00:00,-0.0016954840080660727
2011-11-30 00:00:00+00:00,0.0015811166646204633
2011-12-31 00:00:00+00:00,-0.001174939558529875
2012-01-31 00:00:00+00:00,0.000405799445120536
2012-02-29 00:00:00+00:00,0.0013438729212456035
2012-03-31 00:00:00+00:00,0.0002915419071138903
2012-04-30 00:00:00+00:00,0.0005124105933005385
2012-05-31 00:00:00+00:00,-0.012058406097327223
2012-06-30 00:00:00+00:00,-0.005599270426195013
2012-07-31 00:00:00+00:00,-0.00832410146016982
2012-08-31 00:00:00+00:00,0.004456096486205263
2012-09-30 00:00:00+00:00,0.002246236971973792
2012-10-31 00:00:00+00:00,-0.0003413537336415251
2012-11-30 00:00:00+00:00,-0.002532050222707749
2012-12-31 00:00:00+00:00,0.0033906139826576087
2013-01-31 00:00:00+00:00,-0.0013744589883325498
2013-02-28 00:00:00+00:00,0.00019910881097562338
2013-03-31 00:00:00+00:00,-0.005034870760641685
2013-04-30 00:00:00+00:00,0.001916724994616148
2013-05-31 00:00:00+00:00,0.029253354899700268
2013-06-30 00:00:00+00:00,0.024591869488864715
2013-07-31 00:00:00+00:00,0.0029133324259977833
2013-08-31 00:00:00+00:00,0.005449748223993911
2013-09-30 00:00:00+00:00,-0.019009711305987165
2013-10-31 00:00:00+00:00,0.0012607164618778643
2013-11-30 00:00:00+00:00,0.00361582811597283
2013-12-31 00:00:00+00:00,-0.0016378101587737337
2014-01-31 00:00:00+00:00,-0.0014816017145991012
2014-02-28 00:00:00+00:00,-0.010927782523179719
2014-03-31 00:00:00+00:00,-0.007235410191667735
2014-04-30 00:00:00+00:00,0.000636561226868837
2014-05-31 00:00:00+00:00,0.0023336030435767707
2014-06-30 00:00:00+00:00,-0.0033765621423365033
2014-07-31 00:00:00+00:00,0.004856878206628501
2014-08-31 00:00:00+00:00,0.009564280219956478
2014-09-30 00:00:00+00:00,0.01502508101565403
2014-10-31 00:00:00+00:00,0.002045028707982288
2014-11-30 00:00:00+00:00,0.00034982613144296515
2014-12-31 00:00:00+00:00,-0.0028669635048080844
2015-01-31 00:00:00+00:00,0.004971562486076886
2015-02-28 00:00:00+00:00,-0.012250773147129967
2015-03-31 00:00:00+00:00,0.008561649485360867
2015-04-30 00:00:00+00:00,0.007605949874780693
2015-05-31 00:00:00+00:00,-0.009401535728438604
2015-06-30 00:00:00+00:00,-0.004291971876693834
2015-07-31 00:00:00+00:00,-0.004617054288837741
2015-08-31 00:00:00+00:00,0.0014558597235287962
2015-09-30 00:00:00+00:00,0.0005600169961523793
