idea,params,score,min_mean_mo,max_top3,min_pct_pos,hard_pass,soft_pass
pairs_n3,"{""betas"": {""EURCHF/USDCHF"": 0.2331771245504048, ""EURUSD/GBPUSD"": 1.1529977019054902, ""EURUSD/USDCHF"": -0.7694190856057223}, ""entry"": 2.0, ""pairs"": [""EURUSD/GBPUSD:w40"", ""EURCHF/USDCHF:w40"", ""EURUSD/USDCHF:w40""], ""risk_frac"": 0.01, ""sleeve_budget"": 1.0}",0.008707056587084537,0.010127335516044916,0.621013946448019,0.75,False,True
pairs_n4,"{""betas"": {""EURCHF/USDCHF"": 0.2331771245504048, ""EURJPY/GBPJPY"": 0.9867519908895764, ""EURUSD/GBPUSD"": 1.1529977019054902, ""EURUSD/USDCHF"": -0.7694190856057223}, ""entry"": 1.5, ""pairs"": [""EURUSD/GBPUSD:w40"", ""EURCHF/USDCHF:w40"", ""EURUSD/USDCHF:w40"", ""EURJPY/GBPJPY:w40""], ""risk_frac"": 0.01, ""sleeve_budget"": 1.0}",0.007710502628872837,0.009867497355914606,0.6578497363520885,0.875,False,True
pairs_n3,"{""betas"": {""EURCHF/USDCHF"": 0.2331771245504048, ""EURUSD/GBPUSD"": 1.1529977019054902, ""EURUSD/USDCHF"": -0.7694190856057223}, ""entry"": 2.25, ""pairs"": [""EURUSD/GBPUSD:w40"", ""EURCHF/USDCHF:w40"", ""EURUSD/USDCHF:w40""], ""risk_frac"": 0.01, ""sleeve_budget"": 1.0}",0.0076544939299350466,0.010389544529233019,0.6867525299648987,0.75,False,True
pairs_n2,"{""betas"": {""EURCHF/USDCHF"": 0.2331771245504048, ""EURUSD/GBPUSD"": 1.1529977019054902}, ""entry"": 1.5, ""pairs"": [""EURUSD/GBPUSD:w40"", ""EURCHF/USDCHF:w40""], ""risk_frac"": 0.01, ""sleeve_budget"": 1.0}",0.007501867344236541,0.009676704923492263,0.6587418789627861,0.875,False,True
pairs_n2,"{""betas"": {""EURCHF/USDCHF"": 0.2331771245504048, ""EURUSD/GBPUSD"": 1.1529977019054902}, ""entry"": 2.0, ""pairs"": [""EURUSD/GBPUSD:w40"", ""EURCHF/USDCHF:w40""], ""risk_frac"": 0.01, ""sleeve_budget"": 1.0}",0.007474528513221123,0.00927772590018014,0.6401598693479509,0.75,False,True
pairs_n4,"{""betas"": {""EURCHF/USDCHF"": 0.2331771245504048, ""EURJPY/GBPJPY"": 0.9867519908895764, ""EURUSD/GBPUSD"": 1.1529977019054902, ""EURUSD/USDCHF"": -0.7694190856057223}, ""entry"": 2.0, ""pairs"": [""EURUSD/GBPUSD:w40"", ""EURCHF/USDCHF:w40"", ""EURUSD/USDCHF:w40"", ""EURJPY/GBPJPY:w40""], ""risk_frac"": 0.01, ""sleeve_budget"": 1.0}",0.007444942860864626,0.00905491728089311,0.6304987210014242,0.875,False,True
pairs_n4,"{""betas"": {""EURCHF/USDCHF"": 0.2331771245504048, ""EURJPY/GBPJPY"": 0.9867519908895764, ""EURUSD/GBPUSD"": 1.1529977019054902, ""EURUSD/USDCHF"": -0.7694190856057223}, ""entry"": 1.75, ""pairs"": [""EURUSD/GBPUSD:w40"", ""EURCHF/USDCHF:w40"", ""EURUSD/USDCHF:w40"", ""EURJPY/GBPJPY:w40""], ""risk_frac"": 0.01, ""sleeve_budget"": 1.0}",0.007086264215860996,0.009488046092921865,0.6700890938530435,0.875,False,True
pairs_n4,"{""betas"": {""EURCHF/USDCHF"": 0.2331771245504048, ""EURJPY/GBPJPY"": 0.9867519908895764, ""EURUSD/GBPUSD"": 1.1529977019054902, ""EURUSD/USDCHF"": -0.7694190856057223}, ""entry"": 2.25, ""pairs"": [""EURUSD/GBPUSD:w40"", ""EURCHF/USDCHF:w40"", ""EURUSD/USDCHF:w40"", ""EURJPY/GBPJPY:w40""], ""risk_frac"": 0.01, ""sleeve_budget"": 1.0}",0.006896684985740236,0.009424756103657395,0.676403555895858,0.8181818181818182,False,True
pairs_n2,"{""betas"": {""EURCHF/USDCHF"": 0.2331771245504048, ""EURUSD/GBPUSD"": 1.1529977019054902}, ""entry"": 2.25, ""pairs"": [""EURUSD/GBPUSD:w40"", ""EURCHF/USDCHF:w40""], ""risk_frac"": 0.01, ""sleeve_budget"": 1.0}",0.0067647620927033785,0.009492700600388704,0.6863969253842663,0.75,False,True
blend_eq_budget_daily_pairs_n2,"{""lock_w"": 0.7, ""overlay"": {""assumed_sharpe"": 1.2, ""base_vt"": 0.0025, ""target_mo"": 0.01}, ""pairs"": {""betas"": {""EURCHF/USDCHF"": 0.2331771245504048, ""EURUSD/GBPUSD"": 1.1529977019054902}, ""entry"": 2.0, ""pairs"": [""EURUSD/GBPUSD:w40"", ""EURCHF/USDCHF:w40""], ""risk_frac"": 0.01, ""sleeve_budget"": 1.0}, ""pairs_w"": 0.30000000000000004}",0.0056447952249124925,0.008585734271955496,0.6970469523521502,0.75,False,True
