time,hhcred_chg_xs
2011-10-31 00:00:00+00:00,-0.008943608763561706
2011-11-30 00:00:00+00:00,0.005690086200292432
2011-12-31 00:00:00+00:00,-0.011230732907020813
2012-01-31 00:00:00+00:00,-0.01033815958567319
2012-02-29 00:00:00+00:00,-0.0035572127467166093
2012-03-31 00:00:00+00:00,-0.0009505700390668448
2012-04-30 00:00:00+00:00,-0.0035795709161560163
2012-05-31 00:00:00+00:00,0.015250908117957485
2012-06-30 00:00:00+00:00,-0.008151551815878233
2012-07-31 00:00:00+00:00,-0.011460672562679686
2012-08-31 00:00:00+00:00,0.0056480793586470845
2012-09-30 00:00:00+00:00,0.0012840902215538463
2012-10-31 00:00:00+00:00,0.0028198122959643968
2012-11-30 00:00:00+00:00,-0.0022163340806080623
2012-12-31 00:00:00+00:00,0.001032562726107189
2013-01-31 00:00:00+00:00,-0.012736422973818606
2013-02-28 00:00:00+00:00,0.0020714538016761708
2013-03-31 00:00:00+00:00,0.0026448224547970245
2013-04-30 00:00:00+00:00,-0.0005233905899606484
2013-05-31 00:00:00+00:00,0.014812428583877102
2013-06-30 00:00:00+00:00,0.014357837870558887
2013-07-31 00:00:00+00:00,-0.0013776213202369991
2013-08-31 00:00:00+00:00,0.007203423734606584
2013-09-30 00:00:00+00:00,-0.005574599217053389
2013-10-31 00:00:00+00:00,-0.010110772068135931
2013-11-30 00:00:00+00:00,0.01093908555842904
2013-12-31 00:00:00+00:00,4.657027341981035e-06
2014-01-31 00:00:00+00:00,0.016506291372623272
2014-02-28 00:00:00+00:00,0.0005843748080878175
2014-03-31 00:00:00+00:00,-0.001709390379610487
2014-04-30 00:00:00+00:00,-0.002507617661413719
2014-05-31 00:00:00+00:00,0.003041888709676588
2014-06-30 00:00:00+00:00,-0.0023085733074738046
2014-07-31 00:00:00+00:00,0.007718198783677632
2014-08-31 00:00:00+00:00,0.009559553954849198
2014-09-30 00:00:00+00:00,-0.0010354324196872877
2014-10-31 00:00:00+00:00,0.006023184873733989
2014-11-30 00:00:00+00:00,-0.0042442817786114695
2014-12-31 00:00:00+00:00,-0.004446170240407388
2015-01-31 00:00:00+00:00,0.038810712106927214
2015-02-28 00:00:00+00:00,-0.010789257577303202
2015-03-31 00:00:00+00:00,-0.0018058293793939972
2015-04-30 00:00:00+00:00,0.010776696980215883
2015-05-31 00:00:00+00:00,-0.007704327678471068
2015-06-30 00:00:00+00:00,0.004332530552088709
2015-07-31 00:00:00+00:00,-0.008614611500387115
2015-08-31 00:00:00+00:00,0.0018552510169986824
2015-09-30 00:00:00+00:00,-0.0026234874144103193
2015-10-31 00:00:00+00:00,0.0032358197548121304
2015-11-30 00:00:00+00:00,-0.0028867785679153046
2015-12-31 00:00:00+00:00,-0.011296846854990217
2016-01-31 00:00:00+00:00,0.0035870871053647058
2016-02-29 00:00:00+00:00,0.0020268579305640078
2016-03-31 00:00:00+00:00,-0.006909239473589679
2016-04-30 00:00:00+00:00,0.0103638810963127
2016-05-31 00:00:00+00:00,0.00499246275493026
2016-06-30 00:00:00+00:00,-0.009843517989523654
2016-07-31 00:00:00+00:00,-0.006963505194257258
2016-08-31 00:00:00+00:00,0.004697815954788576
2016-09-30 00:00:00+00:00,-0.0076763364782153065
2016-10-31 00:00:00+00:00,-0.0035925969118980605
2016-11-30 00:00:00+00:00,0.00693244399726356
2016-12-31 00:00:00+00:00,0.004159521139754929
2017-01-31 00:00:00+00:00,-0.009149736764386018
2017-02-28 00:00:00+00:00,-0.003922244628433713
2017-03-31 00:00:00+00:00,0.0017071304070790383
2017-04-30 00:00:00+00:00,0.018401922751412503
2017-05-31 00:00:00+00:00,0.005403099833486635
2017-06-30 00:00:00+00:00,-0.010801384092344213
2017-07-31 00:00:00+00:00,-0.00772297743892314
2017-08-31 00:00:00+00:00,-0.0019451135936987551
2017-09-30 00:00:00+00:00,0.012580329856526795
2017-10-31 00:00:00+00:00,0.004183394401680474
2017-11-30 00:00:00+00:00,0.00813923028671093
2017-12-31 00:00:00+00:00,-0.0063175685067971
