start,end,n_days,n_months,mean_mo,pct_pos,ann_sharpe,total_ret,factor,window,role
2018-01-01,2023-12-31,1564,71,-0.000606345045899599,0.4647887323943662,-0.2088819564385803,-0.047623944382185646,carry_rank,IS_2018_2023,eval
2024-01-01,2024-12-31,262,11,0.001479027538061627,0.6363636363636364,0.7600259722903383,0.023103373262709948,carry_rank,year_2024,eval
2025-01-01,2025-12-31,257,11,0.0012476942424954592,0.6363636363636364,0.2071933846989796,0.006655913874778818,carry_rank,year_2025,eval
2026-01-01,2026-12-31,184,8,0.001282647235176071,0.625,1.0077667148923402,0.019580372061138718,carry_rank,year_2026,eval
2025-09-17,2026-09-16,258,12,0.0030960335167011153,0.75,1.3471668705474562,0.03638973282641955,carry_rank,holdout_365d_confirm_only,confirm_only
2018-01-01,2023-12-31,1564,71,-0.0009371563012602304,0.4507042253521127,-0.2783204807514339,-0.0635564331205517,fx_momentum,IS_2018_2023,eval
2024-01-01,2024-12-31,262,11,-0.001714213307772146,0.45454545454545453,-0.641332518035812,-0.021613247675389413,fx_momentum,year_2024,eval
2025-01-01,2025-12-31,257,11,0.004370753695258089,0.9090909090909091,1.2779750877905542,0.0458591075580328,fx_momentum,year_2025,eval
2026-01-01,2026-12-31,184,8,0.0034381581325453048,0.625,1.6529789449843368,0.032077452714756705,fx_momentum,year_2026,eval
2025-09-17,2026-09-16,258,12,0.003835746116205694,0.75,2.0515742324008244,0.05188080476611834,fx_momentum,holdout_365d_confirm_only,confirm_only
2018-01-01,2023-12-31,1564,71,-0.0014367679747172835,0.4507042253521127,-0.1550753104121741,-0.07477830600399937,dollar_factor_avg,IS_2018_2023,eval
2024-01-01,2024-12-31,262,11,-0.004762468755342788,0.36363636363636365,-1.2472942839531003,-0.0755804902514472,dollar_factor_avg,year_2024,eval
2025-01-01,2025-12-31,257,11,0.006353405931846099,0.6363636363636364,0.9812041288609769,0.06843249842893662,dollar_factor_avg,year_2025,eval
2026-01-01,2026-12-31,184,8,-0.0038628348905950932,0.375,-0.011842065467270808,-0.0019303978445927017,dollar_factor_avg,year_2026,eval
2025-09-17,2026-09-16,258,12,-0.0002310902851817657,0.4166666666666667,-0.3147743930376302,-0.02007899491132037,dollar_factor_avg,holdout_365d_confirm_only,confirm_only
2018-01-01,2023-12-31,1564,71,0.00024097169069403312,0.5211267605633803,0.13794634482691978,0.04417373348751452,dollar_tsmom,IS_2018_2023,eval
2024-01-01,2024-12-31,262,11,0.007752131524699012,0.5454545454545454,1.3179003952584418,0.08248032157363339,dollar_tsmom,year_2024,eval
2025-01-01,2025-12-31,257,11,0.000488875073284353,0.6363636363636364,-0.0992630379249277,-0.009301833756706124,dollar_tsmom,year_2025,eval
2026-01-01,2026-12-31,184,8,0.002964838622357621,0.375,0.8423861629279413,0.037395425515961866,dollar_tsmom,year_2026,eval
2025-09-17,2026-09-16,258,12,0.005268141132962136,0.5833333333333334,0.5754007037890925,0.0327932597917997,dollar_tsmom,holdout_365d_confirm_only,confirm_only
2018-01-01,2023-12-31,1564,71,-0.0005775749554343187,0.4507042253521127,-0.2714702687024668,-0.044529633667727664,carry_gpr_vix,IS_2018_2023,eval
2024-01-01,2024-12-31,262,11,-0.00021088088549614525,0.5454545454545454,0.06871471468222391,0.001198777409424645,carry_gpr_vix,year_2024,eval
2025-01-01,2025-12-31,257,11,0.0016406311100916463,0.6363636363636364,0.7418618631444749,0.014605415634728836,carry_gpr_vix,year_2025,eval
2026-01-01,2026-12-31,184,8,0.0004294472145963957,0.625,0.9277163712582329,0.012251419982864498,carry_gpr_vix,year_2026,eval
2025-09-17,2026-09-16,258,12,0.002478808778347034,0.75,1.417419519916084,0.02878624141098185,carry_gpr_vix,holdout_365d_confirm_only,confirm_only
2018-01-01,2023-12-31,1564,71,-0.0005157990619294122,0.4788732394366197,-0.20435606767425185,-0.03327045858405364,mom_gpr_vix,IS_2018_2023,eval
2024-01-01,2024-12-31,262,11,-0.0007855562627600212,0.45454545454545453,-0.4221308269286114,-0.010029112648543226,mom_gpr_vix,year_2024,eval
2025-01-01,2025-12-31,257,11,0.003383490626957793,0.9090909090909091,1.9804386541398484,0.0361633609120362,mom_gpr_vix,year_2025,eval
2026-01-01,2026-12-31,184,8,0.0019495240694596822,0.75,1.557595712915992,0.01964341870477404,mom_gpr_vix,year_2026,eval
2025-09-17,2026-09-16,258,12,0.002741490898781627,0.75,2.142755601777714,0.038267281263222985,mom_gpr_vix,holdout_365d_confirm_only,confirm_only
