time,core80_bci10_ppi10
2024-02-29 00:00:00+00:00,-0.0005641259985567082
2024-03-31 00:00:00+00:00,-0.022965234466850948
2024-04-30 00:00:00+00:00,0.008966746384491575
2024-05-31 00:00:00+00:00,0.024610687115457663
2024-06-30 00:00:00+00:00,-0.020065859401027564
2024-07-31 00:00:00+00:00,0.0122775060320095
2024-08-31 00:00:00+00:00,0.04530469708744289
2024-09-30 00:00:00+00:00,0.010434449971467918
2024-10-31 00:00:00+00:00,0.05174980076463531
2024-11-30 00:00:00+00:00,0.01907079223034125
2024-12-31 00:00:00+00:00,-0.011440513672455244
2025-01-31 00:00:00+00:00,0.02259887936725402
2025-02-28 00:00:00+00:00,0.0009510829172827417
2025-03-31 00:00:00+00:00,0.014533327261731621
2025-04-30 00:00:00+00:00,-0.017821289056464074
2025-05-31 00:00:00+00:00,0.024062907342463635
2025-06-30 00:00:00+00:00,0.003456710935030749
2025-07-31 00:00:00+00:00,0.013930839378255344
2025-08-31 00:00:00+00:00,0.054067876379795266
2025-09-30 00:00:00+00:00,0.02313475828701228
2025-10-31 00:00:00+00:00,-0.0024020635976044202
2025-11-30 00:00:00+00:00,-0.002567263913073492
2025-12-31 00:00:00+00:00,0.015651164019929942
2026-01-31 00:00:00+00:00,0.008669795938778702
2026-02-28 00:00:00+00:00,0.013593363361150024
2026-03-31 00:00:00+00:00,-0.037421997394573414
2026-04-30 00:00:00+00:00,0.06803617519446203
2026-05-31 00:00:00+00:00,-0.002940826842986133
2026-06-30 00:00:00+00:00,0.005307218975468153
2026-07-31 00:00:00+00:00,0.09392174987234148
2026-08-31 00:00:00+00:00,0.015563940518508623
2026-09-30 00:00:00+00:00,0.01291408883233558
