time,high_cci_z_xs
2011-10-31 00:00:00+00:00,-0.008418263554598182
2011-11-30 00:00:00+00:00,0.007693630416403252
2011-12-31 00:00:00+00:00,0.0016019626622914007
2012-01-31 00:00:00+00:00,-0.009745988172053077
2012-02-29 00:00:00+00:00,-0.008052597474555556
2012-03-31 00:00:00+00:00,0.013568326709471723
2012-04-30 00:00:00+00:00,0.004402843761932784
2012-05-31 00:00:00+00:00,0.021275076243707947
2012-06-30 00:00:00+00:00,-0.007737822547186912
2012-07-31 00:00:00+00:00,-0.005884309947076893
2012-08-31 00:00:00+00:00,0.005419382310110965
2012-09-30 00:00:00+00:00,-0.0027226962132460564
2012-10-31 00:00:00+00:00,-0.002293352590866493
2012-11-30 00:00:00+00:00,-0.0038305652615688857
2012-12-31 00:00:00+00:00,0.001032562726107411
2013-01-31 00:00:00+00:00,-0.012736422973818717
2013-02-28 00:00:00+00:00,0.002071453801676393
2013-03-31 00:00:00+00:00,0.01201485976107386
2013-04-30 00:00:00+00:00,0.000558539440064898
2013-05-31 00:00:00+00:00,-0.0051038597673835895
2013-06-30 00:00:00+00:00,-0.013282598164177761
2013-07-31 00:00:00+00:00,0.004432510509397858
2013-08-31 00:00:00+00:00,0.007203423734606806
2013-09-30 00:00:00+00:00,-0.005574599217053278
2013-10-31 00:00:00+00:00,-0.0028961048389242183
2013-11-30 00:00:00+00:00,0.013124885945071663
2013-12-31 00:00:00+00:00,0.010659155945306198
2014-01-31 00:00:00+00:00,-0.0011110165224300639
2014-02-28 00:00:00+00:00,0.0009226533847017659
2014-03-31 00:00:00+00:00,-0.007608561526789015
2014-04-30 00:00:00+00:00,0.004426054867466389
2014-05-31 00:00:00+00:00,-0.007819041221269418
2014-06-30 00:00:00+00:00,0.004164417583866653
2014-07-31 00:00:00+00:00,-0.005437686219752491
2014-08-31 00:00:00+00:00,-0.010101116944378763
2014-09-30 00:00:00+00:00,0.0009116481142479316
2014-10-31 00:00:00+00:00,-0.006042742819970526
2014-11-30 00:00:00+00:00,0.0011963702975268387
2014-12-31 00:00:00+00:00,0.00164443341954712
2015-01-31 00:00:00+00:00,-0.012860696321060239
2015-02-28 00:00:00+00:00,0.0019785100710709713
2015-03-31 00:00:00+00:00,-0.013941266645741246
2015-04-30 00:00:00+00:00,0.01026494802866873
2015-05-31 00:00:00+00:00,-0.0035010124168827206
2015-06-30 00:00:00+00:00,-0.003953598946532022
2015-07-31 00:00:00+00:00,0.010132018591603842
2015-08-31 00:00:00+00:00,0.0036281399551956195
2015-09-30 00:00:00+00:00,-0.0006253530689643849
2015-10-31 00:00:00+00:00,-0.0023395391265230714
2015-11-30 00:00:00+00:00,-0.0011053256138259249
2015-12-31 00:00:00+00:00,0.015606236217081237
2016-01-31 00:00:00+00:00,0.001157924859683579
2016-02-29 00:00:00+00:00,0.005473339616266504
2016-03-31 00:00:00+00:00,0.018676699004518404
2016-04-30 00:00:00+00:00,-0.004519709552146867
2016-05-31 00:00:00+00:00,-0.006260366991203359
2016-06-30 00:00:00+00:00,0.027699020244149164
2016-07-31 00:00:00+00:00,0.005081580890592408
2016-08-31 00:00:00+00:00,-0.0006300468778142054
2016-09-30 00:00:00+00:00,0.007439959580102018
2016-10-31 00:00:00+00:00,0.01077013069167121
2016-11-30 00:00:00+00:00,-0.01989602406520785
2016-12-31 00:00:00+00:00,-0.011227036775990795
2017-01-31 00:00:00+00:00,0.009015297974755976
2017-02-28 00:00:00+00:00,-0.0006246707222447023
2017-03-31 00:00:00+00:00,0.0034039483284828975
2017-04-30 00:00:00+00:00,-0.018096826837778024
2017-05-31 00:00:00+00:00,-0.00739377019599019
2017-06-30 00:00:00+00:00,-0.0013925408185562205
2017-07-31 00:00:00+00:00,0.00186003908526855
2017-08-31 00:00:00+00:00,0.006620146425180939
2017-09-30 00:00:00+00:00,-0.014413274900812123
2017-10-31 00:00:00+00:00,0.004808285744977603
2017-11-30 00:00:00+00:00,0.006785806507254577
2017-12-31 00:00:00+00:00,-0.00797489731340506
2018-01-31 00:00:00+00:00,-0.003810465518099604
2018-02-28 00:00:00+00:00,0.013376948695781099
2018-03-31 00:00:00+00:00,-0.0010084377756380825
2018-04-30 00:00:00+00:00,-0.0030095465087428552
2018-05-31 00:00:00+00:00,0.0015761700644620902
2018-06-30 00:00:00+00:00,-0.0017300107415559873
2018-07-31 00:00:00+00:00,-0.004201589287688101
2018-08-31 00:00:00+00:00,-0.0010231428598093117
2018-09-30 00:00:00+00:00,-0.006896406504843022
2018-10-31 00:00:00+00:00,-0.007589841699428668
2018-11-30 00:00:00+00:00,0.009179781029789114
2018-12-31 00:00:00+00:00,-0.0190701489758216
2019-01-31 00:00:00+00:00,0.011662317278687606
2019-02-28 00:00:00+00:00,0.006880827729356165
2019-03-31 00:00:00+00:00,-0.0029333994801934438
2019-04-30 00:00:00+00:00,-0.0007389461632119065
2019-05-31 00:00:00+00:00,-0.016110007856463215
2019-06-30 00:00:00+00:00,-0.0015086320498944872
