time,tot_ew
2011-10-31 00:00:00+00:00,0.03908776772534628
2011-11-30 00:00:00+00:00,-0.02311132646364078
2011-12-31 00:00:00+00:00,0.0033569288046209067
2012-01-31 00:00:00+00:00,0.0012738099699527439
2012-02-29 00:00:00+00:00,0.005825018110176439
2012-03-31 00:00:00+00:00,-0.01578714813889448
2012-04-30 00:00:00+00:00,-0.006317781263467492
2012-05-31 00:00:00+00:00,-0.03567474677438409
2012-06-30 00:00:00+00:00,-0.004763987280272275
2012-07-31 00:00:00+00:00,0.020614387356966635
2012-08-31 00:00:00+00:00,-0.01494894024549498
2012-09-30 00:00:00+00:00,0.008130106021477346
2012-10-31 00:00:00+00:00,-0.01355250322385304
2012-11-30 00:00:00+00:00,-3.928551806309244e-06
2012-12-31 00:00:00+00:00,-0.004187061853118124
2013-01-31 00:00:00+00:00,0.00957610020754629
2013-02-28 00:00:00+00:00,-0.010272519157651039
2013-03-31 00:00:00+00:00,0.0005193130691800718
2013-04-30 00:00:00+00:00,0.003965997024548251
2013-05-31 00:00:00+00:00,-0.001885598823224588
2013-06-30 00:00:00+00:00,-0.0014280333314177218
2013-07-31 00:00:00+00:00,0.014104804863831033
2013-08-31 00:00:00+00:00,-0.01160440968094334
2013-09-30 00:00:00+00:00,-0.00047862674039678144
2013-10-31 00:00:00+00:00,-0.014846998358101327
2013-11-30 00:00:00+00:00,-0.022308024235496493
2013-12-31 00:00:00+00:00,-0.006058419537969595
2014-01-31 00:00:00+00:00,0.0018518478560392015
2014-02-28 00:00:00+00:00,0.00875279744991908
2014-03-31 00:00:00+00:00,-0.005729611026460968
2014-04-30 00:00:00+00:00,0.0008211434630365222
2014-05-31 00:00:00+00:00,0.003980706309636428
2014-06-30 00:00:00+00:00,0.00816347053012656
2014-07-31 00:00:00+00:00,-0.00841760961195992
2014-08-31 00:00:00+00:00,-0.00041134488116567614
2014-09-30 00:00:00+00:00,-0.03598650335223208
2014-10-31 00:00:00+00:00,0.007210561708978158
2014-11-30 00:00:00+00:00,-0.012125881808900618
