strategy,scale,binding,is_total_return,is_static_loss,is_max_daily_dd,is_gates_pass,oos_total_return,oos_static_loss,oos_max_daily_dd,oos_gates_pass,mean_mo_is,mean_mo_oos,n_scales_tried,scaled_full_mean_mo,scaled_full_pct_pos,scaled_ho_mean_mo,scaled_ho_pct_pos,scaled_clears_1pct_is,scaled_clears_1pct_oos
curve_slope_xs,2.134592214005406,daily,0.187300606199577,0.075192046746806,0.049999999924725855,True,-0.01106844733715917,0.0615781966327109,0.009983463205977315,True,0.001064304414657111,-0.0018858273583168643,117,0.0009405808191539603,0.4777777777777778,-0.0018858273583168643,0.3333333333333333,False,False
curve_lt_xs,0.8560435507545658,static,-0.06441589343236331,0.09999999989636053,0.028934012597010297,True,0.02563438204552737,0.008291139216842712,0.004573931227034773,True,-0.00020965981698964684,0.002740154216501034,117,-5.1933253363031475e-05,0.5,0.002740154216501034,0.75,False,False
curve_slope_z_xs,3.749620134344114,daily,0.18089878721876174,0.08243550979154912,0.049999999907631716,True,0.032855839683355814,0.04056853524467559,0.014319765344901971,True,0.0012940875838089092,0.003192892099106485,117,0.0014202749374882054,0.4722222222222222,0.003192892099106485,0.4166666666666667,False,False
slope_x_carry,0.9807127280604093,static,-0.04034454175777502,0.09999999982644309,0.01787117298733632,True,0.016764249228414352,0.009584378624868405,0.003195810117540677,True,-0.0003447439007957692,0.0017771428814932304,117,-0.00023190877541436153,0.5111111111111111,0.0017771428814932304,0.5,False,False
uip_st_xs,0.8384670928036246,static,-0.08433264193858825,0.09999999992289828,0.025711062110153435,True,0.00928245150612117,0.00812061266645076,0.004480311404275417,True,-0.000353414412052984,0.00139100582737219,117,-0.000275248186241531,0.5166666666666667,0.00139100582737219,0.6666666666666666,False,False
uip_ir3m_xs,0.6810922746721314,static,-0.08201765180782006,0.0999999998405017,0.02057134054726397,True,0.022833007327300647,0.003745178273552738,0.003561196374005376,True,-0.0003768956508187383,0.0021021567122851506,117,-0.00022283122542270876,0.5277777777777778,0.0021021567122851506,0.8333333333333334,False,False
curve_ew,1.4698538804327377,static,0.008623262570253587,0.09999999985819959,0.03122056410538222,True,0.01863927056335779,0.008324780356643895,0.005438426994796027,True,0.00019188665676609214,0.001696345925497574,117,0.0002839554612076424,0.5,0.001696345925497574,0.75,False,False
