time,carry_eq_cool
2011-10-31 00:00:00+00:00,0.018864030668457765
2011-11-30 00:00:00+00:00,-0.02341613696355538
2011-12-31 00:00:00+00:00,8.283295745625807e-05
2012-01-31 00:00:00+00:00,0.021129620542140737
2012-02-29 00:00:00+00:00,0.004162388327816791
2012-03-31 00:00:00+00:00,-0.01502371435390959
2012-04-30 00:00:00+00:00,0.005480187926572233
2012-05-31 00:00:00+00:00,-0.007157439447054159
2012-06-30 00:00:00+00:00,0.006908847151185782
2012-07-31 00:00:00+00:00,0.021571550091280756
2012-08-31 00:00:00+00:00,-0.013612947312439228
2012-09-30 00:00:00+00:00,0.006868866648691574
2012-10-31 00:00:00+00:00,-0.007600438072016269
2012-11-30 00:00:00+00:00,0.0002110876145113849
2012-12-31 00:00:00+00:00,-0.009014319534585313
2013-01-31 00:00:00+00:00,-0.004118439136394425
2013-02-28 00:00:00+00:00,0.0067140633537741135
2013-03-31 00:00:00+00:00,0.018188999340913004
2013-04-30 00:00:00+00:00,-0.01152444212592696
2013-05-31 00:00:00+00:00,-0.02241200709674296
2013-06-30 00:00:00+00:00,-0.014498169277670003
2013-07-31 00:00:00+00:00,-0.007420981677326299
2013-08-31 00:00:00+00:00,0.006000469866477953
2013-09-30 00:00:00+00:00,0.005633948464507599
2013-10-31 00:00:00+00:00,0.0006252766387999653
2013-11-30 00:00:00+00:00,-0.012781252701282164
2013-12-31 00:00:00+00:00,-0.005388935944362405
2014-01-31 00:00:00+00:00,-0.0027390232287436422
2014-02-28 00:00:00+00:00,0.0038685514313918645
2014-03-31 00:00:00+00:00,0.016642442927751855
2014-04-30 00:00:00+00:00,-0.001733662314184481
2014-05-31 00:00:00+00:00,0.0005310551042589928
2014-06-30 00:00:00+00:00,0.007884549092113113
2014-07-31 00:00:00+00:00,-0.004690146452396071
2014-08-31 00:00:00+00:00,0.0003119388075329965
2014-09-30 00:00:00+00:00,-0.01285592586622053
2014-10-31 00:00:00+00:00,0.004214526067572777
2014-11-30 00:00:00+00:00,-0.002741266839275114
2014-12-31 00:00:00+00:00,-0.0007048642702280894
2015-01-31 00:00:00+00:00,-0.014987492626898469
2015-02-28 00:00:00+00:00,0.020922947321897478
2015-03-31 00:00:00+00:00,0.010727234884710501
2015-04-30 00:00:00+00:00,-0.016841243680423723
2015-05-31 00:00:00+00:00,-0.015016669364225632
2015-06-30 00:00:00+00:00,-0.01169339896540611
2015-07-31 00:00:00+00:00,-0.004528093765750141
