time,cons_ew
2011-10-31 00:00:00+00:00,-0.0049970487983092005
2011-11-30 00:00:00+00:00,-0.003364111198976061
2011-12-31 00:00:00+00:00,-0.0010556415458016222
2012-01-31 00:00:00+00:00,-0.002922497775078692
2012-02-29 00:00:00+00:00,0.004508330424984441
2012-03-31 00:00:00+00:00,-0.008691036085080595
2012-04-30 00:00:00+00:00,0.00015048005770745831
2012-05-31 00:00:00+00:00,0.004869736210542763
2012-06-30 00:00:00+00:00,0.0034696352330292335
2012-07-31 00:00:00+00:00,0.009683859487688684
2012-08-31 00:00:00+00:00,-0.007814628210268237
2012-09-30 00:00:00+00:00,-0.001318056216370378
2012-10-31 00:00:00+00:00,-0.003113075941092447
2012-11-30 00:00:00+00:00,0.0001956959502518174
2012-12-31 00:00:00+00:00,-0.002042207716869804
2013-01-31 00:00:00+00:00,0.005528997744530528
2013-02-28 00:00:00+00:00,0.008450168581505935
2013-03-31 00:00:00+00:00,0.006844744602779729
2013-04-30 00:00:00+00:00,-0.0038266031216829255
2013-05-31 00:00:00+00:00,-0.005750318496978046
2013-06-30 00:00:00+00:00,-0.0037877267423397365
2013-07-31 00:00:00+00:00,0.007187895863481009
2013-08-31 00:00:00+00:00,-0.0026511052319989625
2013-09-30 00:00:00+00:00,0.004036971597021655
2013-10-31 00:00:00+00:00,-0.0035646488295488776
2013-11-30 00:00:00+00:00,0.004271004076339402
2013-12-31 00:00:00+00:00,-0.0017128198336954226
2014-01-31 00:00:00+00:00,0.006846299830555624
2014-02-28 00:00:00+00:00,-0.0034585365695734005
2014-03-31 00:00:00+00:00,-0.010666471171931202
2014-04-30 00:00:00+00:00,0.00209043453360791
2014-05-31 00:00:00+00:00,-0.0013426456677629872
2014-06-30 00:00:00+00:00,-0.00531636685379866
2014-07-31 00:00:00+00:00,0.005094428873392287
2014-08-31 00:00:00+00:00,0.0003617844056673647
2014-09-30 00:00:00+00:00,0.004615000066789499
2014-10-31 00:00:00+00:00,-0.0024807811593539064
2014-11-30 00:00:00+00:00,0.0055953459404847194
2014-12-31 00:00:00+00:00,0.005271626615485081
2015-01-31 00:00:00+00:00,-0.0033323364120743104
2015-02-28 00:00:00+00:00,0.01547304256430082
