start,end,n_months,mean_mo,pct_pos,top3,tstat_ols,tstat_nw,ann_sharpe,strategy,window,role,gates_pass,clears_1pct_bar
2024-01-30,2026-09-16,32,0.017170029867461745,0.71875,0.38489387920938045,2.8845535641706954,2.162843338833163,1.4765322391029556,core_100,full_sample,eval,True,True
2024-01-01,2024-12-31,11,0.013083493624336917,0.6363636363636364,0.7055390786758717,1.4175881107981245,1.1560435520879013,1.2406562342318592,core_100,year_2024,eval,True,False
2025-01-01,2025-12-31,11,0.014204105504269123,0.7272727272727273,0.6797240487831042,1.9803943777266841,1.4536360990349868,1.526976947185712,core_100,year_2025,eval,True,False
2026-01-01,2026-12-31,8,0.026173779935732375,0.75,0.8504659943554177,1.4202423771258164,1.3388657452851407,1.7035749663377358,core_100,year_2026,eval,True,False
2025-09-16,2026-09-16,12,0.019307250794762715,0.6666666666666666,0.7624725220423675,1.547548535741467,1.4598756134059272,1.498247479974625,core_100,holdout_365d,confirm_only,True,False
2024-01-30,2026-09-16,32,0.014619385688586634,0.71875,0.3846191245613408,2.9036193530001397,2.171935198785562,1.4778588798820258,core85_soft15,full_sample,eval,True,True
2024-01-01,2024-12-31,11,0.011215667726097328,0.6363636363636364,0.7051386157055934,1.4399313598239414,1.1718699307488516,1.2474726437675778,core85_soft15,year_2024,eval,True,False
2025-01-01,2025-12-31,11,0.012076412963536655,0.7272727272727273,0.6797856236025069,1.9860543819942444,1.4543526000401765,1.5206655301185106,core85_soft15,year_2025,eval,True,False
2026-01-01,2026-12-31,8,0.02226364737849898,0.75,0.8495807777474941,1.4273764281819608,1.342356986645548,1.7071017545837837,core85_soft15,year_2026,eval,True,False
2025-09-16,2026-09-16,12,0.016409732262598075,0.6666666666666666,0.7625668760010496,1.553825572223716,1.4627477105807176,1.4994008957237086,core85_soft15,holdout_365d,confirm_only,True,False
2024-01-30,2026-09-16,32,0.01206705245854994,0.71875,0.3846587881334521,2.9272163535251314,2.1833713701728112,1.4795325366288106,core70_soft30,full_sample,eval,True,True
2024-01-01,2024-12-31,11,0.009343854216283325,0.6363636363636364,0.7053568633267763,1.4700564502303568,1.1932262855208924,1.2568187269238742,core70_soft30,year_2024,eval,True,False
2025-01-01,2025-12-31,11,0.009939103394970627,0.7272727272727273,0.6804094269094279,1.9888451305867538,1.4539327625242133,1.511420413584736,core70_soft30,year_2025,eval,True,False
2026-01-01,2026-12-31,8,0.018369176158106404,0.75,0.8486102092468368,1.437491773121614,1.347153513728182,1.712068560330783,core70_soft30,year_2026,eval,True,False
2025-09-16,2026-09-16,12,0.01351535613884385,0.6666666666666666,0.7631637934324659,1.561560730105049,1.4658394051704102,1.5009606845308312,core70_soft30,holdout_365d,confirm_only,True,False
2024-01-30,2026-09-16,32,0.010364573704096307,0.71875,0.3843440070009889,2.947014049833497,2.1930874242292244,1.480873781156212,core60_soft40,full_sample,eval,True,True
2024-01-01,2024-12-31,11,0.008093755373607731,0.7272727272727273,0.7029811961589392,1.497306319865883,1.2125066611156117,1.2652177444793984,core60_soft40,year_2024,eval,True,False
2025-01-01,2025-12-31,11,0.008508911982501728,0.6363636363636364,0.6805849368445069,1.9878841449332436,1.4525830357448746,1.5024465176389057,core60_soft40,year_2025,eval,True,False
2026-01-01,2026-12-31,8,0.015781586778189124,0.75,0.8478847844866408,1.4470144471723643,1.3515481962224785,1.7166815373408317,core60_soft40,year_2026,eval,True,False
2025-09-16,2026-09-16,12,0.011587545386401776,0.6666666666666666,0.7640300559241362,1.5680564840880369,1.4680887559305573,1.5023383480898023,core60_soft40,holdout_365d,confirm_only,True,False
2024-01-30,2026-09-16,32,0.013768720977028252,0.71875,0.38439400653643635,2.909791572110863,2.1747694036442966,1.4785026120940519,core80_soft10_cip10,full_sample,eval,True,True
2024-01-01,2024-12-31,11,0.010577401392700388,0.6363636363636364,0.7048973138312441,1.4457399815500984,1.1758512908197252,1.2489247209802417,core80_soft10_cip10,year_2024,eval,True,False
2025-01-01,2025-12-31,11,0.011375995395401522,0.7272727272727273,0.6793525427552455,1.98973546547025,1.4555789696191146,1.5200351387833562,core80_soft10_cip10,year_2025,eval,True,False
2026-01-01,2026-12-31,8,0.020955901433103566,0.75,0.8492394313804391,1.4293101113298357,1.3433552396371333,1.7082467296994568,core80_soft10_cip10,year_2026,eval,True,False
2025-09-16,2026-09-16,12,0.015448022129952471,0.6666666666666666,0.7623218955078277,1.5561277418682076,1.463997874759435,1.5000522781945103,core80_soft10_cip10,holdout_365d,confirm_only,True,False
2024-01-30,2026-09-16,32,0.012066943760128235,0.71875,0.3844362878016697,2.9260082230339246,2.1826385942277224,1.479709190127608,core70_soft20_cip10,full_sample,eval,True,True
2024-01-01,2024-12-31,11,0.009329036536367286,0.6363636363636364,0.7050964786098077,1.4664418196259656,1.190525469492871,1.255362354471582,core70_soft20_cip10,year_2024,eval,True,False
2025-01-01,2025-12-31,11,0.009950042559098392,0.7272727272727273,0.6797657980925406,1.9915649682221193,1.4553171205638067,1.5137805997752503,core70_soft20_cip10,year_2025,eval,True,False
2026-01-01,2026-12-31,8,0.018361290173634456,0.75,0.8485762237371505,1.4363110123417835,1.34667365120668,1.7117194027367486,core70_soft20_cip10,year_2026,eval,True,False
2025-09-16,2026-09-16,12,0.01351875983929778,0.6666666666666666,0.7627355050228324,1.5614727822203152,1.4661262008113973,1.501183281063042,core70_soft20_cip10,holdout_365d,confirm_only,True,False
