time,us_mts_chg_usd
2011-10-31 00:00:00+00:00,0.0
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,0.0
2012-01-31 00:00:00+00:00,0.0
2012-02-29 00:00:00+00:00,0.0
2012-03-31 00:00:00+00:00,0.0
2012-04-30 00:00:00+00:00,0.0
2012-05-31 00:00:00+00:00,0.0
2012-06-30 00:00:00+00:00,0.0
2012-07-31 00:00:00+00:00,0.000581063203485721
2012-08-31 00:00:00+00:00,0.0012515430923798476
2012-09-30 00:00:00+00:00,0.0
2012-10-31 00:00:00+00:00,0.0
2012-11-30 00:00:00+00:00,0.0
2012-12-31 00:00:00+00:00,-0.002129738389288316
2013-01-31 00:00:00+00:00,-0.0008840463195629589
2013-02-28 00:00:00+00:00,0.0
2013-03-31 00:00:00+00:00,-0.0013102354175185127
2013-04-30 00:00:00+00:00,-0.00725484868653592
2013-05-31 00:00:00+00:00,0.0005848184716936711
2013-06-30 00:00:00+00:00,0.0
2013-07-31 00:00:00+00:00,-0.0031659027200882095
2013-08-31 00:00:00+00:00,0.002476296099187092
2013-09-30 00:00:00+00:00,-0.01599759806807821
2013-10-31 00:00:00+00:00,-0.0001086781043235785
2013-11-30 00:00:00+00:00,0.0
2013-12-31 00:00:00+00:00,-0.0020238199386718447
2014-01-31 00:00:00+00:00,0.0001890833727682395
2014-02-28 00:00:00+00:00,0.0
2014-03-31 00:00:00+00:00,-0.005030606751649347
2014-04-30 00:00:00+00:00,0.0004443407111933695
2014-05-31 00:00:00+00:00,0.0
2014-06-30 00:00:00+00:00,0.0
2014-07-31 00:00:00+00:00,0.00960519182697861
2014-08-31 00:00:00+00:00,-0.00023051822194242177
2014-09-30 00:00:00+00:00,0.01930423726517705
2014-10-31 00:00:00+00:00,-7.25177914400188e-05
2014-11-30 00:00:00+00:00,0.0
2014-12-31 00:00:00+00:00,0.00589521190976372
2015-01-31 00:00:00+00:00,0.0011285654868180561
2015-02-28 00:00:00+00:00,0.0
2015-03-31 00:00:00+00:00,0.0
2015-04-30 00:00:00+00:00,0.0
2015-05-31 00:00:00+00:00,0.0
2015-06-30 00:00:00+00:00,0.0
2015-07-31 00:00:00+00:00,0.008678701105061748
2015-08-31 00:00:00+00:00,0.0003927073942679993
2015-09-30 00:00:00+00:00,0.0020033403872963262
2015-10-31 00:00:00+00:00,-0.0009063160043940588
2015-11-30 00:00:00+00:00,0.0
2015-12-31 00:00:00+00:00,-0.004709067793547295
2016-01-31 00:00:00+00:00,0.0020714750099539714
2016-02-29 00:00:00+00:00,0.0
2016-03-31 00:00:00+00:00,0.0
2016-04-30 00:00:00+00:00,-0.004366066266919266
2016-05-31 00:00:00+00:00,-0.0015607587514174792
2016-06-30 00:00:00+00:00,0.0
2016-07-31 00:00:00+00:00,-0.0009600712140414025
2016-08-31 00:00:00+00:00,0.0010717058948446212
2016-09-30 00:00:00+00:00,0.0
2016-10-31 00:00:00+00:00,0.0
2016-11-30 00:00:00+00:00,0.0
2016-12-31 00:00:00+00:00,0.0
2017-01-31 00:00:00+00:00,0.0
2017-02-28 00:00:00+00:00,0.0
2017-03-31 00:00:00+00:00,0.0
2017-04-30 00:00:00+00:00,-3.991757764532089e-05
2017-05-31 00:00:00+00:00,-0.0002949109930970861
2017-06-30 00:00:00+00:00,0.0
2017-07-31 00:00:00+00:00,-0.011208437159705986
2017-08-31 00:00:00+00:00,0.0012204259273969065
2017-09-30 00:00:00+00:00,0.0
2017-10-31 00:00:00+00:00,0.0
2017-11-30 00:00:00+00:00,0.0
2017-12-31 00:00:00+00:00,0.0
2018-01-31 00:00:00+00:00,0.0
2018-02-28 00:00:00+00:00,0.0
2018-03-31 00:00:00+00:00,0.0
2018-04-30 00:00:00+00:00,0.0
