time,high_hpi_z_xs
2011-10-31 00:00:00+00:00,-0.029760455438508693
2011-11-30 00:00:00+00:00,0.0160567148126316
2011-12-31 00:00:00+00:00,-0.011484775752043763
2012-01-31 00:00:00+00:00,-0.007926236996673941
2012-02-29 00:00:00+00:00,0.005106274984301606
2012-03-31 00:00:00+00:00,0.0030050635463971798
2012-04-30 00:00:00+00:00,-0.0074679619560827915
2012-05-31 00:00:00+00:00,-0.0037936349536330516
2012-06-30 00:00:00+00:00,-0.005353038483006167
2012-07-31 00:00:00+00:00,-0.02011119456920596
2012-08-31 00:00:00+00:00,0.01172374664544451
2012-09-30 00:00:00+00:00,0.003049891675332761
2012-10-31 00:00:00+00:00,0.0054999961070476555
2012-11-30 00:00:00+00:00,-0.00017777292495868569
2012-12-31 00:00:00+00:00,0.00886865441916962
2013-01-31 00:00:00+00:00,0.0012145291752638787
2013-02-28 00:00:00+00:00,-0.003199217584206049
2013-03-31 00:00:00+00:00,-0.006783629340846975
2013-04-30 00:00:00+00:00,0.011261821326549182
2013-05-31 00:00:00+00:00,0.00679439681382088
2013-06-30 00:00:00+00:00,0.007856421397639535
2013-07-31 00:00:00+00:00,0.012185025289935147
2013-08-31 00:00:00+00:00,-0.0006331555979296466
2013-09-30 00:00:00+00:00,0.006179779095805582
2013-10-31 00:00:00+00:00,-0.0012655855923923154
2013-11-30 00:00:00+00:00,6.297771020125076e-05
2013-12-31 00:00:00+00:00,0.00353053887626098
2014-01-31 00:00:00+00:00,0.010421221001931658
2014-02-28 00:00:00+00:00,0.003928864422879208
2014-03-31 00:00:00+00:00,0.007780488504929295
2014-04-30 00:00:00+00:00,-0.0010677827281236896
2014-05-31 00:00:00+00:00,-0.003425432409710494
2014-06-30 00:00:00+00:00,0.006552310902243619
2014-07-31 00:00:00+00:00,0.0009150711611740636
2014-08-31 00:00:00+00:00,-0.006638112162603016
2014-09-30 00:00:00+00:00,-0.005255989967998365
2014-10-31 00:00:00+00:00,-0.005147863889265469
2014-11-30 00:00:00+00:00,-0.004952887570080167
2014-12-31 00:00:00+00:00,-0.0022448801286860665
2015-01-31 00:00:00+00:00,-0.03895735400251421
2015-02-28 00:00:00+00:00,0.010926564301191322
2015-03-31 00:00:00+00:00,-0.014608362438855993
2015-04-30 00:00:00+00:00,0.009712052676328353
2015-05-31 00:00:00+00:00,-0.004357564942807368
2015-06-30 00:00:00+00:00,0.009171488033953512
2015-07-31 00:00:00+00:00,0.0033081065797815334
2015-08-31 00:00:00+00:00,0.0021115023117557197
2015-09-30 00:00:00+00:00,-0.0026234874144104303
2015-10-31 00:00:00+00:00,0.011980585422446843
2015-11-30 00:00:00+00:00,-0.0058000238003752536
2015-12-31 00:00:00+00:00,-0.005128545137260132
2016-01-31 00:00:00+00:00,-0.004006753255450635
2016-02-29 00:00:00+00:00,0.017899328963258743
2016-03-31 00:00:00+00:00,0.004564250198582087
2016-04-30 00:00:00+00:00,0.011578425217569244
2016-05-31 00:00:00+00:00,0.004992462754930482
2016-06-30 00:00:00+00:00,-0.009843517989523654
2016-07-31 00:00:00+00:00,-0.006963505194256703
2016-08-31 00:00:00+00:00,0.004697815954789464
2016-09-30 00:00:00+00:00,-0.0076763364782150845
2016-10-31 00:00:00+00:00,-0.0035925969118981715
2016-11-30 00:00:00+00:00,0.001466986423511507
2016-12-31 00:00:00+00:00,0.007319425292917625
2017-01-31 00:00:00+00:00,-0.006648112290898123
2017-02-28 00:00:00+00:00,-0.004389436934260638
2017-03-31 00:00:00+00:00,-0.0019196002830034198
2017-04-30 00:00:00+00:00,-0.009164657041696223
2017-05-31 00:00:00+00:00,0.004872796642362287
2017-06-30 00:00:00+00:00,0.0078029563396802
2017-07-31 00:00:00+00:00,0.012853531922003336
2017-08-31 00:00:00+00:00,0.0038782475141205808
2017-09-30 00:00:00+00:00,-0.011117241287129542
2017-10-31 00:00:00+00:00,0.00570787329104161
2017-11-30 00:00:00+00:00,-0.007685580751020327
2017-12-31 00:00:00+00:00,0.004234747169855835
2018-01-31 00:00:00+00:00,-0.008027806247048908
2018-02-28 00:00:00+00:00,0.0020342160848756397
2018-03-31 00:00:00+00:00,-0.00239326394545325
2018-04-30 00:00:00+00:00,0.007904001593790566
2018-05-31 00:00:00+00:00,-0.010358498467477828
2018-06-30 00:00:00+00:00,0.0076491685720103675
